id,title,year,model,text,chars,title_overlap_score,latency_s,status
484509,Just Spooks,1925,gemma4-31b,Bray Productions\npresents\nDinky Doodle\nin\nJUST SPOOKS\nWritten and directed by\nWALTER LANTZ\nAssisted by Clyde Geronimi,117,1.0,1.712,ok
1261561,The Monkey's Paw,1923,gemma4-31b,The height of emotional expression is attained in this weirdest of pictures which brings something wholly new to the screen in story values.\nA veritable cinema classic.\nThe Monkey's Paw\nFROM THE FAMOUS STORY BY W.W.Jacobs\nSELZNICK DISTRIBUTING CORPORATION,255,1.0,2.18,ok
362776,Ghost Town Frolics,1938,gemma4-31b,GHOST TOWN\nFROLICS\nHOW TO\nLOSE\nFRIENDS\nAND\nSCARE\nPEOPLE,55,1.0,1.654,ok
26921,The Mystery of the Mary Celeste,1935,gemma4-31b,The MYSTERY OF THE MARY CELESTE,31,1.0,0.601,ok
212973,Gildersleeve's Ghost,1944,gemma4-31b,You'll SCREAM with laughter!\nGildersleeve's GHOST\nwith Harold PEARY\nMarion MARTIN\nRichard LeGRAND\nAmletta WARD\nFreddie MERCER\nMargie STEWART\nRKO RADIO PICTURES\nProduced by Herman Schlom Directed by Gordon Douglas Stage and screen play by Robert E. Kent,252,1.0,1.861,ok
48800,The Unknown,1946,gemma4-31b,"COLUMBIA PICTURES\npresents\nTHE UNKNOWN\nBased upon the Original Radio Program\n""I LOVE A MYSTERY""\nwith\nKAREN MORLEY\nJIM BANNON\nJEFF DONNELL\nROBERT SCOTT",150,1.0,2.869,ok
35073,"The Beast from 20,000 Fathoms",1953,gemma4-31b,"""The Beast From 20,000 Leagues Fathoms""",39,1.0,2.325,ok
836924,Roh Membela,1955,gemma4-31b,ROH MEMBELA\n' REVENGE OF THE SPIRIT ',37,1.0,3.872,ok
3104,Frankenstein Created Woman,1967,gemma4-31b,FRANKENSTEIN\nCREATED WOMAN,26,1.0,2.686,ok
64524,Nightmare,1964,gemma4-31b,NIGHTMARE,9,1.0,0.663,ok
77399,Incense for the Damned,1971,gemma4-31b,BLOOD SUCKERS,13,0.0,0.756,ok
30833,Drive-In Massacre,1976,gemma4-31b,DRIVE-IN MASSACRE,17,1.0,1.116,ok
399172,Lipstick and Blood,1984,gemma4-31b,Lipstick And Blood,18,1.0,0.48,ok
1015482,Kiss of the Serpent,1988,gemma4-31b,UNCUT\nungeschnitten\nTodeskuss\nder Schlange,42,0.0,1.511,ok
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989,gemma4-31b,FRIDAY THE 13TH VIII\nJASON TAKES MANHATTAN,42,0.875,1.16,ok
88410,Beyond Evil,1980,gemma4-31b,BEYOND EVIL,11,1.0,0.627,ok
86687,Severed Ties,1992,gemma4-31b,SEVERED TIES\nScience Out of Control.\nHorror Out On a Limb.,58,1.0,0.785,ok
336254,Downtime,1995,gemma4-31b,DOWNTIME,8,1.0,0.687,ok
36992,Shakma,1990,gemma4-31b,SHAKMA!,7,1.0,0.482,ok
43274,Tower of Terror,1997,gemma4-31b,TOWER\nOF TERROR,15,1.0,1.295,ok
15056,The Curse of King Tut's Tomb,2006,gemma4-31b,THE CURSE OF\nKING TUT'S TOMB,28,1.0,5.868,ok
23532,How to Be a Serial Killer,2009,gemma4-31b,HOW TO BE A SERIAL KILLER,25,1.0,1.769,ok
31012,Cerberus,2005,gemma4-31b,CERBERUS,8,1.0,2.523,ok
45551,Surveillance,2006,gemma4-31b,SURVEILLANCE\nZOOM LENS\n18-55mm\n.45 ACP,38,1.0,12.845,ok
156252,Phobic,2002,gemma4-31b,PHOBIC,6,1.0,1.313,ok
