sample n=100 from data/qa/ocr_pilot_v2/sample_ids.txt
posters_dir=data/qa/_ocr_pilot_v2_stage/posters
out_dir=data/qa/ocr_pilot_v2_gemma31
models=['gemma31']
OPENROUTER_API_KEY=set (value not logged)

=== key=gemma31 result=gemma4-31b api=google/gemma-4-31b-it n=100 posters=data/qa/_ocr_pilot_v2_stage/posters ===
  [1/100] id=484509 status=ok chars=117 overlap=1.0 1.712s tok=330
  [2/100] id=1261561 status=ok chars=255 overlap=1.0 2.18s tok=359
  [3/100] id=362776 status=ok chars=55 overlap=1.0 1.654s tok=325
  [4/100] id=26921 status=ok chars=31 overlap=1.0 0.601s tok=303
  [5/100] id=212973 status=ok chars=252 overlap=1.0 1.861s tok=364
  [6/100] id=48800 status=ok chars=150 overlap=1.0 2.869s tok=341
  [7/100] id=35073 status=ok chars=39 overlap=1.0 2.325s tok=309
  [8/100] id=836924 status=ok chars=37 overlap=1.0 3.872s tok=308
  [9/100] id=3104 status=ok chars=26 overlap=1.0 2.686s tok=300
  [10/100] id=64524 status=ok chars=9 overlap=1.0 0.663s tok=297
  [11/100] id=77399 status=ok chars=13 overlap=0.0 0.756s tok=300
  [12/100] id=30833 status=ok chars=17 overlap=1.0 1.116s tok=300
  [13/100] id=399172 status=ok chars=18 overlap=1.0 0.48s tok=299
  [14/100] id=1015482 status=ok chars=42 overlap=0.0 1.511s tok=175
  [15/100] id=10283 status=ok chars=42 overlap=0.875 1.16s tok=312
  [16/100] id=88410 status=ok chars=11 overlap=1.0 0.627s tok=300
  [17/100] id=86687 status=ok chars=58 overlap=1.0 0.785s tok=312
  [18/100] id=336254 status=ok chars=8 overlap=1.0 0.687s tok=299
  [19/100] id=36992 status=ok chars=7 overlap=1.0 0.482s tok=297
  [20/100] id=43274 status=ok chars=15 overlap=1.0 1.295s tok=299
  [21/100] id=15056 status=ok chars=28 overlap=1.0 5.868s tok=304
  [22/100] id=23532 status=ok chars=25 overlap=1.0 1.769s tok=300
  [23/100] id=31012 status=ok chars=8 overlap=1.0 2.523s tok=296
  [24/100] id=45551 status=ok chars=38 overlap=1.0 12.845s tok=314
  [25/100] id=156252 status=ok chars=6 overlap=1.0 1.313s tok=296
  [26/100] id=743757 status=ok chars=85 overlap=1.0 1.38s tok=321
  [27/100] id=11908 status=ok chars=7 overlap=1.0 1.384s tok=164
  [28/100] id=28265 status=ok chars=17 overlap=0.3333 1.357s tok=168
  [29/100] id=28419 status=ok chars=415 overlap=1.0 3.426s tok=294
  [30/100] id=53553 status=ok chars=8 overlap=1.0 0.508s tok=298
  [31/100] id=77050 status=ok chars=73 overlap=1.0 0.772s tok=329
  [32/100] id=278267 status=ok chars=614 overlap=1.0 3.328s tok=442
  [33/100] id=165078 status=ok chars=230 overlap=1.0 4.946s tok=373
  [34/100] id=225048 status=ok chars=42 overlap=1.0 1.336s tok=313
  [35/100] id=233194 status=ok chars=275 overlap=1.0 2.348s tok=386
  [36/100] id=286452 status=ok chars=13 overlap=1.0 0.717s tok=299
  [37/100] id=300156 status=ok chars=75 overlap=1.0 3.119s tok=319
  [38/100] id=302019 status=ok chars=12 overlap=1.0 1.773s tok=297
