id,title,year,model,text,chars,title_overlap_score,latency_s,status
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989,ppocrv6-medium,FRIDAYTNE13\nJASON TAKES MANHATTAN,33,0.375,3.234,ok
26921,The Mystery of the Mary Celeste,1935,ppocrv6-medium,The MYSTERY OF THE\nMARY CELESTE,31,1.0,10.561,ok
28265,Lovesick: Sick Love,2004,ppocrv6-medium,LOVESICK\nSICKLOVE,17,0.3333,13.552,ok
77399,Incense for the Damned,1971,ppocrv6-medium,SUCKERS\nBLOOD,13,0.0,8.715,ok
233194,8 Butterflies,2010,ppocrv6-medium,LOSE YOUR MIND.\n8BUTTERFLIES\nE,30,0.0,3.312,ok
286452,Varsity Blood,2014,ppocrv6-medium,VARSITY\nBLOOD,13,1.0,8.99,ok
653537,Whispers,2019,ppocrv6-medium,,0,0.0,8.604,ok
940187,THE INQUISTION,2019,ppocrv6-medium,4\nLISINONI\nMR,13,0.0,3.533,ok
1015482,Kiss of the Serpent,1988,ppocrv6-medium,UNCUT\nungeschnitten\nTodeskuss\nder Schlange,42,0.0,9.236,ok
1405670,xOxExFx,2024,ppocrv6-medium,x☆xExFx\nA Film by Reverend Ray,30,0.0,2.199,ok
1483743,"up here, disappear",2025,ppocrv6-medium,"287\nuphere,\nup here,\nuphere,\nup here,\nup here,\ndisappear\njsappear\nqisappear",75,1.0,3.613,ok
1578643,Cymophane,2024,ppocrv6-medium,a film by Ghazal Yousefi\nCYMOPHANE,34,1.0,2.195,ok
