id,title,year,model,text,chars,title_overlap_score,latency_s,status
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989,qwen2b-hard,FRIDAY THE 13TH\nJASON TAKES MANHATTAN,37,0.75,17.735,ok
26921,The Mystery of the Mary Celeste,1935,qwen2b-hard,The\nMystery\nof\nthe\nMary\nCeleste,31,1.0,14.238,ok
28265,Lovesick: Sick Love,2004,qwen2b-hard,LOVE\nSICK\nSICK\nLOVE,19,0.6667,14.041,ok
77399,Incense for the Damned,1971,qwen2b-hard,BLOOD SUCKERS,13,0.0,13.972,ok
233194,8 Butterflies,2010,qwen2b-hard,8BUTTERFLIES,12,0.0,1.087,ok
286452,Varsity Blood,2014,qwen2b-hard,VARITY\nBLOOD,12,0.5,14.043,ok
653537,Whispers,2019,qwen2b-hard,WILSON,6,0.0,13.991,ok
940187,THE INQUISTION,2019,qwen2b-hard,INQUISITION,11,0.0,1.03,ok
1015482,Kiss of the Serpent,1988,qwen2b-hard,Todeskuss\nder\nSchlange,22,0.0,14.417,ok
1405670,xOxExFx,2024,qwen2b-hard,A Film by Reverend Ray,22,0.0,1.131,ok
1483743,"up here, disappear",2025,qwen2b-hard,up here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup here.\nup,3071,0.6667,53.006,ok
1578643,Cymophane,2024,qwen2b-hard,a film by Ghazal Yousefi,24,0.0,1.278,ok
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989,qwen7b-hard,FRIDAY THE 13TH\nVIII\nJASON TAKES MANHATTAN,42,0.875,18.26,ok
26921,The Mystery of the Mary Celeste,1935,qwen7b-hard,The\nMystery\nof the\nMary Celeste,31,1.0,22.758,ok
28265,Lovesick: Sick Love,2004,qwen7b-hard,LOVE\nSick\nSickLove,18,0.6667,22.802,ok
77399,Incense for the Damned,1971,qwen7b-hard,Blood Suckers,13,0.0,22.465,ok
233194,8 Butterflies,2010,qwen7b-hard,LOSE YOUR MIND.\n8BUTTERFLIES,28,0.0,2.864,ok
286452,Varsity Blood,2014,qwen7b-hard,VARSITY\nBLOOD,13,1.0,22.752,ok
653537,Whispers,2019,qwen7b-hard,JULIE DEE,9,0.0,22.722,ok
940187,THE INQUISTION,2019,qwen7b-hard,INQUISIT,8,0.0,2.314,ok
1015482,Kiss of the Serpent,1988,qwen7b-hard,Todeskuss\nder Schlange\nUNCUT\nungeschnitten,42,0.0,23.983,ok
1405670,xOxExFx,2024,qwen7b-hard,A Film by Reverend Ray,22,0.0,2.492,ok
