id,title,year,model,text,chars,title_overlap_score,latency_s,status
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989,qwen2b-crop,FRIDAY THE 13TH\nJASON TAKES MANHATTAN,37,0.75,3.786,ok
26921,The Mystery of the Mary Celeste,1935,qwen2b-crop,The\nMystery\nof\nthe\nMary\nCeleste,31,1.0,1.569,ok
28265,Lovesick: Sick Love,2004,qwen2b-crop,LOVE\nSICK\nSICK\nLOVE,19,0.6667,1.759,ok
77399,Incense for the Damned,1971,qwen2b-crop,BLOOD\nSUCKERS,13,0.0,3.899,ok
233194,8 Butterflies,2010,qwen2b-crop,LOSE YOUR MIND.\nBUTTERFLY,25,0.0,0.701,ok
286452,Varsity Blood,2014,qwen2b-crop,varity\nblood,12,0.5,1.743,ok
653537,Whispers,2019,qwen2b-crop,WILSON,6,0.0,13.671,ok
940187,THE INQUISTION,2019,qwen2b-crop,MAXX BY B18&UP FILM PRODUCTIONS. ALL RIGHTS RESERVED.,53,0.0,1.009,ok
1015482,Kiss of the Serpent,1988,qwen2b-crop,Todeskuss\nder\nSchlange,22,0.0,2.169,ok
1405670,xOxExFx,2024,qwen2b-crop,A Film by Reverend Ray,22,0.0,0.401,ok
1483743,"up here, disappear",2025,qwen2b-crop,"(150,10),(850,999)",18,0.0,0.926,ok
1578643,Cymophane,2024,qwen2b-crop,a film by Ghazal Yousefi,24,0.0,1.156,ok
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989,qwen7b-crop,FRIDAY THE 13TH\nJASON TAKES MANHATTAN,37,0.75,7.565,ok
26921,The Mystery of the Mary Celeste,1935,qwen7b-crop,The\nMystery of the\nMary Celeste,31,1.0,3.168,ok
28265,Lovesick: Sick Love,2004,qwen7b-crop,LOVESICK\nSICKLOVE,17,0.3333,3.539,ok
77399,Incense for the Damned,1971,qwen7b-crop,BLOOD SUCKERS,13,0.0,7.418,ok
233194,8 Butterflies,2010,qwen7b-crop,LOSE YOUR MIND.\nBUTTERFLY,25,0.0,1.674,ok
286452,Varsity Blood,2014,qwen7b-crop,VARSITY\nBLOOD,13,1.0,3.898,ok
653537,Whispers,2019,qwen7b-crop,,0,0.0,1.483,"error: CUDA out of memory. Tried to allocate 924.00 MiB. GPU 0 has a total capacity of 14.56 GiB of which 899.81 MiB is free. Process 4615 has 278.00 MiB memory in use. Including non-PyTorch memory, this process has 13.41 GiB memory in use. Of the allocated memory 13.09 GiB is allocated by PyTorch, and 195.44 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentati"
940187,THE INQUISTION,2019,qwen7b-crop,MAXMIX BY B18&UP FILM PRODUCTIONS. ALL RIGHTS RESERVED.,55,0.0,2.104,ok
1015482,Kiss of the Serpent,1988,qwen7b-crop,Todeskuss\nder Schlange,22,0.0,4.525,ok
1405670,xOxExFx,2024,qwen7b-crop,A Film by Reverend Ray,22,0.0,1.008,ok
1483743,"up here, disappear",2025,qwen7b-crop,THE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE\nTHE\nMUTANT\nMEN\nOF\nTHE\nFUTURE,1855,0.0,91.628,ok
1578643,Cymophane,2024,qwen7b-crop,a film by Ghazal Yousefi\nCymophane,34,1.0,3.085,ok
