id,title,year,model,text,chars,title_overlap_score,latency_s,status
1261561,The Monkey's Paw,1923,qwen-homolog,The Monkey's Paw\nFROM THE FAMOUS STORY BY\nW.W. Jacobs\nA veritable cinema classic.\nSELZNICK\nDISTRIBUTING CORPORATION,115,1.0,24.543,ok
26921,The Mystery of the Mary Celeste,1935,qwen-homolog,The\nMystery\nof\nthe\nMary\nCeleste,31,1.0,14.08,ok
212973,Gildersleeve's Ghost,1944,qwen-homolog,You'll SCREAM with laughter!\nGildersleeve's\nGhost\nwith Harold\nPeary\nMarion\nMartin\nRichard\nLeGrand\nAmeLita\nWard\nFreddie\nMercer\nMargie\nStewart\nProduced by\nHerman\nSchlom\nDirected by\nGordon\nDouglas\nStage and screen play by\nRobert E. Kent,233,1.0,17.01,ok
48800,The Unknown,1946,qwen-homolog,"Columbia Pictures presents\nTHE UNKNOWN\nBased upon the Original Radio Program\n""I LOVE A MYSTERY""\nwith\nKaren Morley\nJim Bannon\nJeff Donnell\nScott",143,1.0,15.203,ok
3104,Frankenstein Created Woman,1967,qwen-homolog,Frankenstein\nCreated Woman,26,1.0,13.992,ok
64524,Nightmare,1964,qwen-homolog,NIGHTMARE,9,1.0,13.969,ok
77399,Incense for the Damned,1971,qwen-homolog,BLOOD SUCKERS,13,0.0,14.009,ok
30833,Drive-In Massacre,1976,qwen-homolog,DRIVE-IN\nMASSACRE,17,1.0,14.153,ok
399172,Lipstick and Blood,1984,qwen-homolog,Lipstick And Blood,18,1.0,14.059,ok
1015482,Kiss of the Serpent,1988,qwen-homolog,Todeskuss\nder\nSchlange,22,0.0,14.274,ok
88410,Beyond Evil,1980,qwen-homolog,BEYOND\nEVIL,11,1.0,14.103,ok
336254,Downtime,1995,qwen-homolog,DOWNTIME,8,1.0,14.045,ok
36992,Shakma,1990,qwen-homolog,SHAKMA!,7,1.0,14.046,ok
45551,Surveillance,2006,qwen-homolog,SURVEILLANCE,12,1.0,14.058,ok
156252,Phobic,2002,qwen-homolog,PHOBIC,6,1.0,14.021,ok
28265,Lovesick: Sick Love,2004,qwen-homolog,LOVE\nSICK\nSICK\nLOVE,19,0.6667,14.355,ok
28419,Hellbreeder,2004,qwen-homolog,"HELLBREEDER\nThe dark side has risen.\nDOMINIQUE PINON\nLYNDIE UPHILL\nDarren Day\nThe dark side has risen.\nDOMINIQUE PINON\nLYNDIE UPHILL\nDarren Day\nTINA BARNES ""HELLBREEDER""\nART NATASHA OAKES\nDIRECTOR TRISTAN VERSLUIS\nDIRECTOR OF PHOTOGRAPHY\nJOHN RAGGETT\nEDITOR PETER DOBSON\nJohannes Roberts and James Eaves\nAmerican World Pictures and Cat N Cage Pictures present a film by Johannes Roberts and James Eaves\nRESTRICTED FOR VIOLENCE, SEXUALITY AND LANGUAGE\nJohannes Roberts and James Eaves\nWritten, produced and directed by Johannes Roberts and James Eaves\n©2003 Cat N Cage Pictures All rights reserved",596,1.0,21.27,ok
278267,The Dead Walk,2008,qwen-homolog,"THE DEAD WALK\nROADKILL CINEMA PRODUCTIONS\npresents\nIn Association with\nKALEIDOSCOPE ENTERTAINMENT GROUP\n""The Dead Walk""\nStarring Chris Adler Leslie Maine Bjorn Jiskoot Jr. C.J. Swensen and William Merklinger Featuring Ryan Sarah Clinkenbeard Michael Richard and Joseph Lolli\nMusic By AudioThrone Studios Film Editor Adam Thorvaldson Production Manager Wanda Gezik Visual FX Christopher Montesano Special Make-up FX Adam Thorvaldson Director of Photography Stephanie Jordan Written by Michael Clinkenbeard Produced by Adam Thorvaldson\nComing to a shelter near you - 2008 -",571,1.0,19.752,ok
165078,Legend of Hell,2012,qwen-homolog,OFFICIAL SELECTION\nWEEKEND OF FEAR\nFILMFESTIVAL\n\nOFFICIAL SELECTION\nMOVIE DAYS\nFILMFESTIVAL\n\nOFFICIAL SELECTION\nCINETRANGE\nFILMFESTIVAL\n\nLEGEND OF HELI\nONCE IT WAS PARADISE\n\na film by\nOLAF ITTENBACH\n\nANOTHER WORLD,213,0.6667,17.159,ok
225048,Evangeline,2013,qwen-homolog,EVANGELINE\nVENGEANCE IS DARKER\nTHAN DEATH.,42,1.0,14.637,ok
286452,Varsity Blood,2014,qwen-homolog,VARITY\nBLOOD,12,0.5,14.133,ok
300156,The Interrogation of Cheryl Cooper,2014,qwen-homolog,THE\nINTERROGATION\nOF\nCHERYL\nCOOPER\nTOMMIE VEGAS\nSHANE RYAN\nBRITTANY BOCHART,75,1.0,15.366,ok
547055,Threshold,2016,qwen-homolog,Threshold,9,1.0,13.975,ok
653537,Whispers,2019,qwen-homolog,WILSON,6,0.0,14.057,ok
974046,House of White Spiders,2010,qwen-homolog,"He's young, he's talented,\nand he's going to spend the night\nat the\nHOUSE OF WHITE SPIDERS\nGod help him.",104,1.0,15.197,ok
77677,Escapee,2011,qwen-homolog,ESCAPEE,7,1.0,14.032,ok
472015,Hunting for Shadows,2016,qwen-homolog,Hunting\nfor\nShadows\nA DAVO HARDY FILM\nSAGE AMETHYST MATCHETT\nSAGE GODREI\nPAUL MERCURIO\nSEPTEMBER 2016,101,1.0,15.795,ok
748251,Vamp Bikers Dos,2015,qwen-homolog,Vamp Bikers\nDOS,15,1.0,14.187,ok
863406,The Blue Rose,2024,qwen-homolog,THE\nBLUE\nROSE,13,1.0,14.187,ok
931049,Beware the Woods,2022,qwen-homolog,"BE SCARED\nBE AFRAID\nBeware the Woods\nCarlos Leos Ronna Burrows Emily Lauziere Written, Produced & Directed by Tanner McGarr\nScreamTimeFilms\nDVD",143,1.0,15.643,ok
1083119,The Lost Chronicles,2023,qwen-homolog,THE\nLOST\nCHRONICLES,19,1.0,14.263,ok
1125186,Home Education,2023,qwen-homolog,HOME\nEDUCATION\nLE REGOLE DEL MALE,33,1.0,14.434,ok
1193824,Rabbit Trap,2025,qwen-homolog,Rabbit\nTrap,11,1.0,14.113,ok
931940,The Fix,2024,qwen-homolog,THE FIX,7,1.0,14.042,ok
1229586,Stutter,2024,qwen-homolog,Stutter,7,1.0,13.991,ok
