title,type,year,id,slug,url,rails
1408,movie,2007,5d77682c8718ba001e312aee,1408,https://watch.plex.tv/movie/1408,Fan Favorites in Horror
28 años después: El templo de los huesos,movie,2026,66233b1bb07ed996b70874e5,28-years-later-the-bone-temple-2026,https://watch.plex.tv/movie/28-years-later-the-bone-temple-2026,Most Watchlisted This Week
Accursed,movie,2026,62665adc2f493ce0d4c7a26c,accursed-2026,https://watch.plex.tv/movie/accursed-2026,Recently Released in Horror
"Adolescencia, sexo y muerte en campamento Miasma",movie,2026,6780d7aa5d22e687d518cc07,teenage-sex-and-death-at-camp-miasma-2026,https://watch.plex.tv/movie/teenage-sex-and-death-at-camp-miasma-2026,Coming Soon in Horror
Alien Storm,movie,2026,63922398c531baff1a9e3f7e,alien-storm,https://watch.plex.tv/movie/alien-storm,Recently Released in Horror
Alien: Covenant,movie,2017,5d776988ad5437001f75fc38,alien-covenant,https://watch.plex.tv/movie/alien-covenant,Fan Favorites in Horror
Alta tensión,movie,2003,5d776834880197001ec93157,high-tension-2003,https://watch.plex.tv/movie/high-tension-2003,Available on Plex
Amanecer de los muertos,movie,2004,5d776d1523d5a3001f5201a7,dawn-of-the-dead-2004,https://watch.plex.tv/movie/dawn-of-the-dead-2004,Fan Favorites in Horror
American Psycho,movie,2000,5d7768295af944001f1f7477,american-psycho,https://watch.plex.tv/movie/american-psycho,Fan Favorites in Horror
Ash vs. Evil Dead,clip,2015,62046fce06b37970e13b2ac3,ash-vs-evil-dead,https://watch.plex.tv/show/ash-vs-evil-dead,Trending Horror Trailers
Ash vs. Evil Dead,show,2015,5d9c08522df347001e3af97f,ash-vs-evil-dead,https://watch.plex.tv/show/ash-vs-evil-dead,Trending in Horror|Most Watchlisted This Week|Available on Plex
Atrapados en el enjambre (Avispas),movie,2005,5d77686ae6d55c00204129b0,swarmed,https://watch.plex.tv/movie/swarmed,Surprise Me
Backrooms,clip,2026,69d102168c1f6132b1a03322,backrooms-2026,https://watch.plex.tv/movie/backrooms-2026,Trending Horror Trailers
Backrooms,movie,2026,63e28b6d774d2d504b6ff241,backrooms-2026,https://watch.plex.tv/movie/backrooms-2026,Trending in Horror|Most Watchlisted This Week
Backwater,movie,2013,5d776a54fb0d55001f5426a2,backwater,https://watch.plex.tv/movie/backwater,Surprise Me
Bad Biology,clip,2008,620b1a0d919ba2f3934c4414,bad-biology,https://watch.plex.tv/movie/bad-biology,Trending Horror Trailers
Bienvenidos a Zombieland,movie,2009,5d776845999c64001ec32304,zombieland,https://watch.plex.tv/movie/zombieland,Fan Favorites in Horror
Bleeding Hearts,movie,2015,5d776b55594b2b001e6d6d03,bleeding-hearts,https://watch.plex.tv/movie/bleeding-hearts,Surprise Me
Blood Thirst,movie,1971,5d77698c96b655001fdd1d3b,blood-thirst,https://watch.plex.tv/movie/blood-thirst,Surprise Me
Buddy,clip,2026,6a4ff1d41726f782b4787c81,buddy-2026,https://watch.plex.tv/movie/buddy-2026,Trending Horror Trailers
Buddy,movie,2026,6854ddbf96ab065c716a44fa,buddy-2026,https://watch.plex.tv/movie/buddy-2026,Coming Soon in Horror
Bunni,movie,2013,5d776c2e7a53e9001e73be65,bunni,https://watch.plex.tv/movie/bunni,Surprise Me
Bunnyman Vengeance,movie,2017,5d776d71fb0d55001f5a071a,bunnyman-vengeance,https://watch.plex.tv/movie/bunnyman-vengeance,Trending in Horror
Burning Dead,movie,2004,5d7768e496b655001fdc4839,burning-dead,https://watch.plex.tv/movie/burning-dead,Surprise Me
Calle Cloverfield 10,movie,2016,5d776b8e96b655001fe14e31,10-cloverfield-lane,https://watch.plex.tv/movie/10-cloverfield-lane,Fan Favorites in Horror
Christmas Craft Fair Massacre,movie,2022,62f691ba58b22c5612db823c,christmas-craft-fair-massacre-2022,https://watch.plex.tv/movie/christmas-craft-fair-massacre-2022,Surprise Me
