title,type,year,ratingKey,slug,url,is_free,price,guid,childCount,leafCount
13 Nights of Elvira,show,2014,5d9c08b2705e7a001e6e2048,13-nights-of-elvira,https://watch.plex.tv/show/13-nights-of-elvira,,,plex://show/5d9c08b2705e7a001e6e2048,1,13
Afterlife Sessions,show,2015,5eec604e4ed8d50041cd3109,afterlife-sessions,https://watch.plex.tv/show/afterlife-sessions,,,plex://show/5eec604e4ed8d50041cd3109,2,7
Age of the Living Dead,show,2018,5d9c08f1e264b7001fc4c7d6,age-of-the-living-dead,https://watch.plex.tv/show/age-of-the-living-dead,,,plex://show/5d9c08f1e264b7001fc4c7d6,1,6
Alien 9,show,2001,5d9c08313c3f87001f349df7,alien-nine,https://watch.plex.tv/show/alien-nine,,,plex://show/5d9c08313c3f87001f349df7,1,4
Amor brujo,show,2022,63d2d464494452907c6c8f8d,amor-brujo,https://watch.plex.tv/show/amor-brujo,,,plex://show/63d2d464494452907c6c8f8d,1,12
Ash vs. Evil Dead,show,2015,5d9c08522df347001e3af97f,ash-vs-evil-dead,https://watch.plex.tv/show/ash-vs-evil-dead,,,plex://show/5d9c08522df347001e3af97f,3,24
Beyond The Dark,show,2022,632f5ae8ffedd45dbd86e05e,beyond-the-dark,https://watch.plex.tv/show/beyond-the-dark,,,plex://show/632f5ae8ffedd45dbd86e05e,1,13
BuzzFeed Unsolved,show,2016,61b127629437dc35c056f184,buzzfeed-unsolved,https://watch.plex.tv/show/buzzfeed-unsolved,,,plex://show/61b127629437dc35c056f184,2,10
Chiller,show,1995,61b0c599bffa86ce9b64286e,chiller,https://watch.plex.tv/show/chiller,,,plex://show/61b0c599bffa86ce9b64286e,1,5
Crazy Bitches,show,2019,60b758ac2c1f9f002dc25863,crazy-bitches,https://watch.plex.tv/show/crazy-bitches,,,plex://show/60b758ac2c1f9f002dc25863,2,18
Creepshow,show,2019,5d9c091cef619b0020484087,creepshow,https://watch.plex.tv/show/creepshow,,,plex://show/5d9c091cef619b0020484087,1,6
Creepy Chronicles,show,2017,60ad29ae31a84d002c274396,creepy-chronicles,https://watch.plex.tv/show/creepy-chronicles,,,plex://show/60ad29ae31a84d002c274396,1,4
Critters: A New Binge,show,2019,5d9c091b7b5c2e001e6674c3,critters-a-new-binge,https://watch.plex.tv/show/critters-a-new-binge,,,plex://show/5d9c091b7b5c2e001e6674c3,1,8
Dark Realm,show,2001,5d9c07fb4eefaa001f5d299b,dark-realm,https://watch.plex.tv/show/dark-realm,,,plex://show/5d9c07fb4eefaa001f5d299b,1,12
Death Walker,show,2020,6070298fee8bd5002c5547aa,death-walker,https://watch.plex.tv/show/death-walker,,,plex://show/6070298fee8bd5002c5547aa,3,38
Derren Brown: Apocalipsis,show,2012,5d9c083be264b7001fc3f578,derren-brown-apocalypse,https://watch.plex.tv/show/derren-brown-apocalypse,,,plex://show/5d9c083be264b7001fc3f578,1,2
Devilman Lady,show,1998,5d9c07ea08fddd001f28e01e,devil-lady,https://watch.plex.tv/show/devil-lady,,,plex://show/5d9c07ea08fddd001f28e01e,1,2
Doomsday,show,2016,60070424c8ef13002c874e30,doomsday,https://watch.plex.tv/show/doomsday,,,plex://show/60070424c8ef13002c874e30,1,2
El bebé de Rosemary,show,2014,5d9c08173c3f87001f3472e0,rosemarys-baby,https://watch.plex.tv/show/rosemarys-baby,,,plex://show/5d9c08173c3f87001f3472e0,1,2
El caso Enfield,show,2015,5d9c0867ba6eb9001fba2e16,the-enfield-haunting,https://watch.plex.tv/show/the-enfield-haunting,,,plex://show/5d9c0867ba6eb9001fba2e16,1,3
Eli Roth Presents: My Possessed Pet,show,2022,6339b5f2d1ce0fd224352b05,eli-roth-presents-my-possessed-pet-1,https://watch.plex.tv/show/eli-roth-presents-my-possessed-pet-1,,,plex://show/6339b5f2d1ce0fd224352b05,1,4
Frankenstein,show,2004,5d9c0854ba6eb9001fba13e4,frankenstein-2004,https://watch.plex.tv/show/frankenstein-2004,,,plex://show/5d9c0854ba6eb9001fba13e4,1,2
