id,title,year,score,n_lines,mean_conf,full_ocr
488289,The Hag,2017,0.0,3,0.0469,te #nJ 3 S
835457,Vine Trailer,2021,0.0,1,0.1013,""""
89747,The Cellar,1989,0.0,1,0.0071,380p
725842,Старуха 2,2019,0.0,14,0.6157,THE CRONE AFEATURE SEQLENCE ATMLCaK IFLYWNITHOUT WINGS VOUNG AND RC B OLD ONE DAY l COME WITH WWTO
1507229,Inbetweening,2024,0.0,1,0.0124,Ma4
830180,Stranger,2021,0.0,1,0.087,1
533985,Bit,2019,0.0,1,0.9972,3
10055,Room 6,2006,0.0,1,0.0355,88]
256030,Muck,2015,0.0,2,0.0996,3 oi
1514533,Trad,2025,0.0,1,0.1132,;
1514957,495,2025,0.0,1,0.7967,DO YOU EVER GET TO ESCAPE?
50638,Savage,2009,0.0,8,0.5133,8 0 1 8 0 1 2 1
809397,Prepper's Grove,2018,0.0,1,0.0267,Jd6
636029,Hunger,2018,0.0,1,0.1937,5
1678967,"Moth, Man!",9999,0.0,1,0.0161,ri|
1701395,Drunken Woman,2026,0.0,1,0.0195,%J
561543,Alpha Wolf,2018,0.0,1,0.0137,Mrer
802969,Branchville,2021,0.0,1,0.3927,G
297120,Z,2014,0.0,2,0.1433,"~Epr ""76am?"
1522937,Pickled Rabbit,2025,0.0,1,0.8868,U
1524593,Mr. Boots Last’s Recipe,2024,0.0,1,0.1026,4g5))
1526957,Permeate,2025,0.0,3,0.5877,0 1 1
587320,Playtime,2019,0.0,2,0.5327,3 0
359097,The Chest,2007,0.0,1,0.13,Oandik
1311351,Love Bites,2024,0.0,1,0.0245,A
575386,Once Bitten,1999,0.0,1,0.3132,8
196916,The 7,2006,0.0,1,0.4132,Juz
716387,Bhoot Pori,2022,0.0,1,0.1853,S979
838630,VINE,2021,0.0,1,0.1013,""""
55691,Tomboys,2009,0.0,1,0.0128,X223
1320035,Glint,2025,0.0,1,0.9927,4
845152,Ride with the Guilt,2020,0.0,1,0.0133,b8f67
922747,Lost Tales from Camp Blood - Part 2,2009,0.0,1,0.165,[
1482371,Trackstar Cowboy,2025,0.0,1,0.1204,786864
29318,Devil Doll,1964,0.0,1,0.0205,pu
637969,Ravage,2020,0.0,1,0.8316,1
1485067,Arrythmia,2025,0.0,1,0.0017,Be
891924,Chester,2011,0.0,1,0.6573,U
24632,The Mad,2007,0.0,2,0.6612,2 3
1485846,Tether,2025,0.0,1,0.1129,MX
200639,Evil Town,1987,0.0,1,0.0374,1541f
876177,Killer Horizon,2008,0.0,2,0.1369,6 1
1697318,Ceci N'est Pas Un Viol,2015,0.0,1,0.2388,2
566027,Hardcore to Horror,2016,0.0,3,0.3932,1 12I 1
35040,Croc,2007,0.0,1,0.01,At F
85173,Deadly Obsession,1989,0.0,2,0.1358,1 3
1489261,Faceless,2025,0.0,1,0.0664,6
874950,Boo!,1980,0.0,1,0.9791,8001
35664,The Alpha Incident,1978,0.0,1,0.9742,M
843158,"Hey Mister, You're in the Girls' Room",1991,0.0,3,0.2002,{ 13 2
1138198,Caddy Hack,2023,0.0,1,0.0491,0
1143367,Cursed Chain,2023,0.0,2,0.8146,3 8
230559,Shhh...,2011,0.0,1,0.003,qclulELc
856085,Hold Your Breath,2017,0.0,2,0.5918,c 0 MiNG 5 0 0 N
787283,Psikopat,2005,0.0,1,0.005,0LM
1283193,The Collected,9999,0.0,1,0.0151,J
1145880,A Better Man,2023,0.0,1,0.0365,7
744750,Held,2020,0.0,1,0.7374,A
1446731,Olga,2025,0.0,1,0.1938,044
449463,Turtle Island,2013,0.0,1,0.0855,Jb
674472,Submission,2019,0.0,1,0.0293,"(AHEE @V,"
1536842,Hotel Visitor 2,2025,0.0,2,0.4573,"~ """
1545570,Honeys,2025,0.0,1,0.4968,3
723227,Panic Room,2020,0.0,3,0.3482,6 1 8
648043,The Driver,2019,0.0,1,0.8952,0
1571705,In The Forest,2025,0.0,1,0.9658,PLAY
321738,Cheondong,1973,0.0,1,0.9523,45
118874,Lenteveld,2009,0.0,1,0.2008,~16
1022672,Have a Smoke and Fly,2022,0.0,4,0.316,1 Ww 1 8
1571969,Ourob0rus,2025,0.0,1,0.3245,Wph
713504,Blind Date,2020,0.0,1,0.2156,3
298042,Vieques,2014,0.0,1,0.8465,8
1575411,Parody law,2025,0.0,1,0.0667,Escq)
1030372,The Eye,2022,0.0,1,0.1609,For
1189317,Chicken Surprise,2023,0.0,1,0.07,883
94545,The Bushwhacker,1968,0.0,1,0.031,X
13006,Split Second,1992,0.0,2,0.1556,G2248 828888
399118,Night People,2015,0.0,1,0.4469,(a)
795508,THE WIFE,2014,0.0,1,0.0259,Tub TL
276523,Among Us,2004,0.0,2,0.3137,HH 1k
1587188,Azazel,2025,0.0,1,0.05,1
1297838,Is That a Mime?,2024,0.0,1,0.0263,75y
83188,Camel Spiders,2011,0.0,1,0.0223,84>
269947,The Gateway Meat,2008,0.0,1,0.0155,1
26587,Dread,2009,0.0,1,0.3236,2
693071,Flowers 02,2020,0.0,3,0.3001,8 : 1
251371,5 Dark Souls,1996,0.0,1,0.6755,96
1595668,Red,2025,0.0,1,0.2477,7
674210,Дьявольское ограбление,2020,0.0,17,0.448,Jerated Yersior SAPPHIRE RoSkO DAVIS FERGUSON [6 WHEN YOU STEAL Frohthe DEVIL Thap HELL T0 PAY' TK DEMILS PEIST prtc Cedokua? KatSellA
230564,To My Mother and Father,2010,0.0,1,0.7012,6
724359,Mayabini,2017,0.0,1,0.0274,Ur
306748,Gorgasm,1990,0.0,2,0.2567,Wh 0bb
483737,Totem,2017,0.0,2,0.3796,! F
1185623,Thanatomania,2023,0.0,3,0.2302,8 ( 8
481360,Deviant Behavior,2018,0.0,5,0.186,< 1 < 7 ~
1548619,Mirror,2025,0.0,1,0.1482,9
762195,Wrath,2020,0.0,1,0.046,1
469666,Edwin Parker,1988,0.0,3,0.2904,08 SHc G01
1550664,A Very Sad Man,2023,0.0,1,0.0684,GI
759768,Hybrid,2016,0.0,1,0.4258,1
1552806,Door,2025,0.0,2,0.4951,Uuuh Atc
759189,Latch,2017,0.0,1,0.8055,3
1553721,e. co,2025,0.0,4,0.2822,Zkiaba adhilrampunt ndhg ; U
752833,Judson's Release,1971,0.0,2,0.5742,1 1
440439,Elder Island,2016,0.0,1,0.1789,43016:
1177181,Love Bites,2024,0.0,1,0.0261,Fh
145951,Disturbed,1990,0.0,1,0.471,[
751055,2:59,2019,0.0,1,0.3001,"IT""S TIME TO FACE YOuR DEMONS"
750415,Seven,2016,0.0,1,0.2256,Z
750303,Cheap Devils,2020,0.0,1,0.3096,B542
412683,Atrapados,1981,0.0,2,0.4747,1 E
1559898,Iris,2025,0.0,4,0.1013,QKA fum Munnn[ Mu
749522,The Lady,2019,0.0,1,0.1986,IKM
1181627,Untitled,2024,0.0,1,0.1634,707a
747239,Rose or the Mute Liars,2013,0.0,5,0.4299,5 1 6 1 1
742899,The Teddy Bear's Picnic,2019,0.0,1,0.6431,5
387895,Standing in the Shadows of Love,2015,0.0,4,0.5438,2 # 6 #
486910,The Sardonic Smile,2019,0.0,1,0.4322,4
741271,The Making of 'The Thing',1982,0.0,4,0.5132,6 ' 1 2
400019,Gore Orphanage,2015,0.0,1,0.2435,1
1564878,Don't Cross the Line,2025,0.0,4,0.5434,8 8 8 8
1150192,*69,2022,0.0,1,0.0212,eMEm
928716,The Exchange,2021,0.0,6,0.4203,] 1 I K 1 1
1128474,Don't Suck,2023,0.0,2,0.4745,8 8
314364,Sakthi,1980,0.0,1,0.6039,00817
1417683,Alone,2024,0.0,1,0.2201,0
1418444,VIDEO PAL,2024,0.0,2,0.2753,T -
30919,The Wind,1987,0.0,1,0.1336,MRa
90941,Primal Rage,1988,0.0,1,0.3453,77
21841,June 9,2008,0.0,1,0.3484,3
429724,Browse,2020,0.0,1,0.6544,1
109425,Blood Games,1990,0.0,1,0.0352,84588
1187464,Temptation of the Spiritual World,1992,0.0,1,0.0277,6
445245,Gas Light,2017,0.0,1,1.0,NUN
1427968,Meurtre du tableau,2025,0.0,1,0.3395,7
1172388,L4ST,2014,0.0,1,0.0504,he
1368245,Visage,2024,0.0,1,0.2061,6
1431079,Based Amy,2025,0.0,1,0.0852,LVH
1026819,The Hunted,2024,0.0,2,0.3774,The 1
1154831,*666,2022,0.0,4,0.9142,xbbb film by Abby Falvo
1430892,Bzzzzzzz,2005,0.0,3,0.4531,THIS MdvIe I5 KILLERI Qtr
1026244,The 3rd Floor,2007,0.0,2,0.2055,8 4
1027027,Death Camp,2022,0.0,1,0.0347,[
497006,Glass,2015,0.0,1,0.0642,d5E5
1020263,I,2021,0.0,1,0.4079,1
1434162,First Ate,2025,0.0,2,0.0266,Jnc .
1434191,A Bunch of Noises in my Head,2025,0.0,1,0.1139,10783$
1043746,Built 2 Kill,2023,0.0,3,0.214,E 9 1
1137688,Cove Road,2012,0.0,1,0.1715,75
56860,Lost Signal,2006,0.0,1,0.0065,FEB
16843,11:11,2004,0.0,2,0.6804,HELL S GATE JJJ
1008515,Cleaning House,2021,0.0,2,0.5644,83 3
70351,Mirror Mirror,1990,0.0,1,0.4283,WHBBBE
30753,Night Owl,1993,0.0,1,0.2057,d
116532,Bloody Mary,2011,0.0,3,0.6005,9 3 1
1417030,Bloodsport,2025,0.0,1,0.1422,|
1333104,Snake Bite,2018,0.0,1,0.0341,1
67974,Blood Mania,1970,0.0,2,0.0684,34 #
518966,Horrorween,2012,0.0,1,0.889,1
75020,Gag,2006,0.0,1,0.4339,6n6
21509,The Cook,2008,0.0,2,0.2677,Ehe G
29060,Diary of a Madman,1963,0.0,2,0.0907,"""x 3#"
952280,Kalo Chhaya,1948,0.0,1,0.0222,#9
1284327,Godless,2018,0.0,1,0.1044,2
41543,XII,2008,0.0,1,0.9846,TWELVE
59738,Girls Nite Out,1982,0.0,1,0.2819,(W
1406155,The Man Upstairs,2024,0.0,7,0.4127,2 2 J L 3 7 3
1368769,Honeymoon,1997,0.0,1,0.036,"dpdp"""
300143,The Rainbow Man,1949,0.0,1,0.1125,#T9)
299427,Ghost Cat of Nabeshima,1949,0.0,2,0.0666,[ 1k
741635,Stuck,2020,0.0,1,0.1284,EL4X
1504830,Feeding Frenzy,2010,0.0,1,0.0047,0B28
1026401,The Ghost Catcher,1939,0.0,1,0.5012,31
1263115,The Corpse Spirit Is Pressing,2005,0.0,1,0.6552,ZU
1378781,The Giant,2012,0.0,2,0.3014,3 4
1257669,Spirit of the Broom,1939,0.0,1,0.1105,1
329877,The King Kong That Appeared in Edo,1938,0.0,6,0.2885,1 2 1 1 ' 3
1247846,The First Episode,2003,0.0,1,0.2003,Hubumb
58899,Demon Wind,1990,0.0,1,0.8909,0
1245626,King Kong Appears in Edo: The Episode of Gold,1938,0.0,4,0.1772,1 1 1 0
252797,Taro's Monster Hunt,1936,0.0,1,0.1314,I+(44 #
1379079,Pest,2024,0.0,1,0.4993,c922
1377028,Man Meat,2024,0.0,3,0.1841,1z 8q 0 Q ?
43023,Konga,1961,0.0,1,0.0078,6
