id,title,original_title,year,original_language,ocr_lang,ocr_chars,overlap_max,overlap_max_local,model,model_id,status,verdict,confidence,poster_title_guess,reason,latency_s,error
5421,Monster Hunter,Rosso sangue,1981,it,en,208,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.95,ABSURD,"Poster clearly shows 'ABSURD' title with George Eastman and different cast, not 'Monster Hunter' (Rosso sangue).",2.151,
7180,RISEN,RISEN,2008,en,en,91,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.95,WORLD OF THE LIVING DEAD,"Poster clearly displays 'WORLD OF THE LIVING DEAD' title with zombie apocalypse imagery, not 'RISEN' (2008).",3.53,
13276,Deadwater,Deadwater,2008,en,en,53,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.98,Black Ops,"Poster clearly shows 'BLACK OPS' title with Gary Stretch, James Russo, and Lance Henriksen, which is an action/thriller film, not the 2008 horror film 'Deadwater'.",3.078,
15057,The Evil Woods,The Evil Woods,2007,en,en,30,0.3333,0.3333,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.95,The Devil's Chair,"Poster clearly displays 'Adam Mason's The Devil's Chair' text, which is a different film from The Evil Woods (2007).",1.982,
20321,Doctor Sleep,Doctor Sleep,2002,en,en,27,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.95,Close Your Eyes,Poster clearly displays 'CLOSE YOUR EYES' title text and depicts a horror eye imagery unrelated to Doctor Sleep (2002).,3.633,
26208,Credo,Credo,2008,en,en,30,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.95,The Devil's Curse,"Poster clearly displays 'The Devil's Curse' as title, not 'Credo', with distinct demonic imagery inconsistent with catalog entry.",3.416,
27028,Living Dead Lock Up,Living Dead Lock Up,2005,en,en,51,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,uncertain,0.2,,"Image shows a person with a fish outside a building, not typical horror movie poster imagery, and no visible title text matches the catalog entry.",1.491,
28656,"Greta, the Mad Butcher",Greta - Haus ohne Männer,1977,de,en,26,0.25,0.25,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.95,ILSA THE WICKED WARDEN,"Poster clearly shows 'ILSA THE WICKED WARDEN' title and depicts the iconic ILSA character, not Greta from the 1977 German film.",1.773,
28930,Live Evil,Live Evil,2009,en,en,617,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.95,Samurai Priest Vampire Hunter,"Poster clearly displays 'Samurai Priest Vampire Hunter' as the title, not 'Live Evil' (2009).",1.733,
29214,Echoes,Echoes,1982,en,en,107,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.95,Living Nightmare,"Poster clearly displays 'Living Nightmare' as the title, not 'Echoes', with distinct 1980s horror artwork featuring a screaming woman and demonic cat eyes.",1.846,
29899,Claustrophobia,Claustrophobia,,,en,83,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.95,Serial Slayer,"Poster clearly displays 'Serial Slayer' as the title with tagline 'The Hunt Is On', not 'Claustrophobia'.",1.947,
30030,Eyes Are Upon You,Eyes Are Upon You,1997,en,en,41,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.95,Demon Lust,"Poster clearly displays 'Demon Lust' as the title with different cast names (Brinke Stevens, Tom Savini), not matching the catalog film 'Eyes Are Upon You'.",2.21,
30380,Wolfsbayne,Wolfsbayne,2005,en,en,95,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.95,ACONITE,"Poster clearly displays 'ACONITE' as the title, not 'Wolfsbayne', with different cast and imagery.",2.657,
34659,Broken,Broken,1993,en,en,183,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,uncertain,0.2,,"Image shows a VHS tape in an evidence bag with no visible film title, making verification against catalog entry impossible.",2.554,
35949,Jennifer's Shadow,Jennifer's Shadow,2004,en,en,83,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.95,Chronicle of the Raven,"Poster clearly displays 'Chronicle of the Raven' with tagline 'May You Finally Rest in Peace' and features Gina Phillips and Faye Dunaway, not 'Jennifer's Shadow'.",1.726,
36965,Infection,Infection,2005,en,en,29,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.95,Invasion,"Poster clearly displays 'Invasion' as the title with tagline 'Not of this earth' and depicts an alien invasion scenario, not the 2005 medical horror film 'Infection'.",2.13,
37687,3 A.M.,3 A.M.,2008,en,en,125,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.95,Paranormal Ascendancy,"Poster clearly displays 'Paranormal Ascendancy' as the title, not '3 A.M.', with different tagline and cast names.",1.755,
39924,Exposé,Exposé,1976,en,en,22,0.0,0.0,claude-haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,ok,mismatch,0.95,The House on Straw Hill,"Poster clearly displays 'THE HOUSE ON STRAW HILL' title, which is a different 1976 film, not 'Exposé'.",1.895,
