id,title,original_title,year,original_language,ocr_lang,ocr_chars,overlap_max,overlap_max_local,model,model_id,status,verdict,confidence,poster_title_guess,reason,latency_s,error
790,The Fog,The Fog,1980,en,en,23,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,THE FOG,The poster clearly displays the title 'THE FOG' and features iconic imagery associated with John Carpenter's horror film.,1.394,
1730,Inland Empire,Inland Empire,2006,en,jv,21,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,INLAND EMPIRE,"The poster displays the exact title 'INLAND EMPIRE' in large, prominent text, matching the catalog entry.",1.165,
2971,Alraune,Alraune,1952,de,en,170,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Alraune,"The poster displays the exact title 'Alraune' and features the director's name, matching the catalog entry.",2.078,
2992,Appetite,Appetite,1998,en,en,69,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Appetite,"The poster displays the title 'Appetite' clearly, matching the catalog entry.",2.882,
3410,My Friend Frankenstein,Sevimli Frankestayn,1975,tr,tr,204,0.0,0.0,nova-pro,us.amazon.nova-pro-v1:0,ok,match,0.95,Sevimli Frankestayn,"The poster clearly displays the title 'Sevimli Frankestayn', which matches the original title of the catalog film.",2.531,
4238,The Erotic Mirror,The Erotic Mirror,2002,en,en,56,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,The Erotic Mirror,The poster clearly displays the title 'The Erotic Mirror' and features imagery consistent with the catalog entry.,1.551,
4439,Goy,Goy,2007,en,en,78,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Goy,The poster displays the exact title 'Goy' and the tagline 'The Horror goes on...' which matches the catalog entry.,3.103,
4494,Rapture,Arrebato,1980,es,en,283,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,ARREBATO,The poster displays the original title 'Arrebato' and matches the catalog entry for the 1980 Spanish film 'Rapture'.,1.289,
5421,Monster Hunter,Rosso sangue,1981,it,en,208,0.0,0.0,nova-pro,us.amazon.nova-pro-v1:0,ok,mismatch,0.95,Absurd,"The poster clearly displays the title 'Absurd', which does not match the catalog film 'Monster Hunter'.",2.805,
5424,Anthropophagous,Antropophagus,1980,it,it,22,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,ANTHROPOPHAGOUS,The poster displays the exact title 'ANTHROPOPHAGOUS' and features iconic horror imagery consistent with the film.,1.398,
5844,Alive,アライヴ,2003,ja,id,154,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,ALIVE,"The poster displays the exact title 'ALIVE' and credits the director Ryūhei Kitamura, matching the catalog entry.",2.099,
5846,Sky High,スカイハイ 劇場版,2003,ja,en,79,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,SKYHIGH,The poster displays the exact title 'SKYHIGH' and matches the visual style typical of the film.,1.404,
7180,RISEN,RISEN,2008,en,en,91,0.0,0.0,nova-pro,us.amazon.nova-pro-v1:0,ok,mismatch,0.95,WORLD OF THE LIVING DEAD,"The poster clearly shows a different title, 'WORLD OF THE LIVING DEAD', which does not match the catalog film 'RISEN'.",2.433,
8555,Creep,Creep,2004,en,en,20,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,CREEP,The poster displays the exact title 'CREEP' and features a recognizable horror-themed visual style consistent with the film.,1.623,
9755,Bloodsuckers,Bloodsuckers,2005,en,en,104,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,BLOODSUCKERS,"The poster displays the exact title 'BLOODSUCKERS' and features a vampire-like character, aligning with the catalog entry.",1.31,
9937,El Chupacabra,El Chupacabra,2003,en,en,228,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,El Chupacabra,The poster prominently displays the title 'El Chupacabra' and features iconic horror imagery consistent with the film's branding.,1.231,
10359,Resurrection,Resurrection,1999,en,en,110,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Resurrection,The poster displays the exact title 'Resurrection' and matches the visual style typical of horror films from the late 1990s.,1.518,
12662,Psycho III,Psycho III,1986,en,fr,37,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,PSYCHO III,"The poster clearly displays the title 'PSYCHO III' and features the iconic Bates Motel, matching the catalog entry.",1.681,
13276,Deadwater,Deadwater,2008,en,en,53,0.0,0.0,nova-pro,us.amazon.nova-pro-v1:0,ok,mismatch,0.9,BlackOps,"The poster clearly shows the title 'BlackOps', which does not match the catalog film 'Deadwater'.",1.874,
14372,Leviathan,Leviathan,1989,en,en,28,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,LEVIATHAN,The poster displays the exact title 'LEVIATHAN' and features underwater action consistent with the film's theme.,2.208,
15057,The Evil Woods,The Evil Woods,2007,en,en,30,0.3333,0.3333,nova-pro,us.amazon.nova-pro-v1:0,ok,mismatch,0.9,The Devil's Chair,"Poster clearly shows 'The Devil's Chair', not 'The Evil Woods'.",1.791,
15724,Encounter of the Spooky Kind,鬼打鬼,1980,cn,en,26,0.2,0.2,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,鬼打鬼,"The poster displays the original Chinese title 鬼打鬼 and the English translation 'Spooky Encounters', matching the catalog entry.",1.6,
16184,The Happiness of the Katakuris,カタクリ家の幸福,2002,ja,en,21,0.25,0.25,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,The Happiness of the Katakuris,"The poster displays the exact title and distinctive surreal, colorful style associated with the film.",1.512,
16209,Jesus Christ Vampire Hunter,Jesus Christ Vampire Hunter,2001,en,en,30,0.25,0.25,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,JESUS CHRIST VAMPIRE HUNTER,The poster displays the exact title 'JESUS CHRIST VAMPIRE HUNTER' and features characters consistent with the film's theme.,1.213,
16221,Dororo,どろろ,2007,ja,en,38,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,DORORO,The poster displays the exact title 'DORORO' and features iconic samurai imagery consistent with the film.,1.88,
17278,Mad Monster Party?,Mad Monster Party?,1967,en,en,480,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Mad Monster Party,The poster clearly displays the title 'Mad Monster Party' and features iconic monster characters consistent with the film.,1.632,
18213,Bikini Bloodbath,Bikini Bloodbath,2006,en,en,69,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,BIKINI BLOODBATH,"The poster displays the exact title 'BIKINI BLOODBATH' in large, prominent text, matching the catalog entry.",2.604,
18754,Mysterious Island,孤岛惊魂,2011,zh,en,132,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,孤岛惊魂,"The poster displays the exact original title ""孤岛惊魂"" matching the catalog entry.",1.907,
19025,Bhool Bhulaiyaa,भूल भुलैया,2007,hi,tl,21,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Bhool Bhulaiyaa,"The poster displays the exact title 'Bhool Bhulaiyaa' and features a group in traditional Indian attire, consistent with the film's style and branding.",1.271,
19281,Immortally Yours,Immortally Yours,2009,en,en,146,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,KISS THE VAMPIRE,The poster features the title 'Kiss the Vampire' and the tagline 'A Taste For Blood... And A Search For Immortality!' which aligns with the catalog film's theme and year.,1.641,
19383,Targets,Targets,,,en,41,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,TARGETS,The poster prominently displays the title 'TARGETS' and features a graphic design consistent with the film's theme.,1.495,
19950,Yavarum Nalam,யாவரும் நலம்,2009,ta,en,26,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.9,13B,"The poster displays the title '13B' and the tagline 'FEAR HAS A NEW ADDRESS,' which aligns with the known title and theme of the film 'Yavarum Nalam.'",1.257,
20019,Brocéliande,Brocéliande,2003,fr,fr,77,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Brocéliande,The poster displays the exact title 'Brocéliande' and matches the film's branding and visual style.,1.483,
20121,Killdozer,Killdozer,1974,en,en,61,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Killdozer,"The poster prominently displays the title 'Killdozer' and features a bulldozer in a horror-themed setting, aligning with the catalog entry.",2.662,
20321,Doctor Sleep,Doctor Sleep,2002,en,en,27,0.0,0.0,nova-pro,us.amazon.nova-pro-v1:0,ok,mismatch,0.9,Close Your Eyes,"The poster clearly displays the title 'Close Your Eyes', which does not match the catalog film 'Doctor Sleep'.",2.959,
23508,Embodiment of Evil,Encarnação do Demônio,2008,pt,en,28,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,EMBODIMENT OF EVIL,"The poster displays the exact title 'EMBODIMENT OF EVIL' and features Coffin Joe, iconic to the film series.",1.571,
23683,The Poker Club,The Poker Club,2008,en,en,21,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,THE POKER CLUB,The poster displays the exact title 'THE POKER CLUB' and features poker-related imagery consistent with the film's theme.,1.668,
23730,C.H.U.D.,C.H.U.D.,1984,en,en,58,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,C.H.U.D.,"The poster displays the exact title 'C.H.U.D.' and features iconic imagery of a flying saucer crashing into a city, aligning with the film's theme and visual style.",2.731,
23793,Aa Intlo,Aa Intlo,2009,te,id,61,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.9,Aa Intlo,"The poster prominently displays the title 'Aa Intlo' in Telugu script, matching the catalog entry.",1.76,
24196,The Hillside Strangler,The Hillside Strangler,2004,en,en,21,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,THE HILLSIDE STRANGLER,"The poster displays the exact title 'THE HILLSIDE STRANGLER' and features a gripping hand holding a rope, aligning with the film's branding.",2.267,
24643,Lost Colony: The Legend of Roanoke,Wraiths of Roanoke,2007,en,en,83,0.3333,0.3333,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.9,LOST COLONY,The poster displays the exact title 'LOST COLONY' and features horror-themed imagery consistent with the catalog entry.,1.673,
24836,August Underground,August Underground,2001,en,de,24,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,august UnderGround,"The poster displays the exact title 'august UnderGround' and features graphic, gritty imagery consistent with the film's style.",1.672,
25155,The Stepfather,The Stepfather,1987,en,en,29,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,THE STEPFATHER,The poster displays the exact title 'THE STEPFATHER' and features a recognizable scene from the film.,1.442,
25714,The Return of James Battle,Atomik Circus - Le retour de James Bataille,2004,fr,fr,198,0.2,0.1429,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,ATOMIK CIRCUS,Poster displays the exact title 'ATOMIK CIRCUS' matching the original title of the catalog film.,1.782,
26208,Credo,Credo,2008,en,en,30,0.0,0.0,nova-pro,us.amazon.nova-pro-v1:0,ok,mismatch,0.95,The Devil's Curse,"The title 'The Devil's Curse' is clearly visible on the poster, which does not match the catalog film 'Credo'.",1.465,
26215,Quicksilver Highway,Quicksilver Highway,1997,en,en,21,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,QUICK SILVER HIGHWAY,"The poster displays the exact title 'QUICK SILVER HIGHWAY' and features a stylized, eerie visual consistent with horror themes.",1.605,
26588,Summer's Blood,Summer's Blood,2009,en,en,26,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,Summer's Moon,"The poster features Ashley Greene and the title 'Summer's Moon,' which aligns with the catalog entry for 'Summer's Blood' (2009).",1.16,
26914,Troll 2,Troll 2,1990,en,en,25,0.0,0.0,nova-lite,us.amazon.nova-2-lite-v1:0,ok,match,0.95,TROLL2,The poster prominently displays the title 'TROLL2' matching the catalog entry.,1.057,
