id,title,original_title,year,original_language,ocr_lang,ocr_chars,overlap_max,overlap_max_local,model,model_id,status,verdict,confidence,poster_title_guess,reason,latency_s,error
5421,Monster Hunter,Rosso sangue,1981,it,en,208,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,match,0.92,ABSURD,Poster shows 'ABSURD' which is the English release title for the 1981 Italian film 'Rosso sangue' (also known as Monster Hunter).,3.837,
7180,RISEN,RISEN,2008,en,en,91,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,0.98,WORLD OF THE LIVING DEAD,Poster clearly shows title 'WORLD OF THE LIVING DEAD' which does not match catalog entry 'RISEN'.,4.671,
13276,Deadwater,Deadwater,2008,en,en,53,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,0.95,BLACK OPS,"Poster clearly shows title 'BLACK OPS' with actors Gary Stretch, James Russo, and Lance Henriksen, which does not match the catalog film 'Deadwater' from 2008.",5.695,
15057,The Evil Woods,The Evil Woods,2007,en,en,30,0.3333,0.3333,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,0.95,The Devil's Chair,Poster clearly shows 'ADAM MASON'S THE DEVIL'S CHAIR' which is a different film than 'The Evil Woods'.,2.986,
20321,Doctor Sleep,Doctor Sleep,2002,en,en,27,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,0.95,Close Your Eyes,Poster clearly shows title 'Close Your Eyes' which does not match catalog entry 'Doctor Sleep' from 2002.,3.538,
26208,Credo,Credo,2008,en,en,30,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,0.95,The Devil's Curse,Poster clearly displays title 'THE DEVIL'S CURSE' which does not match catalog film 'Credo' from 2008.,2.735,
27028,Living Dead Lock Up,Living Dead Lock Up,2005,en,en,51,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,0.95,,Image shows a person in casual clothing by a car with no horror or zombie imagery typical of a 'Living Dead' film poster.,2.667,
28656,"Greta, the Mad Butcher",Greta - Haus ohne Männer,1977,de,en,26,0.25,0.25,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,match,0.92,ILSA THE WICKED WARDEN,"This is an alternate English release title for 'Greta - Haus ohne Männer' (1977), part of the Ilsa exploitation series.",2.663,
28930,Live Evil,Live Evil,2009,en,en,617,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,1.0,Samurai Priest Vampire Hunter,Poster clearly shows title 'Samurai Priest Vampire Hunter' which is completely different from catalog film 'Live Evil'.,3.118,
29214,Echoes,Echoes,1982,en,en,107,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,0.98,Living Nightmare,Poster clearly shows title 'Living Nightmare' which does not match catalog entry 'Echoes' from 1982.,3.531,
29899,Claustrophobia,Claustrophobia,,,en,83,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,0.98,Serial Slayer,Poster clearly displays title 'Serial Slayer' which does not match catalog entry 'Claustrophobia'.,2.593,
30030,Eyes Are Upon You,Eyes Are Upon You,1997,en,en,41,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,0.95,DEMONLUST,"Poster clearly shows title 'DEMONLUST' with stars Brinke Stevens and Tom Savini, not 'Eyes Are Upon You'.",4.64,
30380,Wolfsbayne,Wolfsbayne,2005,en,en,95,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,0.95,ACONITE,"Poster clearly displays the title 'ACONITE' in large red letters at the top, not 'Wolfsbayne'.",3.194,
34659,Broken,Broken,1993,en,en,183,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,uncertain,0.3,,Image shows VHS tapes in an evidence bag with no clearly readable title to confirm match with 1993 film 'Broken'.,2.986,
35949,Jennifer's Shadow,Jennifer's Shadow,2004,en,en,83,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,0.98,Chronicle of the Raven,"Poster clearly shows title 'Chronicle of the Raven' with stars Gina Phillips and Faye Dunaway, not 'Jennifer's Shadow'.",2.979,
36965,Infection,Infection,2005,en,en,29,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,0.95,Invasion,"Poster clearly shows title 'Invasion' with sci-fi meteor/space theme, not 'Infection'.",2.334,
37687,3 A.M.,3 A.M.,2008,en,en,125,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,0.95,PARANORMAL ASCENDANCY,Poster clearly shows title 'PARANORMAL ASCENDANCY' which does not match catalog film '3 A.M.',2.765,
39924,Exposé,Exposé,1976,en,en,22,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,match,0.95,THE HOUSE ON STRAW HILL,"The House on Straw Hill is the alternate title for the 1976 film Exposé, matching the year and horror genre.",3.473,
40338,Naked Massacre,Die Hinrichtung,1976,en,en,21,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,0.95,BORN FOR HELL,Poster clearly shows title 'BORN FOR HELL' which does not match catalog entry 'Naked Massacre' or 'Die Hinrichtung'.,4.196,
42735,Fanatic,Fanatic,1965,en,en,20,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,match,0.95,DIE! DIE! MY DARLING!,The poster shows 'DIE! DIE! MY DARLING!' which is the US release title for the 1965 film 'Fanatic'.,2.568,
45511,Teacher's Pet,Teacher's Pet,2000,en,en,20,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,1.0,Devil in the Flesh 2,"Poster clearly shows 'Devil in the Flesh 2' title, which is a completely different film from 'Teacher's Pet' (2000).",2.422,
47431,To Make a Killing,To Make a Killing,1988,en,ro,592,0.0,0.0,claude-sonnet,us.anthropic.claude-sonnet-4-5-20250929-v1:0,ok,mismatch,0.95,Vicious,"Poster clearly displays the title 'Vicious' in red text at the bottom, not 'To Make a Killing'.",3.123,
