id,title,ocr_chars,overlap_max,ocr_lang,original_language
581009,Slash,328,0.0,en,en
416530,Slasher.com,689,0.0,en,en
1465078,Sweet Molly,320,0.0,id,en
1708236,,544,0.0,en,
346477,PDA Massacre,634,0.0,en,en
527717,Selfie,366,0.0,et,en
1206349,,322,0.0,en,
514653,Menhir,524,0.0,en,xx
1514116,,409,0.0,nl,
1691522,LOTTIE,302,0.0,en,
206860,Tokak,265,0.0,id,en
1168742,,458,0.0,et,
1241263,,295,0.0,it,
1669174,Celebration of Life,239,0.0,nl,en
910838,Bella,324,0.0,es,es
707142,Slip,406,0.0,en,en
354888,CCTV,569,0.0,ms,en
260739,Agadam,266,0.0,nl,en
784495,Starfuc*er,625,0.0,en,
1138722,,536,0.0,en,
1277059,,521,0.0,en,
43796,Spooks Run Wild,234,0.0,en,en
551220,Fairfield,568,0.0,en,en
27468,Zombiegeddon,315,0.0,en,en
1227379,Opprobrium,249,0.0,it,en
154300,Poisoned,266,0.0,id,he
370365,Archipelago,276,0.0,en,no
1286067,Cruagh,331,0.0,tl,en
1390975,,272,0.0,en,
858188,Knit,608,0.0,nl,en
496438,Behemoth,246,0.0,et,en
1239944,Kanbalhi,584,0.0,et,en
470594,Estrangement,433,0.0,pt,pt
1437763,,616,0.0,nl,
1302468,,543,0.0,en,
881424,,370,0.0,et,
897496,Calcium,665,0.0,en,sv
1356296,,579,0.0,et,
1145970,,396,0.0,en,
1594891,Lifewasters,368,0.0,en,en
1573354,MANHUNT,304,0.0,no,en
389709,,570,0.0,en,
859048,,406,0.0,en,
1155858,,666,0.0,en,
1255486,,224,0.0,en,
973031,Ophidian,316,0.0,en,pt
708289,Vortex,292,0.0,en,es
1335967,,505,0.0,tl,
1620267,,311,0.0,en,
466939,Daikaiju Eiga G,433,0.0,en,ja
1445148,,270,0.0,it,
930888,Bhoy Peyo Na,281,0.0,en,bn
90629,Midnight Beating,229,0.0,ro,zh
913021,Yarn,226,0.0,es,es
541526,Messengers,281,0.0,en,en
425835,Dagim,478,0.0,en,tl
1184670,,276,0.0,en,
1142429,Conclusion,564,0.0,et,
212960,"Cañitas, presencia",331,0.0,es,es
1016404,Bhoote Biswas Koren?,438,0.0,en,bn
982778,Tío,221,0.0,es,es
609564,Tránsito,624,0.0,es,es
465709,Akado,481,0.0,tl,en
1559898,Iris,291,0.0,id,en
595951,Scare BNB,247,0.0,en,en
1689617,,227,0.0,en,
884402,Boo!,631,0.0,et,
427243,Consommé,286,0.0,no,en
1074012,Marked,525,0.0,cy,
561576,Haunted House Rides,559,0.0,id,id
