id,title,original_title,original_language,ocr_source,ocr_chars,ocr_lang,ocr_lang_score,overlap_title,overlap_original,overlap_max_local,translated,overlap_translated,overlap_max,translate_error,suspect
176,Saw,Saw,en,detecttext_essay,4,en,0.9165,0.0,0.0,0.0,0,,0.0,,1
348,Alien,Alien,en,detecttext_essay,9,en,0.5,0.0,0.0,0.0,0,,0.0,,1
539,Psycho,Psycho,en,detecttext_essay,10,en,0.4235,0.0,0.0,0.0,0,,0.0,,1
561,Constantine,Constantine,en,detecttext_essay,10,en,0.9433,0.0,0.0,0.0,0,,0.0,,1
579,Jaws 2,Jaws 2,en,detecttext_essay,5,en,0.9326,0.0,0.0,0.0,0,,0.0,,1
763,Braindead,Braindead,en,detecttext_essay,8,en,0.5641,0.0,0.0,0.0,0,,0.0,,1
765,Evil Dead II,Evil Dead II,en,detecttext_essay,11,de,0.7174,0.3333,0.3333,0.3333,1,0.3333,0.3333,,1
779,Vampyr,Vampyr - Der Traum des Allan Grey,de,detecttext_essay,5,fi,0.4964,0.0,0.0,0.0,1,0.0,0.0,,1
790,The Fog,The Fog,en,detecttext_essay,23,en,0.9845,0.0,0.0,0.0,0,,0.0,,1
794,The Omen,The Omen,en,detecttext_essay,7,en,0.9973,0.0,0.0,0.0,0,,0.0,,1
827,Diabolique,Les Diaboliques,fr,detecttext_alllang,10,fr,0.7107,0.0,0.0,0.0,1,0.0,0.0,,1
1448,The Wisdom of Crocodiles,The Wisdom of Crocodiles,en,detecttext_essay,11,en,0.9578,0.0,0.0,0.0,0,,0.0,,1
1678,Godzilla,ゴジラ,ja,detecttext_alllang,5,en,0.9773,0.0,0.0,0.0,0,,0.0,,1
1691,Hostel: Part II,Hostel: Part II,en,detecttext_essay,13,de,0.2386,0.3333,0.3333,0.3333,1,0.3333,0.3333,,1
1730,Inland Empire,Inland Empire,en,detecttext_essay,21,jv,0.7223,0.0,0.0,0.0,1,0.0,0.0,,1
1872,Rise: Blood Hunter,Rise: Blood Hunter,en,detecttext_essay,16,af,0.4213,0.3333,0.3333,0.3333,1,0.3333,0.3333,,1
2269,Day Watch,Дневной дозор,ru,detecttext_alllang,8,en,0.845,0.0,0.0,0.0,0,,0.0,,1
2675,Signs,Signs,,detecttext_essay,6,en,0.9473,0.0,0.0,0.0,0,,0.0,,1
2969,A Daughter Of Destiny,Alraune,de,detecttext_essay,4,fr,0.4433,0.0,0.0,0.0,1,0.0,0.0,,1
2970,Alraune,Alraune,de,detecttext_essay,6,et,0.839,0.0,0.0,0.0,1,0.0,0.0,,1
2971,Alraune,Alraune,de,detecttext_alllang,170,en,0.338,0.0,0.0,0.0,0,,0.0,,1
2992,Appetite,Appetite,en,detecttext_essay,69,en,0.9723,0.0,0.0,0.0,0,,0.0,,1
3022,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,en,detecttext_essay,8,en,0.6344,0.2,0.2,0.2,0,,0.2,,1
3030,End of the World,End of the World,,detecttext_essay,11,pl,0.3253,0.25,0.25,0.25,1,0.25,0.25,,1
3162,Blackenstein,Blackenstein,en,detecttext_essay,12,de,0.9463,0.0,0.0,0.0,1,0.0,0.0,,1
3410,My Friend Frankenstein,Sevimli Frankestayn,tr,detecttext_alllang,204,tr,0.357,0.0,0.0,0.0,1,0.0,0.0,,1
3593,Dr. Cyclops,Dr. Cyclops,en,detecttext_essay,9,nl,0.7854,0.0,0.0,0.0,1,0.0,0.0,,1
4238,The Erotic Mirror,The Erotic Mirror,en,detecttext_essay,56,en,0.6393,0.3333,0.3333,0.3333,0,,0.3333,,1
4365,Munchies,Munchies,en,detecttext_essay,11,en,0.6676,0.0,0.0,0.0,0,,0.0,,1
