id,source,status,in_w,in_h,out_w,out_h,error
1693,orig,ok,1000,1500,1000,1500,
1702,orig,ok,1000,1500,1000,1500,
1842,orig,ok,1000,1500,1000,1500,
1877,orig,ok,1000,1500,1000,1500,
2154,orig,ok,1000,1500,1000,1500,
2675,orig,ok,1000,1500,1000,1500,
2957,up,ok,1892,2836,1000,1500,
2961,orig,ok,1197,1676,1000,1500,
2981,orig,ok,2000,3000,1000,1500,
2989,orig,ok,2000,3000,1000,1500,
2992,up,ok,1000,1500,1000,1500,
3017,orig,ok,1604,2406,1000,1500,
3025,orig,ok,1000,1500,1000,1500,
3030,orig,ok,1000,1500,1000,1500,
3043,orig,ok,2000,2999,1000,1500,
3051,up,ok,1600,2400,1000,1500,
3069,up,ok,1920,2880,1000,1500,
3072,orig,ok,2000,3000,1000,1500,
3075,up,ok,1920,2880,1000,1500,
3104,orig,ok,1000,1500,1000,1500,
3117,orig,ok,1000,1500,1000,1500,
3119,up,ok,1320,1980,1000,1500,
3124,orig,ok,1000,1500,1000,1500,
3125,orig,ok,1000,1500,1000,1500,
3127,up,ok,1000,1500,1000,1500,
3145,orig,ok,1000,1500,1000,1500,
3149,up,ok,1902,2854,1000,1500,
3162,orig,ok,1180,1770,1000,1500,
3164,orig,ok,1000,1500,1000,1500,
3165,up,ok,1920,2880,1000,1500,
3166,orig,ok,1200,1600,1000,1500,
3201,orig,ok,1000,1500,1000,1500,
3202,up,ok,1920,2880,1000,1500,
3206,up,ok,1560,2312,1000,1500,
3208,orig,ok,1410,2115,1000,1500,
3209,orig,ok,1000,1500,1000,1500,
3210,up,ok,1094,1642,1000,1500,
3290,orig,ok,1000,1401,1000,1500,
3345,up,ok,1160,1818,1000,1500,
3349,up,ok,1200,1802,1000,1500,
3350,up,ok,1100,1656,1000,1500,
3412,up,ok,1200,1802,1000,1500,
3484,orig,ok,1600,2400,1000,1500,
3485,orig,ok,1000,1500,1000,1500,
3488,up,ok,1360,2000,1000,1500,
3490,up,ok,1920,2880,1000,1500,
3574,orig,ok,1000,1500,1000,1500,
3575,orig,ok,1000,1500,1000,1500,
3581,orig,ok,1412,2119,1000,1500,
3593,orig,ok,2000,3000,1000,1500,
4231,up,ok,1000,1500,1000,1500,
4238,up,ok,1430,2146,1000,1500,
4284,up,ok,1000,1500,1000,1500,
4288,orig,ok,1000,1500,1000,1500,
4289,up,ok,1912,2868,1000,1500,
4290,up,ok,1408,2112,1000,1500,
4368,orig,ok,1000,1500,1000,1500,
4457,up,ok,1920,2880,1000,1500,
4858,orig,ok,1000,1500,1000,1500,
4879,orig,ok,1880,2820,1000,1500,
4883,orig,ok,1000,1500,1000,1500,
5247,orig,ok,1000,1500,1000,1500,
5333,orig,ok,1000,1500,1000,1500,
5470,up,ok,1200,1800,1000,1500,
5489,up,ok,1600,2400,1000,1500,
5719,orig,ok,1200,1800,1000,1500,
5730,orig,ok,1000,1500,1000,1500,
5733,orig,ok,1000,1500,1000,1500,
5734,up,ok,1000,1500,1000,1500,
5735,orig,ok,1000,1500,1000,1500,
5751,up,ok,1920,2880,1000,1500,
5752,orig,ok,1000,1500,1000,1500,
5755,orig,ok,1280,1920,1000,1500,
5763,orig,ok,1000,1500,1000,1500,
5898,orig,ok,1000,1501,1000,1500,
6974,orig,ok,1350,2025,1000,1500,
6976,orig,ok,1000,1500,1000,1500,
7180,up,ok,1512,2268,1000,1500,
7181,orig,ok,1000,1500,1000,1500,
7292,orig,ok,1000,1500,1000,1500,
7392,orig,ok,1000,1500,1000,1500,
7454,up,ok,1698,2400,1000,1500,
8090,orig,ok,1000,1500,1000,1500,
8316,orig,ok,1000,1500,1000,1500,
8771,orig,ok,1000,1500,1000,1500,
9640,orig,ok,1000,1500,1000,1500,
9783,up,ok,1000,1500,1000,1500,
9814,orig,ok,1400,2100,1000,1500,
9847,orig,ok,1000,1500,1000,1500,
9898,orig,ok,1000,1500,1000,1500,
9935,orig,ok,1000,1500,1000,1500,
9938,orig,ok,1000,1500,1000,1500,
9940,up,ok,1560,2340,1000,1500,
9949,orig,ok,1000,1500,1000,1500,
9987,up,ok,1920,2880,1000,1500,
10011,up,ok,1778,2668,1000,1500,
10031,up,ok,1920,2880,1000,1500,
10041,orig,ok,1500,2222,1000,1500,
10042,orig,ok,1000,1500,1000,1500,
10055,up,ok,1000,1500,1000,1500,
10062,orig,ok,1000,1500,1000,1500,
10076,orig,ok,1000,1500,1000,1500,
10088,up,ok,1512,2268,1000,1500,
10094,orig,ok,1000,1500,1000,1500,
10095,up,ok,1200,1800,1000,1500,
10113,orig,ok,2000,3000,1000,1500,
10114,up,ok,1546,2318,1000,1500,
10121,up,ok,1000,1500,1000,1500,
10124,orig,ok,1000,1500,1000,1500,
10250,orig,ok,1000,1500,1000,1500,
10251,orig,ok,1000,1500,1000,1500,
10256,orig,ok,2000,3000,1000,1500,
10272,orig,ok,1500,2250,1000,1500,
10558,up,ok,1580,2372,1000,1500,
10579,orig,ok,1332,2000,1000,1500,
10702,up,ok,1000,1500,1000,1500,
10730,orig,ok,2000,3000,1000,1500,
11376,orig,ok,1000,1500,1000,1500,
11926,up,ok,1000,1500,1000,1500,
12175,up,ok,1676,2416,1000,1500,
12216,up,ok,1000,1500,1000,1500,
12532,orig,ok,1482,2223,1000,1500,
12587,orig,ok,1000,1500,1000,1500,
12653,up,ok,1660,2490,1000,1500,
12682,up,ok,1920,2880,1000,1500,
12683,up,ok,1200,1800,1000,1500,
12759,orig,ok,1175,1763,1000,1500,
12791,up,ok,1920,2880,1000,1500,
13008,orig,ok,2000,3000,1000,1500,
13106,orig,ok,1500,2250,1000,1500,
13151,up,ok,1332,2000,1000,1500,
13254,orig,ok,1000,1500,1000,1500,
13276,orig,ok,1526,2161,1000,1500,
13340,orig,ok,1000,1500,1000,1500,
13511,orig,ok,1280,1920,1000,1500,
13546,up,ok,1600,2400,1000,1500,
13556,up,ok,1000,1500,1000,1500,
13566,up,ok,1920,2880,1000,1500,
13568,up,ok,1920,2880,1000,1500,
13569,up,ok,1920,2880,1000,1500,
13784,orig,ok,1000,1500,1000,1500,
13826,up,ok,1600,2400,1000,1500,
13903,up,ok,1560,2340,1000,1500,
13945,orig,ok,2000,3000,1000,1500,
13946,orig,ok,1000,1500,1000,1500,
14025,orig,ok,1000,1500,1000,1500,
14122,orig,ok,1500,2250,1000,1500,
14143,up,ok,1440,2160,1000,1500,
14147,orig,ok,1400,2100,1000,1500,
14157,orig,ok,1000,1500,1000,1500,
14209,up,ok,1000,1500,1000,1500,
14212,orig,ok,1000,1500,1000,1500,
14228,orig,ok,1000,1500,1000,1500,
14248,orig,ok,1000,1500,1000,1500,
14255,orig,ok,1000,1500,1000,1500,
14417,up,ok,1920,2880,1000,1500,
14440,up,ok,1600,2400,1000,1500,
14472,orig,ok,1000,1500,1000,1500,
14604,orig,ok,1000,1500,1000,1500,
14605,up,ok,1920,2880,1000,1500,
14686,orig,ok,1000,1500,1000,1500,
14795,up,ok,1438,2160,1000,1500,
14814,up,ok,1080,1620,1000,1500,
14833,up,ok,1560,2340,1000,1500,
14838,up,ok,1920,2880,1000,1500,
14862,orig,ok,1000,1500,1000,1500,
14866,orig,ok,1000,1500,1000,1500,
14915,orig,ok,2000,3000,1000,1500,
14916,orig,ok,1500,2250,1000,1500,
14929,orig,ok,2000,3000,1000,1500,
14977,up,ok,1600,2400,1000,1500,
14983,up,ok,1920,2880,1000,1500,
15011,up,ok,1000,1500,1000,1500,
15057,up,ok,1000,1500,1000,1500,
15182,orig,ok,1000,1500,1000,1500,
15282,up,ok,1000,1500,1000,1500,
15398,up,ok,1200,1800,1000,1500,
15418,orig,ok,1000,1500,1000,1500,
15420,orig,ok,1000,1500,1000,1500,
15422,up,ok,1920,2880,1000,1500,
15425,orig,ok,1000,1500,1000,1500,
15426,orig,ok,1000,1500,1000,1500,
15434,orig,ok,2000,3000,1000,1500,
15473,orig,ok,1000,1500,1000,1500,
15476,orig,ok,1000,1500,1000,1500,
15488,orig,ok,1000,1500,1000,1500,
15652,orig,ok,1000,1500,1000,1500,
15701,orig,ok,1000,1500,1000,1500,
15714,up,ok,1920,2880,1000,1500,
15900,orig,ok,1000,1500,1000,1500,
15901,up,ok,1536,2304,1000,1500,
15902,up,ok,1536,2304,1000,1500,
16027,up,ok,1600,2400,1000,1500,
16080,orig,ok,1000,1500,1000,1500,
16160,orig,ok,1067,1600,1000,1500,
16179,up,ok,1600,2400,1000,1500,
16207,orig,ok,1067,1600,1000,1500,
16208,orig,ok,1000,1500,1000,1500,
16271,orig,ok,1189,1783,1000,1500,
16280,up,ok,1396,1998,1000,1500,
16309,orig,ok,1280,1920,1000,1500,
16315,orig,ok,1000,1500,1000,1500,
16350,orig,ok,1200,1800,1000,1500,
16431,orig,ok,1000,1416,1000,1500,
16445,up,ok,1638,2454,1000,1500,
16611,orig,ok,1000,1500,1000,1500,
16722,orig,ok,1000,1500,1000,1500,
16763,orig,ok,1600,2400,1000,1500,
16843,orig,ok,1000,1500,1000,1500,
16915,orig,ok,1438,2156,1000,1500,
16922,up,ok,1000,1500,1000,1500,
16925,up,ok,1000,1500,1000,1500,
16973,orig,ok,1000,1500,1000,1500,
17088,orig,ok,1079,1417,1000,1500,
17110,orig,ok,1000,1500,1000,1500,
17138,orig,ok,1712,2560,1000,1500,
17140,orig,ok,1000,1500,1000,1500,
17154,up,ok,1000,1500,1000,1500,
17158,orig,ok,1000,1500,1000,1500,
17166,up,ok,1560,2340,1000,1500,
17212,orig,ok,2000,3000,1000,1500,
17240,orig,ok,1000,1500,1000,1500,
17319,up,ok,1000,1500,1000,1500,
17469,up,ok,1920,2880,1000,1500,
17482,orig,ok,1500,2250,1000,1500,
17874,orig,ok,1000,1500,1000,1500,
17923,orig,ok,2000,3000,1000,1500,
18015,orig,ok,1366,2048,1000,1500,
18029,orig,ok,1000,1500,1000,1500,
18040,orig,ok,1161,1741,1000,1500,
18045,up,ok,1924,2888,1000,1500,
18096,up,ok,1920,2880,1000,1500,
18100,up,ok,1920,2880,1000,1500,
18177,orig,ok,1000,1500,1000,1500,
18210,orig,ok,1000,1500,1000,1500,
18213,up,ok,1980,2958,1000,1500,
18217,orig,ok,1920,2880,1000,1500,
18242,orig,ok,2000,3000,1000,1500,
18274,orig,ok,1000,1500,1000,1500,
18278,orig,ok,1000,1500,1000,1500,
18338,orig,ok,1000,1500,1000,1500,
18392,orig,ok,1400,2100,1000,1500,
18397,orig,ok,1000,1500,1000,1500,
18440,orig,ok,1000,1500,1000,1500,
18441,orig,ok,1175,1763,1000,1500,
18442,up,ok,1920,2880,1000,1500,
18443,up,ok,1600,2400,1000,1500,
18467,orig,ok,2000,3000,1000,1500,
18496,up,ok,1600,2400,1000,1500,
18547,orig,ok,1000,1500,1000,1500,
18556,up,ok,1920,2880,1000,1500,
18557,up,ok,1000,1500,1000,1500,
18616,orig,ok,1000,1500,1000,1500,
18634,up,ok,1334,1874,1000,1500,
18724,orig,ok,1000,1500,1000,1500,
18726,orig,ok,1000,1500,1000,1500,
18759,orig,ok,1000,1500,1000,1500,
18773,orig,ok,2000,3000,1000,1500,
18779,orig,ok,1000,1500,1000,1500,
18851,up,ok,1920,2880,1000,1500,
18910,orig,ok,1920,2880,1000,1500,
18932,orig,ok,1374,2061,1000,1500,
18969,up,ok,1920,2880,1000,1500,
19066,orig,ok,1280,1920,1000,1500,
19085,up,ok,1792,2690,1000,1500,
19116,orig,ok,1000,1500,1000,1500,
19154,orig,ok,1000,1500,1000,1500,
19201,orig,ok,1000,1500,1000,1500,
19205,orig,ok,1000,1500,1000,1500,
19222,orig,ok,1000,1500,1000,1500,
19281,up,ok,1000,1500,1000,1500,
19296,up,ok,1400,1970,1000,1500,
19298,orig,ok,1000,1500,1000,1500,
19383,orig,ok,2000,3000,1000,1500,
19551,orig,ok,2000,3000,1000,1500,
19564,orig,ok,1402,2104,1000,1500,
19604,up,ok,1920,2880,1000,1500,
19816,up,ok,1000,1500,1000,1500,
19854,orig,ok,1000,1500,1000,1500,
19969,orig,ok,1000,1500,1000,1500,
20016,orig,ok,1000,1500,1000,1500,
20215,orig,ok,1920,2879,1000,1500,
20216,up,ok,1920,2880,1000,1500,
20321,orig,ok,1000,1500,1000,1500,
20357,up,ok,1800,2700,1000,1500,
20381,orig,ok,1400,2100,1000,1500,
20432,orig,ok,1000,1500,1000,1500,
20446,orig,ok,1000,1500,1000,1500,
20591,orig,ok,1000,1500,1000,1500,
20608,up,ok,1000,1500,1000,1500,
20620,orig,ok,1000,1500,1000,1500,
20669,orig,ok,1000,1500,1000,1500,
20695,orig,ok,1000,1500,1000,1500,
20706,up,ok,1260,2400,1000,1500,
20880,orig,ok,1000,1500,1000,1500,
20919,up,ok,1920,2880,1000,1500,
21034,orig,ok,1260,1800,1000,1500,
21141,orig,ok,1000,1500,1000,1500,
21158,up,ok,1920,2880,1000,1500,
21163,up,ok,1920,2880,1000,1500,
21166,orig,ok,1000,1500,1000,1500,
21343,up,ok,1000,1500,1000,1500,
21536,up,ok,1920,2880,1000,1500,
21562,orig,ok,1060,1590,1000,1500,
