id,width,height,bytes
320380,600,900,107801
664862,500,750,104711
948056,500,750,66069
981608,500,750,95003
1261573,1079,1619,242752
1258584,1214,1619,337594
510733,500,750,134708
851308,500,750,95562
27512,500,750,110155
1080723,716,1074,211198
1261561,1103,1471,330222
643237,1313,1969,353491
862538,500,750,111888
918940,898,1257,306153
1261552,1079,1619,286848
727488,1009,1412,331099
330169,500,750,82178
337184,570,855,158122
595631,667,1000,282766
1165122,1121,1681,118939
445494,1436,2154,737299
466929,500,750,70403
580441,500,750,133617
330173,500,750,115622
335512,1526,2289,865244
470435,1667,2500,902964
852093,989,1483,341710
1351825,879,1319,130662
337380,1728,2592,933341
343885,2000,3000,350267
482503,869,1304,72957
733068,1981,3000,1299411
695270,1129,1694,345310
1266520,625,937,138240
391463,1745,2597,687564
1265841,1079,1619,298595
1018799,921,1381,254704
1018804,600,900,178566
416911,1400,2100,428428
1210358,950,1425,296311
116875,500,750,96602
219004,1386,2079,704855
315094,788,1182,336731
94063,1800,2700,937875
252429,653,986,151325
913062,500,750,50518
329711,837,1255,187432
415632,749,1123,213723
276748,792,1188,74714
195328,776,1163,121044
646977,2000,3000,653914
146307,1807,2737,587879
403598,550,823,92237
451055,558,826,75708
213358,1931,2933,1113890
258453,500,750,75960
859992,1531,2296,1263333
28647,2000,3000,1863455
106448,2000,3000,528443
194625,1218,1808,768659
436328,600,900,158882
582888,630,954,106036
383696,960,1440,198328
558504,600,817,100550
167556,803,1232,250490
346043,700,1050,185523
399021,612,1024,136037
238091,1211,1817,517939
30990,783,1174,289343
92418,500,750,99785
193476,668,1000,111404
463646,750,1000,322480
572076,1000,1500,177111
316979,709,1084,112267
389286,1184,1796,183747
224067,1000,1500,343534
255680,1000,1500,285059
256012,500,750,101011
372358,500,750,114437
752001,500,750,50050
84985,1184,1796,220366
522297,500,750,112283
776486,500,750,97398
84989,900,1350,240923
280573,500,750,114523
399172,1000,1500,620825
432730,997,1397,173757
461724,1000,1500,350914
270439,1333,1975,312190
546217,540,812,121854
842786,1691,2536,797012
851025,500,750,21251
213213,500,750,106574
225454,638,954,113527
364425,1000,1500,251809
697181,700,996,146880
711629,920,1380,411560
133959,1000,1501,388369
214106,1000,1500,127721
224645,832,1250,149224
331839,1400,2100,1762304
426217,625,938,121569
489186,1000,1500,45503
695256,500,750,48507
104534,983,1475,206160
224014,960,1440,263215
310843,666,1000,145767
443338,960,1440,512448
446862,596,895,227276
482591,600,900,170897
548307,500,750,114487
758511,500,750,13368
