id,width,height,bytes
320380,600,900,107801
664862,500,750,104711
948056,500,750,66069
981608,500,750,95003
510733,500,750,134708
851308,500,750,95562
27512,500,750,110155
1080723,716,1074,211198
862538,500,750,111888
918940,898,1257,306153
330169,500,750,82178
337184,570,855,158122
595631,667,1000,282766
466929,500,750,70403
580441,500,750,133617
330173,500,750,115622
852093,989,1483,341710
1351825,879,1319,130662
482503,869,1304,72957
1266520,625,937,138240
1018799,921,1381,254704
1018804,600,900,178566
1210358,950,1425,296311
116875,500,750,96602
315094,788,1182,336731
252429,653,986,151325
913062,500,750,50518
329711,837,1255,187432
415632,749,1123,213723
276748,792,1188,74714
195328,776,1163,121044
403598,550,823,92237
451055,558,826,75708
258453,500,750,75960
436328,600,900,158882
582888,630,954,106036
383696,960,1440,198328
558504,600,817,100550
167556,803,1232,250490
346043,700,1050,185523
399021,612,1024,136037
30990,783,1174,289343
92418,500,750,99785
193476,668,1000,111404
463646,750,1000,322480
316979,709,1084,112267
256012,500,750,101011
372358,500,750,114437
752001,500,750,50050
522297,500,750,112283
776486,500,750,97398
84989,900,1350,240923
280573,500,750,114523
432730,997,1397,173757
546217,540,812,121854
851025,500,750,21251
213213,500,750,106574
225454,638,954,113527
697181,700,996,146880
711629,920,1380,411560
224645,832,1250,149224
426217,625,938,121569
695256,500,750,48507
104534,983,1475,206160
224014,960,1440,263215
310843,666,1000,145767
443338,960,1440,512448
446862,596,895,227276
482591,600,900,170897
548307,500,750,114487
758511,500,750,13368
129298,500,750,76907
306747,500,750,104333
367251,500,750,50234
386782,888,1347,145675
451173,785,1161,134772
464890,641,962,84587
479344,565,849,141763
749120,500,750,125213
999640,500,750,187858
292876,500,750,58395
320176,693,1000,128028
363935,510,751,72542
451293,667,1000,98578
184165,502,889,144385
315449,503,750,137052
374833,500,750,74066
413839,500,750,79700
419958,533,800,118250
498264,500,750,17275
637168,767,1150,151843
1018055,600,849,128976
85562,600,901,149207
90064,506,765,91032
115123,500,750,108714
120582,800,1200,246578
124635,600,900,148505
393798,787,1236,331632
409168,636,954,216952
479322,600,902,119267
487910,500,750,100960
891704,500,750,71999
29759,996,1494,351863
29772,500,750,96451
312395,534,751,95361
324430,594,891,222660
657343,500,750,65613
719829,500,750,80554
795444,800,1067,186737
29652,600,902,118701
479332,500,750,100733
482130,500,750,103264
934841,500,750,94600
155537,600,897,110587
224690,690,1024,278362
363277,561,861,99565
370091,677,1000,161861
401067,856,1184,339236
483126,500,750,78517
523827,500,750,152330
533182,500,750,86536
