id,title,year,stored_path,current_path,archived_old,downloaded,status,detail
214,Saw III,2006,/9pWlgGYoPb0QPOsQTjfDmwMdBc6.jpg,/4iO9n24Rb10peXV0JH2EldIOrAp.jpg,0,1,ok,
24740,The Entity,1982,/e6fsd6zSJDPaFP4xWAtMkHJOkXU.jpg,/k1cJOFM644cS3qzpZMECZnrVRMt.jpg,0,1,ok,
26925,The Man They Could Not Hang,1939,/ml0Tp8tATpvLnPVZ4ibP1mwNxOb.jpg,/oR03TUMEd5bnnAMnOEGcVoLcGSN.jpg,0,1,ok,
27825,Bad Girls from Mars,1990,/SWH6Hqu2hPaBBnIHtHbfTCsQQ0.jpg,/zte0GjaLFDcINqccRN0OKhn3vTZ.jpg,1,1,ok,
56026,The Rising Dead,2007,/n63gjhS6yaBCvj6yWWq4IAvnwRe.jpg,/5Zlz9TRc7hjyyUzO1qI6x4xyplf.jpg,0,1,ok,
63512,Murders in the Rue Morgue,1971,/jsOsvrO0Xd1Ir79C2cHDl6X17xU.jpg,/ngM9dFQ7Y5F3WuPHpHylYdpMj3u.jpg,1,1,ok,
74321,Planet of the Vampire Women,2011,/nK5za8AVqW4NOwrr7hzKvTfYZtT.jpg,/mRnL3TgBPb8JvlPtCL8iUahLEvv.jpg,1,1,ok,
82972,Curio,2010,/pFupZQWYGKBaMg9dZhcfj88BZ4A.jpg,/fLD3a9bc24ioDcPb2VVwat9HO00.jpg,1,1,ok,
83413,Blood Freak,1972,/8RT4fMJNidP8mBoM4j3lVubpR6z.jpg,/yxEtPupFdVMLPPgt8NMpRE7mwmQ.jpg,0,1,ok,
203039,Snake Club: Revenge of the Snake Woman,2013,/tELhDQGweL3B1KBJMuZyqpwreET.jpg,/gGSVmsXoNrll8nqIg0554jfYRx0.jpg,1,1,ok,
205769,Flesh Eaters from Outer Space,1989,/iuD4RXlpWT7xc1N9KzZgStE3DcJ.jpg,/gvYdhHnjPWQ7KnkSAh4UW7q4ml2.jpg,1,1,ok,
288588,Valerie on the Stairs,2006,/idb6B3qe5x1XtNifjB62nuC1Ser.jpg,/aCSQvxWLs0KTPYYP8ocQoKGVH1Z.jpg,1,1,ok,
319309,Family,2006,/z7NdfRWxbbC08OErQYb9HWKGcEk.jpg,/sgT3nDudzffg84eFRXaAjY0pDuS.jpg,1,1,ok,
389821,Flesh for the Inferno,2015,/noH2ponAZPVAtuJrhoUR6RNbCyC.jpg,/wYeBtBintyyClxOYe1ulXwRoaNs.jpg,1,1,ok,
427941,The Craving,2011,/7XThbNEThzgvp9MsAxiHMDRgZIJ.jpg,/1mQpgCgsLd91FjlWFANLxbM6pCK.jpg,1,1,ok,
472226,Blood Fest,2018,/v7x4P33lZwstVgxlZGze18hBlD.jpg,/iy6mJ8EvVQrrSrSblK7GRYFq1Mp.jpg,1,1,ok,
485806,Exorcism of the Dead,2017,/me60MVu1dq2XpLcGN49yjrG3rJX.jpg,/eRyBDeHA8pYQ9waKc6zOR8I7XZz.jpg,1,1,ok,
496957,Ek Din Ek Raat,2011,/1CfgvyS0bpnQFx2DpH7g4Zbogob.jpg,/q82V6a2ZE6jt5cr1RrpryLpdOY5.jpg,1,1,ok,
516023,Hi-Death,2018,/5Yu9V3kV78QR1dyJ2dW7JMyquJD.jpg,/v5lVHzWHrF7nDkQwQIRHvfRMJKg.jpg,1,1,ok,
680493,Return to Silent Hill,2026,/tF7WPnFs109CwY9AvLCyI6ZYhEZ.jpg,/mdw7bSnE11WpwWf3ViXtnavuqiT.jpg,1,1,ok,
753574,In the Dark,2000,/v2SZy6JUX90q4fOyQLB5tafux0M.jpg,/fSjcskHg2k6QFyclZKB0ShySVSa.jpg,0,1,ok,
781349,I Drip Blood on Your Grave,2020,/us3pjPp9QtBCTDUw51HdSoqWMhg.jpg,/10NMihyC1QdNMbRfqxwup0RqbN8.jpg,1,1,ok,
794004,Bleach,2020,/kFL9ujaZcZbJ1J1hghQyqTWmgkE.jpg,/7KYr2dciA6hnDYCedknzFVU8rBf.jpg,0,1,ok,
931447,"Truly, Madly",2020,/6BAgcBFakL4xWw1UGxXjcpclfn3.jpg,/9dyGLhZH5R6xN9vSkZC2iHHpXv3.jpg,1,1,ok,
1084187,Pretty Lethal,2026,/znTPnXCK3lEQJgqXCvP7e5FUz6f.jpg,/24mPV4ZvGeS4D7UJGePWiioI9tD.jpg,1,1,ok,
1284041,The Last House,2026,/tz3Afb8yxSrYmbfHGGRsJ6HvwRO.jpg,/6JU7E8Vv2M11egkctWVOScxWR75.jpg,1,1,ok,
1284046,Onslaught,2026,/3k69IPJEoLBMB3J5FCYehL8NMs2.jpg,/qg5U3trH8yEk94Iee9pFFxy8VzK.jpg,1,1,ok,
1290532,Right This Way,2023,/gaNuRtmaMIlu4GNCh0wG4gU6LXM.jpg,/3FEnIIelkKtXhFAxVzdutlIJ2Gq.jpg,1,1,ok,
1357411,The Birdwatcher,2025,/iBwrrScImctIslkPR9EZPHKwp2g.jpg,/qHOuHDSakwybICc3AAFd4Ctn7SJ.jpg,1,1,ok,
1374767,28 Months After,2010,/h8rG7UKP1nv54rxb1Hk5t3cx6G3.jpg,/dnuQymBfPeeV8CVwjIL8CqhpR9G.jpg,1,1,ok,
1514682,Above & Below,2026,/n8Ss6XLrmSOG1wEnN921vtTYNwA.jpg,/7bOuu1SRALGwsG2fLCTvRkCmQBj.jpg,1,1,ok,
1529833,Dinosaur Hunt,2026,/ArkMslQ59j04ue1jPg55on0V0lI.jpg,/jKRarj7h6jcYOXdtr6RKiK03w5Y.jpg,1,1,ok,
1534340,Lechuza,2025,/fFbFViqlNdVJzhrJnNhNlKPatOV.jpg,/AqhnVjUqLoMHgN1dxyGIZ4ISWYd.jpg,1,1,ok,
1680084,Popeye III: Requiem,9999,/yfon9WBLrgPfkliKC7ZP2GBOtFd.jpg,/6DHNS74iO33ZoKYsNzvugpoYGp2.jpg,1,1,ok,
1719917,Tape 001,2026,/1nBLKUMHLruh4Ktjcn0x0dQ6ijq.jpg,/rMMglpDbQhlVytzqEbYg0LCRVGL.jpg,1,1,ok,
1722917,Thunderbirds: Attack of the Alligators!,1966,/42iMTCA84PYmNrpkUrNw2ZavCcc.jpg,/58nSfffPPsH0yuMOGi4f5lMiAsG.jpg,1,1,ok,
1724422,Siren Head,9999,/znwbV4MCRCCSUiE4rOWYmJWg2tN.jpg,/ur0JffJc86RpIp9MwFiARkVzVf3.jpg,1,1,ok,
1736795,Deep Sleep,2026,/5BbiToldHdACNC9nxvKBtMlwMwE.jpg,/6ohpE9ZuOUWciUtizDZvCD5xmqz.jpg,1,1,ok,
