id,year,title,rek_labels,rek_top,rek_top_conf,rek_weapon,rek_animal,rek_person,rek_water,rek_fire,rek_silhouette,rek_n_boxes,rek_bright,rek_sharp,rek_contrast,rek_colors,rek_mod,rek_violence,rek_mod_weapons,rek_gore,rek_n_faces,rek_emotion,rek_gender,rek_age_lo,rek_age_hi
523,2006,Requiem,Clothing:1.00|Knitwear:1.00|Sweater:1.00|Skirt:0.99|Blouse:0.65|Dress:0.54|Person:0.54|Photography:0.54|Portrait:0.54|Cardigan:0.54,Clothing,0.9988,0.0,0.0,0.5431,0.0,0.0,0.0,1,56.18,48.9,82.35,#000000:29.4|#696969:28.6|#800000:12.4|#8b4513:11.2|#a9a9a9:7.4,,0.0,0.0,0.0,1,CALM:0.98,Female,25,33
572,2005,Next Door,Face:1.00|Head:1.00|Person:1.00|Photography:1.00|Portrait:1.00|Adult:0.99|Male:0.99|Man:0.99|Female:0.98|Woman:0.98,Face,0.9998,0.0,0.0,0.9998,0.0,0.0,0.0,8,43.31,80.55,97.02,#000000:48.7|#a9a9a9:15.6|#dcdcdc:14.9|#a0522d:7.8|#2f4f4f:7.7,Non-Explicit Nudity of Intimate parts and Kissing:1.00|Obstructed Intimate Parts:1.00|Obstructed Female Nipple:1.00,0.0,0.0,0.0,3,CALM:0.56,Female,22,28
827,1955,Diabolique,People:0.94|Logo:0.83|Blackboard:0.62|Cutlery:0.58|Fork:0.58|Drain:0.57|Curling:0.57|Emblem:0.57|Symbol:0.57|Hand:0.56,People,0.9444,0.0,0.0,0.0,0.0,0.0,0.0,1,30.18,97.44,94.5,#000000:50.8|#808080:20.2|#ffebcd:15.0|#dc143c:8.5|#2f4f4f:4.5,,0.0,0.0,0.0,0,,,-1,-1
919,2000,Blood: The Last Vampire,Book:1.00|Publication:1.00|Comics:1.00|Adult:0.99|Female:0.99|Person:0.99|Woman:0.99|Advertisement:0.64|Poster:0.64|Face:0.63,Book,1.0,0.5222,0.0,0.9925,0.0,0.0,0.5385,8,43.6,38.39,76.42,#000000:42.2|#483d8b:24.8|#191970:23.7|#696969:4.4|#2f4f4f:2.2,,0.0,0.0,0.0,1,SAD:0.94,Male,10,16
1255,2006,The Host,Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Dungeon:0.93|Publication:0.93|Outdoors:0.91|Book:0.89|Shoe:0.86|Handbag:0.70,Adult,0.9886,0.0,0.0,0.9886,0.0,0.0,0.0,6,20.18,79.9,81.69,#000000:65.2|#2f4f4f:14.8|#778899:8.9|#808080:7.9|#696969:1.7,,0.0,0.0,0.0,0,,,-1,-1
1256,2006,Dead in 3 days,Photography:1.00|Face:1.00|Head:1.00|Person:1.00|Portrait:1.00|Child:1.00|Female:1.00|Girl:1.00|Advertisement:0.98|Glove:0.97,Photography,0.9999,0.0,0.0,0.9999,0.0,0.0,0.0,10,81.63,89.68,96.62,#dcdcdc:35.8|#000000:19.7|#808080:11.4|#2f4f4f:10.5|#c0c0c0:7.0,Blood & Gore:0.67|Graphic Violence:0.67|Violence:0.67,0.6691,0.0,0.6691,1,FEAR:0.95,Female,24,32
1433,2001,The Devil's Backbone,Book:1.00|Publication:1.00|Adult:0.97|Male:0.97|Man:0.97|Person:0.97|Novel:0.91|Comics:0.88|Cross:0.58|Advertisement:0.56,Book,1.0,0.5126,0.0,0.9689,0.0,0.0,0.5116,5,0.52,76.82,77.85,#000000:69.6|#ff4500:12.6|#cd853f:6.7|#8b4513:6.0|#800000:3.0,,0.0,0.0,0.0,0,,,-1,-1
1560,1990,Singapore Sling,Advertisement:0.99|Poster:0.97|Adult:0.80|Male:0.80|Man:0.80|Person:0.80|Face:0.79|Text:0.72|Outdoors:0.64|Dynamite:0.62,Advertisement,0.9901,0.0,0.0,0.802,0.538,0.0,0.5457,5,100.0,87.91,94.2,#ffffff:72.0|#000000:11.5|#696969:5.5|#c0c0c0:5.1|#808080:3.2,,0.0,0.0,0.0,1,CALM:0.95,Male,35,43
1663,1963,The Squeaker,Advertisement:1.00|Poster:1.00|Adult:0.92|Male:0.92|Man:0.92|Person:0.92|Bear:0.87|Hand:0.82|People:0.80|Face:0.64,Advertisement,1.0,0.5276,0.8656,0.9246,0.0,0.0,0.0,9,31.77,85.1,87.54,#000000:63.9|#800000:10.5|#dc143c:6.4|#dcdcdc:6.4|#c0c0c0:6.0,,0.0,0.0,0.0,2,CALM:0.97,Male,46,54
1678,1954,Godzilla,Advertisement:0.97|Poster:0.93|Bonfire:0.92|Fire:0.92|Flame:0.92|Book:0.75|Publication:0.75|Art:0.56|Comics:0.55|Lion:0.55,Advertisement,0.9736,0.0,0.0,0.0,0.0,0.9237,0.5362,1,71.21,92.26,96.9,#000000:23.2|#ffffff:16.6|#d2691e:13.8|#ffdead:10.1|#800000:9.3,,0.0,0.0,0.0,0,,,-1,-1
1679,1955,Godzilla Raids Again,Book:1.00|Publication:1.00|Comics:0.97|Adult:0.94|Female:0.94|Person:0.94|Woman:0.94|Novel:0.93|Male:0.85|Man:0.85,Book,1.0,0.0,0.0,0.9446,0.0,0.0,0.0,9,71.77,87.34,81.76,#cd853f:18.5|#2f4f4f:15.0|#ff0000:14.6|#deb887:11.6|#000000:11.6,,0.0,0.0,0.0,3,HAPPY:0.58,Female,25,33
1698,2000,Anatomy,Book:1.00|Publication:1.00|Advertisement:0.98|Poster:0.95|Silhouette:0.92|Hand:0.86|Person:0.86|Smoke Pipe:0.76|Novel:0.58|Lighting:0.57,Book,0.9999,0.0,0.5232,0.8649,0.0,0.0,0.9245,2,71.57,19.12,76.03,#dc143c:61.9|#000000:22.2|#a52a2a:6.2|#8b4513:2.5|#b22222:2.4,,0.0,0.0,0.0,0,,,-1,-1
1699,2003,Anatomy 2,Book:1.00|Publication:1.00|Weapon:0.96|Blade:0.94|Knife:0.75|Sword:0.75|Dagger:0.63|Novel:0.57|Letter Opener:0.55|Advertisement:0.53,Book,0.9993,0.9628,0.0,0.0,0.0,0.0,0.0,1,44.71,51.02,75.71,#000000:45.5|#b22222:24.3|#800000:12.7|#8b0000:7.5|#ff4500:6.5,Weapons:0.49|Violence:0.49,0.4872,0.4872,0.0,0,,,-1,-1
1836,2002,In My Skin,Navel:0.77|Baby:0.76|Person:0.76|Kangaroo:0.61|Mammal:0.61|Publication:0.60|Tick:0.58|Skin:0.57|Body Part:0.56|Stomach:0.56,Navel,0.7726,0.0,0.0,0.7589,0.0,0.0,0.0,3,93.7,76.27,80.62,#ffebcd:44.0|#c0c0c0:13.5|#bc8f8f:10.6|#ffffff:10.1|#ffb6c1:8.7,Blood & Gore:0.92|Graphic Violence:0.92|Violence:0.92,0.9212,0.0,0.9212,0,,,-1,-1
1876,2006,The Penalty King,Advertisement:1.00|Poster:1.00|People:1.00|Person:1.00|Soccer Ball:0.99|Baseball (Ball):0.99|Cricket Ball:0.71|Adult:0.58|Male:0.58|Man:0.58,Advertisement,1.0,0.0,0.0,0.9985,0.0,0.0,0.0,11,4.41,84.71,83.05,#000000:78.0|#a9a9a9:8.1|#2f4f4f:5.3|#696969:4.7|#191970:3.3,,0.0,0.0,0.0,1,CALM:0.93,Male,41,49
2093,1988,Amsterdamned,Advertisement:1.00|Poster:1.00|Book:1.00|Publication:1.00|Adult:0.94|Male:0.94|Man:0.94|Person:0.94|Comics:0.77|Bonfire:0.60,Advertisement,1.0,0.5448,0.0,0.9407,0.0,0.0,0.0,5,21.56,83.42,84.35,#000000:56.0|#191970:8.8|#2f4f4f:7.1|#696969:6.1|#ff4500:5.6,,0.0,0.0,0.0,0,,,-1,-1
2097,1967,"Gappa, the Triphibian Monster",Book:1.00|Publication:1.00|Adult:1.00|Female:1.00|Person:1.00|Woman:1.00|Comics:1.00|Advertisement:0.99|Poster:0.99|Head:0.62,Book,0.9999,0.0,0.5292,0.996,0.0,0.0,0.0,9,75.11,85.29,84.53,#696969:29.4|#808080:19.6|#2f4f4f:13.8|#a9a9a9:11.9|#dcdcdc:10.8,,0.0,0.0,0.0,0,,,-1,-1
2104,2001,Requiem,Book:1.00|Publication:1.00|Advertisement:0.99|Poster:0.98|Adult:0.87|Male:0.87|Man:0.87|Person:0.87|Smoke Pipe:0.81|Novel:0.71,Book,0.9989,0.5328,0.5249,0.8652,0.0,0.0,0.5375,5,7.11,83.21,93.87,#000000:62.3|#cd853f:10.5|#f4a460:9.9|#a0522d:5.2|#dcdcdc:4.7,,0.0,0.0,0.0,2,FEAR:0.97,Male,26,34
2269,2006,Day Watch,Book:1.00|Publication:1.00|Adult:0.98|Male:0.98|Man:0.98|Person:0.98|Advertisement:0.98|Poster:0.98|Female:0.96|Woman:0.96,Book,0.9983,0.0,0.7058,0.9776,0.0,0.0,0.0,24,50.2,88.82,90.29,#000000:39.8|#2f4f4f:16.5|#87ceeb:9.1|#bdb76b:8.4|#ff8c00:6.7,,0.0,0.0,0.0,5,CALM:0.95,Male,46,54
2386,1981,The Collector of Brains,Book:0.99|Publication:0.99|Adult:0.94|Female:0.94|Person:0.94|Woman:0.94|Male:0.90|Man:0.90|Advertisement:0.88|Poster:0.88,Book,0.9863,0.0,0.0,0.9408,0.0,0.0,0.0,9,29.0,84.74,86.8,#000000:62.0|#2f4f4f:16.2|#800000:7.9|#dcdcdc:7.1|#696969:4.7,,0.0,0.0,0.0,1,CALM:0.50,Female,22,28
2671,1998,Ringu,Logo:1.00|Moon:0.86|Outdoors:0.86|Symbol:0.72|Batman Logo:0.57|Book:0.56|Publication:0.56|Painting:0.56|Spider:0.54|Sticker:0.54,Logo,0.9991,0.0,0.5431,0.0,0.0,0.0,0.0,1,7.43,45.51,78.92,#000000:88.4|#b22222:4.0|#800000:2.3|#b8860b:2.2|#f0e68c:1.9,,0.0,0.0,0.0,0,,,-1,-1
2971,1952,Alraune,Publication:1.00|Book:1.00|Advertisement:1.00|Poster:0.99|Adult:0.98|Female:0.98|Person:0.98|Woman:0.98|Novel:0.56|Comics:0.55,Publication,0.9992,0.0,0.5071,0.978,0.0,0.0,0.0,4,44.85,86.33,92.86,#000000:29.4|#191970:25.4|#dcdcdc:12.9|#2f4f4f:9.4|#483d8b:9.2,,0.0,0.0,0.0,1,CALM:0.94,Female,22,28
2993,1969,One on Top of the Other,Adult:1.00|Female:1.00|Person:1.00|Woman:1.00|Advertisement:0.97|Poster:0.96|Book:0.86|Publication:0.86|Comics:0.81|Crib:0.74,Adult,0.9977,0.0,0.0,0.9977,0.6574,0.0,0.0,7,99.69,100.0,100.0,#ffffff:50.7|#000000:28.0|#2f4f4f:5.5|#a9a9a9:4.7|#c0c0c0:3.4,Non-Explicit Nudity of Intimate parts and Kissing:0.84|Non-Explicit Nudity:0.84|Implied Nudity:0.84,0.0,0.0,0.0,1,CALM:0.58,Female,34,42
3026,1959,The Doctor's Horrible Experiment,Advertisement:0.99|Book:0.99|Publication:0.99|Poster:0.99|Adult:0.91|Bride:0.91|Female:0.91|Person:0.91|Woman:0.91|Comics:0.84,Advertisement,0.9945,0.537,0.0,0.9121,0.0,0.0,0.0,12,32.91,92.37,94.29,#000000:50.1|#deb887:25.8|#2f4f4f:8.3|#ff6347:6.4|#a0522d:6.2,,0.0,0.0,0.0,2,CALM:0.93,Male,55,61
