id,year,title,rek_labels,rek_top,rek_top_conf,rek_weapon,rek_animal,rek_person,rek_water,rek_fire,rek_silhouette,rek_n_boxes,rek_bright,rek_sharp,rek_contrast,rek_colors,rek_mod,rek_violence,rek_mod_weapons,rek_gore,rek_n_faces,rek_emotion,rek_gender,rek_age_lo,rek_age_hi
4230,1997,Scary Texas Movie,Boy:0.99|Male:0.99|Person:0.99|Teen:0.99|Adult:0.99|Man:0.99|Head:0.99|Face:0.99|Officer:0.56|Captain:0.54,Boy,0.9943,0.0,0.0,0.9943,0.0,0.0,0.0,8,53.6,38.14,56.53,#2f4f4f:62.7|#696969:23.7|#808080:9.0|#000000:3.9|#c0c0c0:0.7,,0.0,0.0,0.0,2,CALM:0.86,Male,24,30
27823,2009,Pretty Bloody: The Women of Horror,Adult:1.00|Female:1.00|Person:1.00|Woman:1.00|Hair:0.96|Face:0.93|Head:0.93|Red Hair:0.92|Art:0.80|Painting:0.80,Adult,0.9984,0.0,0.0,0.9984,0.0,0.0,0.0,5,46.39,44.73,78.53,#000000:41.9|#b22222:18.1|#800000:16.9|#8b0000:13.2|#ff8c00:6.2,,0.0,0.0,0.0,1,HAPPY:0.58,Female,34,42
29711,1986,Anemia,Cinema:0.97|Computer Hardware:0.88|Electronics:0.88|Hardware:0.88|Monitor:0.88|Screen:0.88|Text:0.85|Nature:0.84|Night:0.84|Outdoors:0.84,Cinema,0.9662,0.0,0.0,0.0,0.0,0.0,0.0,0,2.49,19.98,75.68,#000000:94.4|#c0c0c0:2.5|#2f4f4f:2.1|#808080:0.9,,0.0,0.0,0.0,0,,,-1,-1
69958,2008,Suitable for Murder,Book:1.00|Publication:1.00|Advertisement:1.00|Poster:1.00|Person:0.98|Face:0.96|Head:0.96|Novel:0.57|Hand:0.56|Graphics:0.55,Book,0.9995,0.0,0.0,0.9846,0.0,0.0,0.5012,1,100.0,92.17,100.0,#ffffff:51.6|#000000:21.6|#800000:19.2|#808080:2.1|#dcdcdc:1.9,,0.0,0.0,0.0,1,CALM:0.93,Female,28,36
77851,1985,The Dead Father,Person:1.00|Reading:1.00|Adult:0.99|Male:0.99|Man:0.99|Face:0.99|Head:0.99|Photography:0.99|Portrait:0.99|Microphone:0.98,Person,0.9958,0.0,0.0,0.9958,0.0,0.5576,0.0,8,54.51,47.75,77.54,#2f4f4f:57.7|#696969:25.0|#a9a9a9:8.8|#808080:8.5,,0.0,0.0,0.0,2,CALM:0.98,Male,25,33
95698,2007,Lockout,Photography:1.00|Face:1.00|Head:1.00|Person:1.00|Portrait:1.00|Adult:0.99|Male:0.99|Man:0.99|People:0.95|Captain:0.83,Photography,0.9999,0.0,0.0,0.9998,0.0,0.0,0.0,13,16.73,13.79,60.7,#000000:74.1|#2f4f4f:19.3|#696969:4.0|#808080:2.5,,0.0,0.0,0.0,1,CONFUSED:0.51,Male,41,49
101364,1988,Kid Safe: The Video,Art:0.88|Text:0.72|Symbol:0.58|Light:0.57|Book:0.56|Number:0.56|Fire:0.56|Graffiti:0.56|Photo Booth:0.55|Dungeon:0.55,Art,0.8802,0.0,0.0,0.0,0.0,0.5611,0.0,0,50.41,83.07,85.52,#000000:43.0|#696969:13.3|#2f4f4f:10.7|#bc8f8f:7.0|#6495ed:6.9,,0.0,0.0,0.0,0,,,-1,-1
120913,2001,An Afternoon,City:1.00|Road:1.00|Street:1.00|Urban:1.00|Person:1.00|Shoe:1.00|Hat:0.99|Handbag:0.99|Bicycle:0.98|Formal Wear:0.98,City,1.0,0.0,0.0,0.9982,0.0,0.0,0.0,43,62.09,82.8,93.83,#2f4f4f:26.4|#dcdcdc:21.8|#000000:20.2|#a9a9a9:12.6|#808080:9.2,,0.0,0.0,0.0,7,HAPPY:0.79,Male,61,67
130016,2008,Blood Red Earth,Fire:0.99|Flame:0.99|Adult:0.98|Female:0.98|Person:0.98|Woman:0.98|Head:0.81|Face:0.80|Bonfire:0.57|Silhouette:0.56,Fire,0.9883,0.0,0.0,0.9784,0.0,0.9883,0.5649,8,1.49,27.4,79.23,#000000:85.2|#cd853f:4.6|#800000:4.2|#8b4513:3.5|#808080:1.6,,0.0,0.0,0.0,0,,,-1,-1
139791,1985,The Thirteenth Day of Christmas,Head:1.00|Person:1.00|Face:1.00|Adult:0.99|Male:0.99|Man:0.99|Formal Wear:0.99|Suit:0.99|Accessories:0.99|Tie:0.99,Head,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7,30.85,27.33,63.45,#000000:63.0|#2f4f4f:18.7|#800000:14.1|#808080:4.1,,0.0,0.0,0.0,1,CONFUSED:0.47,Male,55,61
150906,1954,The Way to Shadow Garden,Face:1.00|Head:1.00|Person:1.00|Photography:1.00|Portrait:1.00|Baby:0.80|Ct Scan:0.59|Smoke:0.56|Art:0.56|Painting:0.56,Face,0.9998,0.0,0.5569,0.9998,0.0,0.5643,0.0,3,95.78,33.05,85.78,#dcdcdc:64.3|#2f4f4f:14.3|#c0c0c0:10.7|#808080:7.1|#a9a9a9:3.6,,0.0,0.0,0.0,0,,,-1,-1
152032,0,,Adult:0.98|Male:0.98|Man:0.98|Person:0.98|Outdoors:0.97|Wheel:0.93|Nature:0.91|Snow:0.70|Shoe:0.68|Face:0.68,Adult,0.9845,0.5642,0.0,0.9845,0.0,0.0,0.0,14,40.77,38.92,81.92,#000000:40.7|#2f4f4f:36.9|#808080:11.8|#a9a9a9:10.3|#dcdcdc:0.3,,0.0,0.0,0.0,0,,,-1,-1
161852,0,,Advertisement:1.00|Poster:0.99|Horseshoe:0.73|Medication:0.63|Pill:0.63|Logo:0.53|Gravestone:0.52|Tomb:0.52|Text:0.52|Symbol:0.52,Advertisement,0.9978,0.0,0.0,0.0,0.0,0.0,0.0,1,42.93,85.66,91.11,#000000:47.1|#2f4f4f:19.2|#c0c0c0:16.9|#808080:16.9,,0.0,0.0,0.0,0,,,-1,-1
166544,0,,Person:0.95|Text:0.79|Advertisement:0.71|Blackboard:0.69|Factory:0.58|Poster:0.58|Tomb:0.57|Gravestone:0.56|Concert:0.56|Vest:0.55,Person,0.9543,0.0,0.0,0.9543,0.0,0.0,0.5315,6,1.31,77.56,77.51,#000000:81.2|#2f4f4f:11.6|#808080:5.8|#a9a9a9:1.4,,0.0,0.0,0.0,0,,,-1,-1
