id,title,year,source,stem,file_path,rek_labels,rek_top,rek_top_conf,rek_weapon,rek_animal,rek_person,rek_water,rek_fire,rek_silhouette,rek_n_boxes,rek_bright,rek_sharp,rek_contrast,rek_colors,latency_s,error
17,The Dark,2005,variant,h6gCVAzjFLhzkffv2VZO1RgVCBt,posters_multi/17/h6gCVAzjFLhzkffv2VZO1RgVCBt.jpg,Book:0.98|Publication:0.98|Advertisement:0.95|Adult:0.87|Bride:0.87|Female:0.87|Person:0.87|Woman:0.87|Cross:0.82|Symbol:0.82,Book,0.9834,0.0,0.0,0.8664,0.0,0.6804,0.0,5,4.27,36.02,77.53,#000000:84.6|#2f4f4f:7.7|#a0522d:2.8|#d2b48c:2.3|#ffffe0:1.0,1.581,
17,The Dark,2005,variant,wZeBHVnCvaS2bwkb8jFQ0PwZwXq,posters_multi/17/wZeBHVnCvaS2bwkb8jFQ0PwZwXq.jpg,Cross:0.96|Lighting:0.92|Adult:0.88|Bride:0.88|Female:0.88|Person:0.88|Woman:0.88|Book:0.87|Publication:0.87|Bonfire:0.76,Cross,0.9551,0.0,0.0,0.8792,0.0,0.0,0.0,6,14.33,43.38,81.37,#000000:70.8|#2f4f4f:12.1|#556b2f:11.0|#d2b48c:4.3|#ffffe0:1.9,1.785,
83,Open Water,2004,variant,7Gy5N0Yp7ocaKBR860v9KDbpYHj,posters_multi/83/7Gy5N0Yp7ocaKBR860v9KDbpYHj.jpg,Person:1.00|Swimming:1.00|Water:1.00|Water Sports:1.00|Nature:1.00|Outdoors:1.00|Sea:1.00|Sea Waves:0.99|Book:0.80|Publication:0.80,Person,1.0,0.0,0.7425,1.0,1.0,0.0,0.7305,3,0.0,78.33,84.25,#000000:60.2|#4682b4:24.5|#2f4f4f:10.0|#00bfff:3.1|#b0c4de:2.1,1.35,
83,Open Water,2004,variant,xOjcaWBNG2PvylJOhlkaqaAAKUr,posters_multi/83/xOjcaWBNG2PvylJOhlkaqaAAKUr.jpg,Person:1.00|Swimming:1.00|Water:1.00|Adult:0.97|Male:0.97|Man:0.97|Baby:0.95|Nature:0.94|Outdoors:0.94|Sea:0.91,Person,0.9999,0.0,0.8664,0.9999,0.9999,0.0,0.0,8,69.57,82.06,87.17,#2f4f4f:28.5|#008080:17.5|#000000:14.7|#5f9ea0:12.3|#dcdcdc:12.3,1.865,
176,Saw,2004,variant,4da0TS3iQ1IzuyhDS8elgkmOfrN,posters_multi/176/4da0TS3iQ1IzuyhDS8elgkmOfrN.jpg,Glove:0.96|Hand:0.90|Electronics:0.86|Hardware:0.86|Pig:0.85|Finger:0.83|Art:0.58|Painting:0.58|Text:0.58|Stain:0.58,Glove,0.9625,0.0,0.0,0.0,0.0,0.0,0.0,1,96.6,78.02,84.63,#dcdcdc:36.0|#ffffff:29.9|#c0c0c0:11.4|#a9a9a9:8.0|#2f4f4f:5.8,1.728,
176,Saw,2004,variant,h2x0kRZWvwpw8GvghmQUn1m1jQo,posters_multi/176/h2x0kRZWvwpw8GvghmQUn1m1jQo.jpg,Baby:0.91|Person:0.91|Advertisement:0.89|Poster:0.58|Mammal:0.57|Electronics:0.57|Hardware:0.57|Hand:0.56|Injury:0.56|Snout:0.55,Baby,0.9064,0.0,0.0,0.9064,0.0,0.0,0.0,2,100.0,82.63,89.12,#ffffff:64.6|#dcdcdc:7.4|#808080:7.2|#2f4f4f:6.1|#000000:5.5,1.548,
176,Saw,2004,variant,harQifr8kpIVqlLP41kTR058LZB,posters_multi/176/harQifr8kpIVqlLP41kTR058LZB.jpg,Advertisement:0.95|Adult:0.92|Bride:0.92|Female:0.92|Person:0.92|Woman:0.92|Poster:0.90|Spider:0.68|Batman:0.58|Logo:0.57,Advertisement,0.9493,0.0,0.6789,0.9247,0.0,0.0,0.0,10,1.41,74.86,75.33,#000000:90.6|#bdb76b:3.1|#2e8b57:2.8|#2f4f4f:2.0|#ff0000:1.1,1.548,
176,Saw,2004,variant,ixwaHER4oYhr4ztmQs9oPhBpZ5v,posters_multi/176/ixwaHER4oYhr4ztmQs9oPhBpZ5v.jpg,Advertisement:0.96|Adult:0.96|Male:0.96|Man:0.96|Person:0.96|Book:0.95|Publication:0.95|Poster:0.89|Portrait:0.58|Text:0.57,Advertisement,0.9612,0.0,0.5563,0.9559,0.0,0.0,0.0,4,0.0,85.42,86.63,#000000:85.4|#dcdcdc:5.6|#2f4f4f:3.1|#808080:2.6|#696969:2.1,1.349,
176,Saw,2004,variant,rLNSOudrayDBo1uqXjrhxcjODIC,posters_multi/176/rLNSOudrayDBo1uqXjrhxcjODIC.jpg,Finger:1.00|Hand:1.00|Person:1.00|Advertisement:0.96|Poster:0.91|Baby:0.85|Bear:0.80|Wrist:0.67|Electronics:0.57|Hardware:0.57,Finger,0.9997,0.0,0.8033,0.9997,0.0,0.0,0.0,3,95.9,77.1,91.66,#ffffff:43.9|#2f4f4f:13.9|#808080:12.7|#a9a9a9:9.4|#dcdcdc:7.3,1.517,
214,Saw III,2006,variant,4iO9n24Rb10peXV0JH2EldIOrAp,posters_multi/214/4iO9n24Rb10peXV0JH2EldIOrAp.jpg,Accessories:0.98|Jewelry:0.57|Necklace:0.57|Chandelier:0.56|Pendant:0.56|Art:0.56|Earring:0.56|Advertisement:0.55|Text:0.54|Torso:0.54,Accessories,0.9844,0.514,0.5177,0.0,0.0,0.0,0.0,0,100.0,11.82,82.23,#ffffff:86.3|#696969:2.7|#000000:2.5|#808080:2.2|#2f4f4f:1.6,1.23,
