id,title,year,runtime,runtime_status
664356,The Cannibal Killer: The Real Story of Jeffrey Dahmer,2020,0.0,zero
782654,Toy Box,2018,0.0,zero
855190,Night of the Living Dead II,2022,0.0,zero
765810,The Moon is a Hologram,2022,0.0,zero
926837,The Amityville Exorcist,2022,0.0,zero
947822,A Date With A Cheerleader,2022,0.0,zero
1030107,Snatched,2022,0.0,zero
1024642,Malevolent,2022,0.0,zero
1030928,Ouija,2021,0.0,zero
1002624,Killer Poop 2: Amityville Poo,2022,0.0,zero
542440,Bikini Car Wash Massacre,2017,0.0,zero
1027665,My Special Boy,2022,0.0,zero
736308,Alien: Covenant - Prologue: The Secrets of David’s Lab,2017,0.0,zero
749173,TWD World Beyond: The Journey So Far,2020,0.0,zero
518966,Horrorween,2012,0.0,zero
926687,Brain Hunter: New Breed,2022,0.0,zero
1015908,Witch Trials,2022,0.0,zero
675814,Apetite for Sin,2022,0.0,zero
1002632,Killer Poop 3: Night of the Living Poop,2022,0.0,zero
504213,Halloween Lurking,2009,0.0,zero
966712,Summer of '85: Mackey Returns,2022,0.0,zero
780281,The Last American Horror Show: Volume II,2022,0.0,zero
766189,Cottonmouth,2020,0.0,zero
1028708,Perjanjian Iblis,2022,0.0,zero
1030937,Ouija 2,2022,0.0,zero
287528,The Vampyre Wars,1996,0.0,zero
171285,The Toy Box,2014,0.0,zero
906200,Slasher House 3,2022,0.0,zero
981011,Hunter X,2022,0.0,zero
706565,Ripper,1996,0.0,zero
481369,Dead Ringer,2015,0.0,zero
782055,Slices,2019,0.0,zero
28242,Zombie Hunters,2007,0.0,zero
534656,Vampirisa's Velvet Vault Of Horror!,2001,0.0,zero
565961,Lake of Shadows,2018,0.0,zero
655201,Confessions Of A Homicidal Prostitute: Demonatrix,2018,0.0,zero
780273,Revenge of the Zombies,2022,0.0,zero
776211,Blood Surf,2016,0.0,zero
494074,Moon Creek Cemetery,2017,0.0,zero
645514,The Vampire of Soho,2018,0.0,zero
576358,The Stoneman,2002,0.0,zero
1027002,Cemetery Stories,2022,0.0,zero
478924,Photo Murders,1996,0.0,zero
771117,The Locals,2012,0.0,zero
455946,The Lucifer Effect,2017,0.0,zero
404357,Deadwood Falls,2017,0.0,zero
146170,Black Mass,2005,0.0,zero
1019951,WUURM,2022,0.0,zero
999844,Hell House LLC (Director's Cut),2016,0.0,zero
421941,Domain of the Damned,2007,0.0,zero
508388,Rodentia,2022,0.0,zero
418405,Dead End,2010,0.0,zero
936813,Seven Deadly Tapes,2022,0.0,zero
639086,The Education of a Vampire,2001,0.0,zero
407118,The Outer Limits: The New Series - Time Travel and Infinity,2002,0.0,zero
1031649,Attack of the flying monks,2022,0.0,zero
900352,Hatch: Found Footage,2018,0.0,zero
596696,Bride of the Head of the Family,2020,0.0,zero
1020236,Forest Halloween,2022,0.0,zero
481379,The Candlelight Murders,2008,0.0,zero
954659,Oma the Demonic,2022,0.0,zero
812557,CONCEITITY,2022,0.0,zero
1017380,Feel My Fright,2022,0.0,zero
489105,Transmutation: Deep Water Horizon,2016,0.0,zero
651178,My Dinner With Chuck,2019,0.0,zero
1022479,You're Melting!,2022,0.0,zero
489113,Mindless,2014,0.0,zero
787373,Monster Preacher,2021,0.0,zero
931536,Brimstone Saint,2021,0.0,zero
548521,Return of the Jackalope,2006,0.0,zero
637459,Eyes Open,2019,0.0,zero
421506,The Mystery of Casa Matusita,2016,0.0,zero
637306,Miss Maniac,2003,0.0,zero
1015872,From Dusk Till Bong,2022,0.0,zero
488094,Chant of Silence,1973,0.0,zero
556760,Hide and Go Seek,2018,0.0,zero
481044,7 Faces of Jack the Ripper,2014,0.0,zero
812612,Popsy,2019,0.0,zero
450971,Takien: The Haunted Tree,2010,0.0,zero
471201,The World of Dracula,1979,0.0,zero
482056,Bloody Bender,2002,0.0,zero
974072,"Sincerely, Hook",2022,0.0,zero
776028,Soul Eater,2021,0.0,zero
449869,Blood: A Butcher's Tale,2010,0.0,zero
978906,Rumah Kuntilanak,2022,0.0,zero
990382,OnlyFans,2022,0.0,zero
1027859,The Hidden,2021,0.0,zero
796945,Seasons,2021,0.0,zero
821385,Music Box,2020,0.0,zero
988192,Wanalathi,2022,0.0,zero
886871,Jason Goes Back to Hell,2021,0.0,zero
295711,The Border,2015,0.0,zero
767214,Paranoia Tapes 9: DVD-,2020,0.0,zero
998409,The Bitch That Cried Wolf,2013,0.0,zero
346560,Legend of Dark Rider,2016,0.0,zero
778211,Harp Brothers,2020,0.0,zero
904364,Entropic,2021,0.0,zero
982883,An Bean Sidhe,2014,0.0,zero
862069,Stab Ya In The Face,2021,0.0,zero
913120,The Mask of Satan,2021,0.0,zero
601743,VHS Violence,2021,0.0,zero
647638,Noche de fieras,1990,0.0,zero
874594,Nail Gun,2021,0.0,zero
565597,Killer Video,2017,0.0,zero
772362,Spirit,2019,0.0,zero
331335,Demon Exorcism: The Devil Inside Maxwell Bastas,2013,0.0,zero
467834,O. Unilateralis,2016,0.0,zero
773647,Welcome to Hoxford : The fan film,2011,0.0,zero
240665,Tiang Seri,2013,0.0,zero
1019331,The Hands,2022,0.0,zero
445899,Vampire Queen,2002,0.0,zero
876349,Friday the 13th: Death Curse,2019,0.0,zero
627518,Death Care,2020,0.0,zero
676613,The Great American Novel,2020,0.0,zero
602332,the coming of baphomet,2019,0.0,zero
543733,1 B-TV,2018,0.0,zero
28960,Shadow of the Demon,2002,0.0,zero
30512,Terror Talk,2012,0.0,zero
83035,Waldile - Der Schlimme Killerhund,2008,0.0,zero
208160,Tontine Massacre,2011,0.0,zero
230298,Rough Cut,2013,0.0,zero
251526,The Mutagen,1988,0.0,zero
261335,Mortal Remains,1972,0.0,zero
276007,The Possession of Sophie Love,2013,0.0,zero
276036,Short Cut Road,2003,0.0,zero
294776,Til Death,2006,0.0,zero
292472,El Zorro Escarlata,1959,0.0,zero
301431,Vampire Sunrise,2014,0.0,zero
305159,City of Lust,2014,0.0,zero
326280,Masks: Facade,2015,0.0,zero
329115,Pig Girl,2014,0.0,zero
338642,Mutant Massacre 2,1991,0.0,zero
341467,Tarotsphere,2013,0.0,zero
348298,Shake Rattle and Roll VI,1997,0.0,zero
370216,Zombies Eat My Guts,2002,0.0,zero
374114,Ada Apa Dekat Bus Stop,2015,0.0,zero
381760,Masks: Exordium,2016,0.0,zero
392248,Eve's Demons,2015,0.0,zero
397273,An Ending,2018,0.0,zero
409168,Spooks A-Poppin',1992,0.0,zero
414431,The Cutting Room Floor,2012,0.0,zero
416876,Breath of Hate,2011,0.0,zero
416734,In the Woods,2005,0.0,zero
424093,Acosado,1991,0.0,zero
441451,Massacre At Rocky Ridge,2002,0.0,zero
445878,Do You Like Women?,1992,0.0,zero
445845,The Haunting of Mia Moss,2017,0.0,zero
446469,The Devil's Show,2014,0.0,zero
445915,The Chainsaw Sally Show Season 2,2012,0.0,zero
448683,Drakula Goes to R.P.,1973,0.0,zero
450678,Night Creep,2003,0.0,zero
460466,Last Humans,2017,0.0,zero
461379,Deli Hell,1997,0.0,zero
478813,Blood Boy,2014,0.0,zero
478810,Psycho Space Demons,2003,0.0,zero
479320,Trilogy of Death,1991,0.0,zero
479345,Sisters,1988,0.0,zero
478975,Dracula: Bloodline,2015,0.0,zero
479729,Survive!,2009,0.0,zero
479755,Ingression,2010,0.0,zero
480286,Nightmare at Shallow Point,2002,0.0,zero
481015,Supernatural Swamp Slaughter,2012,0.0,zero
481054,Till Be Determined,2016,0.0,zero
482243,Dimension of Blood,1996,0.0,zero
482166,Bloody Bobby,2016,0.0,zero
482245,Born of the Devil,2001,0.0,zero
488511,The House and the Brain,1973,0.0,zero
488914,Murder and the Computer,1973,0.0,zero
493965,Bloody Island,2016,0.0,zero
497009,The Hard Cut,2012,0.0,zero
498268,The Antichrist,1991,0.0,zero
503231,The Well aka Brunnen,2021,0.0,zero
505043,To Protect & Serve,2020,0.0,zero
506383,Granny,2015,0.0,zero
506900,The Haunting of Leslie,2018,0.0,zero
512835,Reyes,2021,0.0,zero
520162,Death Virgins,2018,0.0,zero
521485,Madman 2,2008,0.0,zero
521563,Twisted Tales 2,2000,0.0,zero
530523,Love Is a Stranger Again,1998,0.0,zero
533294,Miss Werewolf,2001,0.0,zero
534223,Grindsploitation 5: Schlocksploitation,2018,0.0,zero
534654,We Need Earth Women!,1999,0.0,zero
537200,Dream Man: Lời Kết Bạn Chết Chóc,2018,0.0,zero
543867,"Curious Stories, Crooked Symbols",2009,0.0,zero
557508,5 Minutes to Midnight,2018,0.0,zero
557513,Bus to Dublin,2018,0.0,zero
565522,The Sadist,2014,0.0,zero
567235,Vampires of Sorority Row Part II,2000,0.0,zero
568057,Screaming Night,2002,0.0,zero
568575,Monsters on Main Street,2014,0.0,zero
568780,Double Vision,1990,0.0,zero
578280,Maleorvs,1990,0.0,zero
585571,What Would Linnea Do?,2019,0.0,zero
591434,I Build Your House,2018,0.0,zero
593134,Shutter and Scream,2002,0.0,zero
596711,The Grim Rapper,2020,0.0,zero
596709,The Hourglass,2020,0.0,zero
596725,Oldtowne,2019,0.0,zero
604654,Uncertain Doom,2020,0.0,zero
606519,M Is for Migraine,2013,0.0,zero
617891,Slumber Party Murders,2018,0.0,zero
617868,Jericho Bridge,2019,0.0,zero
