id,title,original_title,year,lang,cohort,reason
30512,Terror Talk,Terror Talk,2012,en,without_tt,runtime_residual_no_tt
83035,Waldile - Der Schlimme Killerhund,Waldile - Der Schlimme Killerhund,2008,en,without_tt,runtime_residual_no_tt
171285,The Toy Box,The Toy Box,2014,en,without_tt,runtime_residual_no_tt
240665,Tiang Seri,Tiang Seri,2013,en,without_tt,runtime_residual_no_tt
276036,Short Cut Road,Short Cut Road,2003,en,without_tt,runtime_residual_no_tt
282534,Shock,Shock,2010,en,without_tt,runtime_residual_no_tt
287528,The Vampyre Wars,The Vampyre Wars,1996,en,without_tt,runtime_residual_no_tt
294776,Til Death,Til Death,2006,en,without_tt,runtime_residual_no_tt
295711,The Border,The Border,2015,en,without_tt,runtime_residual_no_tt
305159,City of Lust,City of Lust,2014,en,without_tt,runtime_residual_no_tt
320781,Bit Parts,Bit Parts,2007,en,without_tt,runtime_residual_no_tt
346560,Legend of Dark Rider,Legend of Dark Rider,2016,en,without_tt,runtime_residual_no_tt
374114,Ada Apa Dekat Bus Stop,Ada Apa Dekat Bus Stop,2015,en,without_tt,runtime_residual_no_tt
407118,The Outer Limits: The New Series - Time Travel and Infinity,The Outer Limits: The New Series - Time Travel and Infinity,2002,en,without_tt,runtime_residual_no_tt
421151,Midnight Bride,Midnight Bride,1990,en,without_tt,runtime_residual_no_tt
441451,Massacre At Rocky Ridge,Massacre At Rocky Ridge,2002,en,without_tt,runtime_residual_no_tt
471201,The World of Dracula,The World of Dracula,1979,en,without_tt,runtime_residual_no_tt
478810,Psycho Space Demons,Psycho Space Demons,2003,en,without_tt,runtime_residual_no_tt
478813,Blood Boy,Blood Boy,2014,en,without_tt,runtime_residual_no_tt
478924,Photo Murders,Photo Murders,1996,en,without_tt,runtime_residual_no_tt
478975,Dracula: Bloodline,Dracula: Bloodline,2015,en,without_tt,runtime_residual_no_tt
479320,Trilogy of Death,Trilogy of Death,1991,en,without_tt,runtime_residual_no_tt
479345,Sisters,Sisters,1988,en,without_tt,runtime_residual_no_tt
482245,Born of the Devil,Born of the Devil,2001,en,without_tt,runtime_residual_no_tt
504213,Halloween Lurking,Halloween Lurking,2009,en,without_tt,runtime_residual_no_tt
508388,Rodentia,Rodentia,2022,en,without_tt,runtime_residual_no_tt
512835,Reyes,Reyes,2021,en,without_tt,runtime_residual_no_tt
530523,Love Is a Stranger Again,Love Is a Stranger Again,1998,en,without_tt,runtime_residual_no_tt
533294,Miss Werewolf,Miss Werewolf,2001,en,without_tt,runtime_residual_no_tt
534656,Vampirisa's Velvet Vault Of Horror!,Vampirisa's Velvet Vault Of Horror!,2001,en,without_tt,runtime_residual_no_tt
537200,Dream Man: Lời Kết Bạn Chết Chóc,Dream Man: Lời Kết Bạn Chết Chóc,2018,en,without_tt,runtime_residual_no_tt
543733,1 B-TV,1 B-TV,2018,en,without_tt,runtime_residual_no_tt
557513,Bus to Dublin,Bus to Dublin,2018,en,without_tt,runtime_residual_no_tt
565522,The Sadist,The Sadist,2014,en,without_tt,runtime_residual_no_tt
578280,Maleorvs,Maleorvs,1990,en,without_tt,runtime_residual_no_tt
596709,The Hourglass,The Hourglass,2020,en,without_tt,runtime_residual_no_tt
596725,Oldtowne,Oldtowne,2019,en,without_tt,runtime_residual_no_tt
602332,the coming of baphomet,the coming of baphomet,2019,en,without_tt,runtime_residual_no_tt
602889,Between Night And Dawn,Between Night And Dawn,2024,en,without_tt,runtime_residual_no_tt
604654,Uncertain Doom,Uncertain Doom,2020,en,without_tt,runtime_residual_no_tt
617778,Night Out,Night Out,2019,en,without_tt,runtime_residual_no_tt
617868,Jericho Bridge,Jericho Bridge,2019,en,without_tt,runtime_residual_no_tt
676613,The Great American Novel,The Great American Novel,2020,en,without_tt,runtime_residual_no_tt
677108,Seeing Double,Seeing Double,2020,en,without_tt,runtime_residual_no_tt
680379,CLAPTRAP,CLAPTRAP,2020,en,without_tt,runtime_residual_no_tt
682994,Gift from the Abyss,Gift from the Abyss,2018,en,without_tt,runtime_residual_no_tt
690122,Beauty Is in the Details,Beauty Is in the Details,2018,en,without_tt,runtime_residual_no_tt
690124,Just the Tip,Just the Tip,2018,en,without_tt,runtime_residual_no_tt
690127,Last Number Dialled,Last Number Dialled,2018,en,without_tt,runtime_residual_no_tt
690128,Emoticon,Emoticon,2018,en,without_tt,runtime_residual_no_tt
690131,The Deli-Very,The Deli-Very,2018,en,without_tt,runtime_residual_no_tt
690135,The Crows of Culver,The Crows of Culver,2018,en,without_tt,runtime_residual_no_tt
690136,Psycho Messenger,Psycho Messenger,2018,en,without_tt,runtime_residual_no_tt
690137,CPR,CPR,2018,en,without_tt,runtime_residual_no_tt
690138,Broken Heart,Broken Heart,2018,en,without_tt,runtime_residual_no_tt
703882,Il Volto della Follia,Il Volto della Follia,2018,en,without_tt,runtime_residual_no_tt
706565,Ripper,Ripper,1996,en,without_tt,runtime_residual_no_tt
713504,Blind Date,Blind Date,2020,en,without_tt,runtime_residual_no_tt
726124,Bestiarii,Bestiarii,2019,en,without_tt,runtime_residual_no_tt
736308,Alien: Covenant - Prologue: The Secrets of David’s Lab,Alien: Covenant - Prologue: The Secrets of David’s Lab,2017,en,without_tt,runtime_residual_no_tt
738110,There's a Ghost in the House,There's a Ghost in the House,2020,en,without_tt,runtime_residual_no_tt
745047,Static Tears,Static Tears,2020,en,without_tt,runtime_residual_no_tt
749173,TWD World Beyond: The Journey So Far,TWD World Beyond: The Journey So Far,2020,en,without_tt,runtime_residual_no_tt
752144,Mr. Ticklez,Mr. Ticklez,2019,en,without_tt,runtime_residual_no_tt
752148,Scary Stories to Tell by the Campfire: The Green Ribbon,Scary Stories to Tell by the Campfire: The Green Ribbon,2021,en,without_tt,runtime_residual_no_tt
752281,SCOURGE OF IRON,SCOURGE OF IRON,2014,en,without_tt,runtime_residual_no_tt
759665,Hunters,Hunters,2020,en,without_tt,runtime_residual_no_tt
760272,"A Boat, Beneath A Moonlit Sky","A Boat, Beneath A Moonlit Sky",2020,en,without_tt,runtime_residual_no_tt
760608,In The Wild,In The Wild,2015,en,without_tt,runtime_residual_no_tt
764814,Lumberjacked,Lumberjacked,2020,en,without_tt,runtime_residual_no_tt
768632,To Be Devoured,To Be Devoured,2020,en,without_tt,runtime_residual_no_tt
774118,EverymanHYBRID,EverymanHYBRID,2010,en,without_tt,runtime_residual_no_tt
776094,Kababalaghan,Kababalaghan,2017,en,without_tt,runtime_residual_no_tt
783340,Quarantine Comic,Quarantine Comic,2021,en,without_tt,runtime_residual_no_tt
792251,Turn Your Bloody Phone Off,Turn Your Bloody Phone Off,2012,en,without_tt,runtime_residual_no_tt
796945,Seasons,Seasons,2021,en,without_tt,runtime_residual_no_tt
812557,CONCEITITY,CONCEITITY,2022,en,without_tt,runtime_residual_no_tt
823202,Project Taring,Project Taring,2021,en,without_tt,runtime_residual_no_tt
823207,Teror,Teror,2021,en,without_tt,runtime_residual_no_tt
823210,Bisikan 69,Bisikan 69,2020,en,without_tt,runtime_residual_no_tt
825448,Stalker,Stalker,2021,en,without_tt,runtime_residual_no_tt
827157,Orang Pilihan,Orang Pilihan,2021,en,without_tt,runtime_residual_no_tt
839552,Puaka,Puaka,1970,en,without_tt,runtime_residual_no_tt
855190,Night of the Living Dead II,Night of the Living Dead II,2022,en,without_tt,runtime_residual_no_tt
856221,A Soul at Night,A Soul at Night,1941,zh,without_tt,runtime_residual_no_tt
857141,Haunted House No. 13,Haunted House No. 13,1948,zh,without_tt,runtime_residual_no_tt
857334,Shadows in the Old House,Shadows in the Old House,1948,zh,without_tt,runtime_residual_no_tt
860849,Camp Forest Green,Camp Forest Green,2020,en,without_tt,runtime_residual_no_tt
862069,Stab Ya In The Face,Stab Ya In The Face,2021,en,without_tt,runtime_residual_no_tt
864237,Minh Tu Le Scissorhands,Minh Tu Le Scissorhands,2021,en,without_tt,runtime_residual_no_tt
873668,Are You Ready?,Are You Ready?,2021,en,without_tt,runtime_residual_no_tt
874594,Nail Gun,Nail Gun,2021,en,without_tt,runtime_residual_no_tt
876349,Friday the 13th: Death Curse,Friday the 13th: Death Curse,2019,en,without_tt,runtime_residual_no_tt
881308,Dreams,Dreams,2021,en,without_tt,runtime_residual_no_tt
888827,Boutique Fantasque,Boutique Fantasque,2021,en,without_tt,runtime_residual_no_tt
896922,1:00 A.M.,1:00 A.M.,1995,en,without_tt,runtime_residual_no_tt
904364,Entropic,Entropic,2021,en,without_tt,runtime_residual_no_tt
913120,The Mask of Satan,The Mask of Satan,2021,en,without_tt,runtime_residual_no_tt
915572,Violations,Violations,1986,en,without_tt,runtime_residual_no_tt
916120,Friday the 13th: Halloween Night,Friday the 13th: Halloween Night,1994,en,without_tt,runtime_residual_no_tt
936813,Seven Deadly Tapes,Seven Deadly Tapes,2022,en,without_tt,runtime_residual_no_tt
939224,MONTHLY PROGRESS REPORT,MONTHLY PROGRESS REPORT,2020,en,without_tt,runtime_residual_no_tt
947822,A Date With A Cheerleader,A Date With A Cheerleader,2022,en,without_tt,runtime_residual_no_tt
958256,Stuffed,Stuffed,2021,en,without_tt,runtime_residual_no_tt
966712,Summer of '85: Mackey Returns,Summer of '85: Mackey Returns,2022,en,without_tt,runtime_residual_no_tt
974211,2:22,2:22,2022,en,without_tt,runtime_residual_no_tt
978912,Station ID,Station ID,2017,en,without_tt,runtime_residual_no_tt
990382,OnlyFans,OnlyFans,2022,en,without_tt,runtime_residual_no_tt
999844,Hell House LLC (Director's Cut),Hell House LLC (Director's Cut),2016,en,without_tt,runtime_residual_no_tt
1002624,Killer Poop 2: Amityville Poo,Killer Poop 2: Amityville Poo,2022,en,without_tt,runtime_residual_no_tt
1014684,Rise of the Carriers,Rise of the Carriers,2022,en,without_tt,runtime_residual_no_tt
1014691,Vlad & Nick,Vlad & Nick,2022,en,without_tt,runtime_residual_no_tt
1017380,Feel My Fright,Feel My Fright,2022,en,without_tt,runtime_residual_no_tt
1019890,All the Shades of Red,All the Shades of Red,2022,en,without_tt,runtime_residual_no_tt
1019951,WUURM,WUURM,2022,en,without_tt,runtime_residual_no_tt
1020236,Forest Halloween,Forest Halloween,2022,en,without_tt,runtime_residual_no_tt
1021120,Pumpkinman,Pumpkinman,2004,en,without_tt,runtime_residual_no_tt
1027859,The Hidden,The Hidden,2021,en,without_tt,runtime_residual_no_tt
1028708,Perjanjian Iblis,Perjanjian Iblis,2022,en,without_tt,runtime_residual_no_tt
1030635,Blight,Blight,2016,en,without_tt,runtime_residual_no_tt
1030675,Joke's on You,Joke's on You,2021,en,without_tt,runtime_residual_no_tt
1030678,Happy Birthday,Happy Birthday,2021,en,without_tt,runtime_residual_no_tt
1030680,Death Record,Death Record,2022,en,without_tt,runtime_residual_no_tt
1030684,Rest ( 2021),Rest ( 2021),2021,en,without_tt,runtime_residual_no_tt
1030703,Devil's Door,Devil's Door,2020,en,without_tt,runtime_residual_no_tt
1030707,Bed Head,Bed Head,2019,en,without_tt,runtime_residual_no_tt
1030928,Ouija,Ouija,2021,en,without_tt,runtime_residual_no_tt
1030937,Ouija 2,Ouija 2,2022,en,without_tt,runtime_residual_no_tt
1030961,Date With a Serial Killer,Date With a Serial Killer,2022,en,without_tt,runtime_residual_no_tt
1030968,Do Not Call,Do Not Call,2022,en,without_tt,runtime_residual_no_tt
1031649,Attack of the flying monks,Attack of the flying monks,2022,en,without_tt,runtime_residual_no_tt
1055068,Shin Yotsuya Ghost Story,Shin Yotsuya Ghost Story,1932,ja,without_tt,runtime_residual_no_tt
1060460,THE CHAIN,THE CHAIN,2023,en,without_tt,runtime_residual_no_tt
1084232,Man of the House,Man of the House,2023,en,without_tt,runtime_residual_no_tt
1102547,That Man Upstairs Isn't Your Husband,That Man Upstairs Isn't Your Husband,2023,en,without_tt,runtime_residual_no_tt
1103892,Mia,Mia,2023,en,without_tt,runtime_residual_no_tt
1114965,Séance,Séance,2023,en,without_tt,runtime_residual_no_tt
1116457,Parlour,Parlour,2023,en,without_tt,runtime_residual_no_tt
1119487,Gavin Serve,Gavin Serve,2023,en,without_tt,runtime_residual_no_tt
1120824,Paige Mayfair's Guide To Power,Paige Mayfair's Guide To Power,2023,en,without_tt,runtime_residual_no_tt
1125205,Haunted Houses,Haunted Houses,2023,en,without_tt,runtime_residual_no_tt
1131407,In the Basement,In the Basement,2023,en,without_tt,runtime_residual_no_tt
1142305,Scary Burrie,Scary Burrie,2023,en,without_tt,runtime_residual_no_tt
1145740,X MILITARY,X MILITARY,2023,en,without_tt,runtime_residual_no_tt
1151474,"Nang Nak Phra Khanong, New Episode","Nang Nak Phra Khanong, New Episode",1939,th,without_tt,runtime_residual_no_tt
1155556,The Fight or Flight Response,The Fight or Flight Response,2023,en,without_tt,runtime_residual_no_tt
1159764,The Trick or Treaters 2: Full Harvest,The Trick or Treaters 2: Full Harvest,2023,en,without_tt,runtime_residual_no_tt
1181627,Untitled,Untitled,2024,en,without_tt,runtime_residual_no_tt
1191920,The Red Mirror,The Red Mirror,2023,en,without_tt,runtime_residual_no_tt
1198322,sade me,sade me,2023,en,without_tt,runtime_residual_no_tt
1201327,Tear My Heart To Sleep,Tear My Heart To Sleep,2024,en,without_tt,runtime_residual_no_tt
1224542,Unachievable Sound of Silence,Unachievable Sound of Silence,2024,en,without_tt,runtime_residual_no_tt
1229488,Dead Rabbit Skellington,Dead Rabbit Skellington,2024,en,without_tt,runtime_residual_no_tt
