id,status,imdb_id,imdb_type,imdb_year,tmdb_title,imdb_title,genres
94161,hit,tt0287846,tvSeries,2002,Dracula,Dracula,"Drama,Horror"
273060,miss,,,2012,The Evil Dead Inbred Rednecks,,
299768,miss,,,1989,Carmilla,,
462987,miss,,,2008,666: Salem Calling,,
467151,ambig,"tt1211977,tt43662639",,1984,Child's Play,,
473647,miss,,,1995,Sandkings,,
477982,miss,,,1984,In Possession,,
490870,miss,,,2017,The Idol,,
526146,hit,tt0104523,tvSeries,1992,Intruders,Intruders,"Biography,Horror,Mystery"
550718,miss,,,2015,Leviathan: The Story of Hellbound: Hellraiser II,,
601107,miss,,,2019,Dr. Ling's Torture Greenhouse,,
639571,miss,,,2008,Skin and Bones,,
647354,miss,,,2018,Midday Demons,,
655058,miss,,,2019,The House on Devil's Road,,
671730,miss,,,1989,The Turn of the Screw,,
679870,miss,,,2020,Dreams of Darkness,,
687661,miss,,,2008,New Year's Day,,
688005,hit,tt1439629,tvSeries,2009,Community,Community,Comedy
729975,hit,tt2568974,tvSeries,2012,Porkin' Across America,Porkin' Across America,"Comedy,Short"
752291,ambig,"tt7809904,tt7818370",,2017,CROWN OF THE ARCHONS,,
772948,hit,tt13235374,tvSeries,2020,The Clock,Clock,Thriller
773327,miss,,,1999,La Playa,,
783208,miss,,,2020,The Ultimate Dilemma Part 2,,
791038,miss,,,2021,The Island of Dr. Moreau,,
793385,miss,,,1985,Tennis Court,,
869915,miss,,,2021,His Name Was Jason,,
881597,miss,,,2021,Ritual The Series,,
894733,miss,,,2021,The Tragedy Of Doctor Jekyll And Mister Hyde,,
911229,miss,,,2021,"It's Me, Billy",,
928313,miss,,,1989,The Strange Case of Dr. Jekyll and Mr. Hyde,,
928317,miss,,,1989,The Eyes of the Panther,,
954600,miss,,,2022,Another!,,
959307,miss,,,2022,The Woods: Man's Natural Enemy,,
989253,miss,,,2022,Sacrificial Lambs,,
991182,miss,,,2001,Night of the Living Dead: 30th Anniversary Edition,,
991953,miss,,,2020,Devil's Fairground,,
996327,hit,tt13237744,tvMiniSeries,2020,Blood & Makeup: The Last Laugh of Blah Blah the Clown,Blood & Makeup: The Last Laugh of Blah Blah the Clown,"Comedy,Crime,Mystery"
1000589,miss,,,1984,And the Wall Came Tumbling Down,,
1012824,miss,,,1985,The Corvini Inheritance,,
1012826,miss,,,1985,Paint Me a Murder,,
1012840,miss,,,1984,The Sweet Scent of Death,,
1012847,miss,,,1984,Black Carrion,,
1012853,miss,,,1985,The Late Nancy Irving,,
1012859,miss,,,1984,A Distant Scream,,
1012953,miss,,,1984,Last Video and Testament,,
1015721,miss,,,2009,The Spirit Box,,
1024207,miss,,,2022,this is my world,,
1032890,hit,tt18553864,tvSeries,2022,Welcome to the Occult Forest,Welcome to the Occult Forest,"Comedy,Drama,Horror"
