id,title,year,imdb_id,imdb_titleType,imdb_runtime,imdb_genres,tmdb_genres
3016,Dr. Jekyll and Mr. Hyde,1920,tt0011130,movie,69,"Drama,Horror,Sci-Fi",
337445,The Dark Mirror,1920,tt0011094,movie,50,"Drama,Horror",
664862,The Dream Cheater,1920,tt0011135,movie,50,Horror,
948056,The House of Whispers,1920,tt0011311,movie,50,"Horror,Mystery",
1261573,Black Shadows,1920,tt0010996,movie,50,"Crime,Drama,Horror",
27508,A Blind Bargain,1922,tt0012949,movie,57,"Drama,Horror,Mystery",
18987,The Hunchback of Notre Dame,1923,tt0014142,movie,133,"Drama,Horror,Romance",
27512,While Paris Sleeps,1923,tt0014602,movie,60,"Drama,Horror",
1080723,The Last Moment,1923,tt0014188,movie,60,"Drama,Horror",
1261561,The Monkey's Paw,1923,tt0175924,movie,64,"Fantasy,Horror",
186458,Dante's Inferno,1924,tt0014826,movie,60,"Drama,Horror,Romance",
918940,Unseen Hands,1924,tt0015449,movie,60,"Drama,Horror",
1261552,Those Who Dare,1924,tt0015404,movie,70,"Drama,Horror",
964,The Phantom of the Opera,1925,tt0016220,movie,93,"Horror,Music",
27501,The Bat,1926,tt0016629,movie,86,"Horror,Mystery,Thriller",
29466,The Magician,1926,tt0017103,movie,83,"Drama,Fantasy,Horror",
184885,The Bells,1926,tt0016640,movie,68,"Crime,Drama,Horror",
189547,Midnight Faces,1926,tt0017139,movie,55,"Horror,Thriller",
27503,The Unknown,1927,tt0018528,movie,68,"Drama,Horror,Romance",
330169,The Gorilla,1927,tt0017947,movie,80,"Horror,Thriller",
337184,The Wizard,1927,tt0018584,movie,60,"Horror,Mystery,Sci-Fi",
27517,The Man Who Laughs,1928,tt0019130,movie,110,"Drama,Horror,Mystery",
84712,The Last Warning,1928,tt0020080,movie,89,"Horror,Mystery,Thriller",
148112,The Terror,1928,tt0019456,movie,85,"Horror,Mystery,Thriller",
84713,The Last Performance,1929,tt0020078,movie,68,"Drama,Horror,Romance",
190089,The Unholy Night,1929,tt0020534,movie,94,"Horror,Mystery,Thriller",
479261,The Silent House,1929,tt0339678,movie,82,"Crime,Horror,Mystery",
580441,The Devil Bear,1929,tt0303908,movie,65,"Adventure,Drama,Horror",
1153281,The Phantom of the Opera,1929,tt0016220,movie,93,"Horror,Music",
26162,The Bat Whispers,1930,tt0020668,movie,84,"Crime,Drama,Horror",
84714,The Cat Creeps,1930,tt0020748,movie,75,"Horror,Mystery",
138,Dracula,1931,tt0021814,movie,74,"Drama,Fantasy,Horror",
3019,Dr. Jekyll and Mr. Hyde,1931,tt0022835,movie,98,"Horror,Sci-Fi",
3035,Frankenstein,1931,tt0021884,movie,70,"Drama,Horror,Sci-Fi",
28048,King of the Wild,1931,tt0022028,movie,248,"Action,Adventure,Horror",
29499,Murder by the Clock,1931,tt0022173,movie,76,"Crime,Horror,Mystery",
45803,Svengali,1931,tt0022454,movie,81,"Drama,Horror,Romance",
145862,The Hound of the Baskervilles,1931,tt0021977,movie,72,"Crime,Horror,Mystery",
156329,The Mad Genius,1931,tt0022103,movie,81,"Drama,Horror,Romance",
156344,The Drums of Jeopardy,1931,tt0021820,movie,75,"Crime,Drama,Horror",
156365,The Phantom,1931,tt0022265,movie,62,"Horror,Thriller",
470435,The Bells,1931,tt0021650,movie,75,"Crime,Drama,Horror",
136,Freaks,1932,tt0022913,movie,64,"Drama,Horror",
1994,The Most Dangerous Game,1932,tt0023238,movie,63,"Action,Adventure,Horror",
3031,Island of Lost Souls,1932,tt0024188,movie,70,"Horror,Sci-Fi",
3484,The Mask of Fu Manchu,1932,tt0023194,movie,69,"Adventure,Drama,Horror",
15849,The Mummy,1932,tt0023245,movie,73,"Fantasy,Horror",
26860,White Zombie,1932,tt0023694,movie,69,Horror,
28305,Behind the Mask,1932,tt0022663,movie,68,"Crime,Horror,Mystery",
28435,Murders in the Rue Morgue,1932,tt0023249,movie,61,"Crime,Horror,Mystery",
84505,Kongo,1932,tt0023101,movie,86,"Drama,Horror",
95560,The Monster Walks,1932,tt0023236,movie,57,"Horror,Mystery",
156385,Murder at Dawn,1932,tt0023247,movie,62,"Crime,Drama,Horror",
337380,Condemned to Death,1932,tt0022776,movie,75,"Crime,Drama,Horror",
343885,Castle Sinister,1932,tt0150057,movie,50,Horror,
733068,The Horror,1932,tt0194949,movie,70,"Drama,Horror",
244,King Kong,1933,tt0024216,movie,100,"Adventure,Horror",
10787,The Invisible Man,1933,tt0024184,movie,71,"Horror,Sci-Fi",
28046,The Ghoul,1933,tt0024055,movie,80,"Action,Drama,Horror",
32652,Mystery of the Wax Museum,1933,tt0024368,movie,77,"Horror,Mystery,Thriller",
39311,Murders in the Zoo,1933,tt0024360,movie,62,"Crime,Horror",
43148,The Vampire Bat,1933,tt0024727,movie,65,"Drama,Horror,Mystery",
109841,Supernatural,1933,tt0024631,movie,65,"Drama,Horror,Mystery",
118570,Secret of the Blue Room,1933,tt0024538,movie,66,"Crime,Drama,Horror",
138956,Night of Terror,1933,tt0024382,movie,65,"Drama,Horror,Mystery",
384627,The Monkey's Paw,1933,tt0023235,movie,58,Horror,
