id,title,year,original_language,genre_names,imdb_id,imdb_title,imdb_year,imdb_titleType,imdb_runtime,imdb_genres,reason
446854,Zombie in a Haunted House,1959,zh,Horror,tt0349510,,,,,,tt_missing
984359,Nico: Evening of Light,1969,en,"Fantasy, Horror, Music",tt0375742,,,,,,tt_missing
92060,Michael Jackson's Thriller,1983,en,"Horror, Music",tt0088263,,,,,,tt_missing
397734,Beware: Bed Sins,1985,tl,"Crime, Drama, Horror, Mystery, Romance, Thriller",tt2502694,,,,,,tt_missing
560182,Naalai Manithan,1989,ta,"Drama, Horror, Science Fiction",tt4168940,,,,,,tt_missing
689918,Cursed One-Piece,1992,ja,"Animation, Horror, Romance, TV Movie",tt29040997,,,,,,tt_missing
623081,Asuran,1995,ta,"Fantasy, Horror, Thriller",tt10160390,,,,,,tt_missing
862131,Casket Climber Insect God,2006,en,Horror,tt0764223,,,,,,tt_missing
812657,Miles Fisher: This Must Be The Place,2009,en,"Horror, Music",tt2075357,,,,,,tt_missing
464574,His Heavy Heart,2014,en,"Fantasy, Horror",tt3985550,,,,,,tt_missing
829370,Angelus,2014,en,Horror,tt3616434,,,,,,tt_missing
840885,The Organist,2014,en,Horror,tt41274716,,,,,,tt_missing
520026,Exposure,2015,en,"Drama, Horror, Thriller",tt4533604,,,,,,tt_missing
537963,Judas,2015,en,"Horror, Music, Music",tt5168436,,,,,,tt_missing
433849,The Tunnel,2017,en,Horror,tt4879798,,,,,,tt_missing
532813,Sublimate,2017,en,"Comedy, Horror",tt6642840,,,,,,tt_missing
586187,Cliché,2017,en,"Comedy, Horror",tt7567750,,,,,,tt_missing
718156,Unlock,2020,hi,"Horror, Thriller",tt14088516,,,,,,tt_missing
858487,Hurt Luv,2020,en,"Horror, Music",tt15181388,,,,,,tt_missing
922437,First Contact,2022,en,"Fantasy, Horror, Science Fiction",tt98898989,,,,,,tt_missing
931220,Poo Saandi Varaan,2022,ta,"Horror, Thriller",tt17074876,,,,,,tt_missing
957154,Seoul Ghost Stories,2022,ko,"Fantasy, Horror",tt20039176,,,,,,tt_missing
986197,End Times,2023,en,Horror,tt28188398,,,,,,tt_missing
1079643,Devil Beneath,2023,en,"Horror, Thriller",tt24949716,,,,,,tt_missing
1225091,Sex Pervert Kills A Sasquach,2023,en,Horror,tt43717090,,,,,,tt_missing
1233571,The Hanged Girl,2023,en,"Horror, Thriller, Drama",tt29634610,,,,,,tt_missing
1236922,Bus Stop,2023,en,"Horror, Drama",tt28650420,,,,,,tt_missing
1697487,The Tell-Tale Heart,2023,en,"Animation, Horror",tt2647343,,,,,,tt_missing
1182590,Crackodile,2024,en,"Horror, Comedy",tt27832864,,,,,,tt_missing
1206636,The Evil Within,2024,en,Horror,tt11487742,,,,,,tt_missing
1250540,Single Black Female 2: Simone's Revenge,2024,en,"Thriller, TV Movie, Drama, Horror",tt31491793,,,,,,tt_missing
1277952,The River's Breath,2024,en,Horror,tt32889668,,,,,,tt_missing
1397220,Care,2024,en,"Horror, Music",tt31315106,,,,,,tt_missing
1449636,The Get Out,2024,en,Horror,tt31021075,,,,,,tt_missing
1575998,Seance,2024,en,Horror,tt3280129,,,,,,tt_missing
1365168,Reunion,2025,en,Horror,tt32195841,,,,,,tt_missing
1428191,The Weeknd - Red Terror,2025,en,"Animation, Music, Fantasy, Horror",tt35660679,,,,,,tt_missing
1478423,I Got Next,2025,en,"Comedy, Horror",tt6180509,,,,,,tt_missing
1517298,The Occupant of the Room,2025,en,Horror,tt38428508,,,,,,tt_missing
1554640,Triumph Over Evil: Battle of the Exorcists,2025,en,"Documentary, Horror",tt38968427,,,,,,tt_missing
1558260,Murmur: Red Hill,2025,en,"Horror, Drama, Music",tt36620677,,,,,,tt_missing
1567048,Tasteless,2025,en,"Horror, Science Fiction, Mystery, Thriller",tt3660637,,,,,,tt_missing
1686620,Legacy of Screams: The Evolution of Horror Movies,2025,en,"Documentary, Horror",tt3900329,,,,,,tt_missing
2675,Signs,,,,tt0286106,Signs,2002,movie,106,"Drama,Mystery,Sci-Fi",not_tagged_horror
2957,The Mysterious Book,,,,tt0130001,"Homunculus, 2. Teil - Das geheimnisvolle Buch",1916,movie,75,\N,not_tagged_horror
