imdb_id,primaryTitle,originalTitle,startYear,titleType,runtimeMinutes,genres
tt0063362,Las noches del Hombre Lobo,Las noches del Hombre Lobo,,movie,82,Horror
tt0301252,Tortured Souls: Animae Damnatae,Tortured Souls: Animae Damnatae,,movie,,"Drama,Horror"
tt0366452,Flicker,Flicker,,movie,,"Drama,Horror,Thriller"
tt0401771,Scare Me,Scare Me,,movie,90,Horror
tt0435633,Dog Soldiers: Fresh Meat,Dog Soldiers: Fresh Meat,,movie,,"Action,Horror"
tt0457295,Bubba Nosferatu: Curse of the She-Vampires,Bubba Nosferatu: Curse of the She-Vampires,,movie,,"Comedy,Fantasy,Horror"
tt0457467,Selling Time,Selling Time,,movie,,"Horror,Thriller"
tt0465372,Absolute Angels,Absolute Angels,,movie,,"Comedy,Horror"
tt0469210,Tokyo Ghost Story,Tokyo Ghost Story,,movie,,"Horror,Thriller"
tt0481738,Goners,Goners,,movie,,"Drama,Fantasy,Horror"
tt0485887,Creepshow,Creepshow,,movie,130,Horror
tt0488982,Castlevania,Castlevania,,movie,,"Adventure,Fantasy,Horror"
tt0497453,These Woods,These Woods,,movie,,Horror
tt0770761,Hack/Slash,Hack/Slash,,movie,,"Action,Horror,Thriller"
tt0772201,Shaman's Mark,Shaman's Mark,,movie,89,Horror
tt0775433,Black Hole,Black Hole,,movie,,"Drama,Horror,Romance"
tt0800249,Dracula the Un-Dead,Dracula the Un-Dead,,movie,,"Drama,Horror"
tt0818168,Clock Tower,Clock Tower,,movie,,"Horror,Thriller"
tt0835438,Magic 8 Ball,Magic 8 Ball,,movie,,"Horror,Thriller"
tt0835797,In Vitro,In Vitro,,movie,,"Horror,Thriller"
tt0850244,After Dark: Black Hollow,After Dark: Black Hollow,,movie,,"Horror,Thriller"
tt0887875,Bell Witch,Bell Witch,,movie,,"Horror,Thriller"
tt0891349,Taxidermist,Taxidermist,,movie,,"Horror,Thriller"
tt0924411,Automaton Transfusion 2,Automaton Transfusion 2,,movie,,"Action,Horror"
tt0990406,Gears of War,Gears of War,,movie,,"Action,Adventure,Horror"
tt10002034,The Scowling Dusk Trilogy,The Scowling Dusk Trilogy,,movie,360,"Drama,Fantasy,Horror"
tt10006762,Deadly Transition,Deadly Transition,,movie,,Horror
tt10011144,Baby,Baby,,movie,,Horror
tt10014600,Shelter,Shelter,,movie,,Horror
tt10015110,Corbin Nash 2,Corbin Nash 2,,movie,,Horror
tt10021874,Nightfall,Nightfall,,movie,,Horror
tt10029562,Death Lies on Her,Death Lies on Her,,movie,,"Fantasy,Horror,Sci-Fi"
tt10029612,Outpost 139,Outpost 139,,movie,,"Horror,Sci-Fi"
tt1002972,Criminal Macabre,Criminal Macabre,,movie,,Horror
tt10032494,Histers,Histers,,movie,,Horror
tt10033154,Frightmares,Frightmares,,movie,,Horror
tt10034196,Static Pressure,Static Pressure,,movie,,Horror
tt10037584,La Sangre que nos Une,La Sangre que nos Une,,movie,,"Drama,Horror,Thriller"
tt10041064,I See You,I See You,,movie,,"Horror,Thriller"
tt10041226,The Rattler,The Rattler,,movie,,Horror
tt10044564,The House That Couldn't Die,The House That Couldn't Die,,movie,,"Drama,Horror"
tt10044610,Badlander,Badlander,,movie,,"Action,Drama,Horror"
tt10047032,A Young Cyborg's Manifesto,A Young Cyborg's Manifesto,,movie,53,"Documentary,Horror,Romance"
tt10051530,The Haunting of Pluckley Village,The Haunting of Pluckley Village,,movie,,Horror
tt10052952,The Impressionist,The Impressionist,,movie,,Horror
tt10054628,Sanguis,Sanguis,,movie,,Horror
tt10055510,Abigail,Abigail,,movie,,Horror
tt10056524,Lesser Evil,Lesser Evil,,movie,,"Horror,Thriller"
tt10059840,The Pitts of Hell,The Pitts of Hell,,movie,,Horror
tt10060310,Untitled Jordan Vogt-Roberts/Monster Project,Untitled Jordan Vogt-Roberts/Monster Project,,movie,,Horror
