id,title,year,original_language,runtime,genre_names,imdb_id,imdb_title,imdb_year,imdb_titleType,imdb_runtime,imdb_genres
507952,Bad Vibes,,,,,tt3170536,Bad Vibes,,movie,,Horror
509667,Before Dawn,,,,,tt3326084,Avoca,,movie,,"Crime,Horror,Thriller"
510654,The Fortunate,,,,,tt4507416,The Fortunate,,movie,100,"Horror,Thriller"
513553,Dark Peak,,,,,tt1802754,Dark Peak,,movie,,"Horror,Mystery,Thriller"
515329,Akuma,,,,,tt2083136,Akuma,,movie,,Horror
545784,12 Midnight,,,,,tt8735420,12 Midnight,,movie,,"Action,Horror,Thriller"
550446,The Last Train to New York,,,,,tt9256744,The Last Train to New York,,movie,,"Action,Horror,Thriller"
622707,Jekyll,,,,,tt5697510,Jekyll,,movie,,"Horror,Mystery,Thriller"
666477,Dunwich,,,,,tt11876270,Dunwich,,movie,,Horror
674393,Pure,,,,,tt7887448,Pure,,movie,,"Comedy,Drama,Horror"
725223,Chasing Nightmares,,,,,tt7505028,Chasing Nightmares,,movie,,"Horror,Thriller"
737736,Red Wedding,,,,,tt29044362,Red Wedding,,movie,,"Horror,Thriller"
740611,The Haunting in Wicker Park,,,,,tt9783444,The Haunting in Wicker Park,,movie,,Horror
770549,All-Nighter,,,,,tt11935060,All Nighter,,movie,,Horror
878413,The Grime,,,,,tt6648956,The Grime,,movie,,"Comedy,Horror"
926835,Amityville Ghosts,,,,,tt15908978,Amityville Ghosts,,movie,,Horror
939072,BioShock,,,,,tt18257440,BioShock,,movie,,"Action,Adventure,Horror"
986373,Hollow,,,,,tt21038830,Sleepy Hollow,,movie,,"Horror,Romance,Thriller"
1094107,Dead by Daylight,,,,,tt26938834,Dead by Daylight,,movie,,Horror
1117319,What Happens at Night,,,,,tt27549797,What Happens at Night,,movie,,"Drama,Horror,Mystery"
1125063,Self-Portrait,,,,,tt27722308,Self-Portrait,,movie,,Horror
1134306,Thread: An Insidious Tale,,,,,tt17043156,Thread: An Insidious Tale,,movie,,"Horror,Mystery,Sci-Fi"
1144087,The Woods,,,,,tt26215494,The Woods,,movie,,"Horror,Thriller"
1145970,The Reunion,,,,,tt26761118,The Reunion,,movie,,"Drama,Horror,Thriller"
1156989,Valentines Lake,,,,,tt21917736,Valentines Lake,,movie,,"Horror,Sci-Fi,Thriller"
1163661,FGA,,,,,tt26597488,FGA,,movie,,Horror
1194004,Laugh,,,,,tt28448709,Laugh,,movie,,"Horror,Thriller"
1202094,Sketch,,,,,tt22075830,Sketch,,movie,,Horror
1211876,Thanksgiving 2,,,,,tt30268701,Thanksgiving 2,,movie,,"Horror,Mystery,Thriller"
1239461,Zombie Hotel,,,,,tt31180002,Zombie Hotel,,movie,,Horror
1243538,Hang,,,,,tt30470549,Hang,,movie,,Horror
1249693,American Psycho,,,,,tt34096616,Untitled American Psycho/Luca Guadagnino Project,,movie,,"Crime,Horror,Thriller"
1266676,Stricken,,,,,tt15447106,Stricken,,movie,,Horror
