id,title,year,original_language,runtime,genre_names,imdb_id,imdb_title,imdb_year,imdb_titleType,imdb_runtime,imdb_genres,reason
861454,Apophenia,,,,,tt13049708,Apophenia,,movie,100,Thriller,not_tagged_horror
983539,Dark Parks,,,72,,tt20853284,Dark Parks,,movie,72,Mystery,not_tagged_horror
1075362,Sacred Vision,,,,,tt19714380,Sacred Vision,,movie,,Thriller,not_tagged_horror
1110707,God Hospital,,,,,tt19042842,God Hospital,,short,,Short,not_tagged_horror
1167767,Voyeur,,,,,tt23640704,Bryan Matthew Ward's Voyeur,,movie,,"Crime,Thriller",not_tagged_horror
1193314,Zombie Plane,,,,,tt11883888,Zombie Plane,,movie,98,"Action,Comedy",not_tagged_horror
1305942,An Archivist's Search for Meaning,,,,,tt32626954,An Archivist's Search for Meaning,2024,short,,Short,not_tagged_horror
1492097,Welcome to Paradise,,,,,tt19304966,Welcome to Paradise,,movie,,"Comedy,Drama,Fantasy",not_tagged_horror
1496291,Heartsnatcher,,,,,tt2209424,Heartsnatcher,,movie,,Drama,not_tagged_horror
1533563,Organism 46-B The Unseen,,,,,tt36294852,Organism 46-B: The Unseen,,movie,,Sci-Fi,not_tagged_horror
1536266,Obscura,,,,,tt35890168,Obscura,,short,14,"Short,Thriller",not_tagged_horror
1568436,Disorderly,,,,,tt37598375,Disorderly,,movie,,Comedy,not_tagged_horror
1570504,Claws,,,,,tt30844086,Claws,,movie,,"Comedy,Drama,Family",not_tagged_horror
1597906,In The Earth,,,,,tt37997441,In the Earth,,movie,,Thriller,not_tagged_horror
1647157,Babyteeth,,,,,tt37681842,Babyteeth,,short,,"Comedy,Drama,Short",not_tagged_horror
1664897,The Passage,,,,,tt38938534,The Passage,,short,5,"Mystery,Short",not_tagged_horror
1677565,Ankle Snatcher,,,,,tt31707908,Ankle Snatcher,,movie,,Thriller,not_tagged_horror
1708376,Droid House,,,141,,tt43646878,Droid House,2026,movie,141,Sci-Fi,not_tagged_horror
1730130,Deville,,,,,tt38870922,Deville,,movie,,Thriller,not_tagged_horror
212391,The Damnation of Faust,1898,,,,tt0223084,Damnation of Faust,1898,short,7,"Fantasy,Short",not_tagged_horror
1077097,Faust and Mephistopheles,1898,,,,tt0000196,Faust and Mephistopheles,1898,short,,"Fantasy,Short",not_tagged_horror
484219,A Visit to the Spiritualist,1899,,,,tt0230955,A Visit to the Spiritualist,1899,short,,"Comedy,Fantasy,Short",not_tagged_horror
130046,Uncle Josh's Nightmare,1900,,,,tt0000341,Uncle Josh's Nightmare,1900,short,2,"Comedy,Fantasy,Short",not_tagged_horror
152031,How It Feels to Be Run Over,1900,,,,tt0000309,How It Feels to Be Run Over,1900,short,1,"Comedy,Short",not_tagged_horror
195539,Davey Jones' Locker,1900,,,,tt0218135,Davey Jones' Locker,1900,short,1,"Fantasy,Short",not_tagged_horror
152032,How to Stop a Motor Car,1902,,,,tt0435028,Policeman and Automobile,1902,short,2,"Comedy,Fantasy,Short",not_tagged_horror
272423,The Mistletoe Bough,1904,,,,tt1185661,The Mistletoe Bough,1904,short,9,"Drama,History,Short",not_tagged_horror
455141,A Catastrophe in Hester Street,1904,,,,tt0821127,A Catastrophe in Hester Street,1904,short,2,"Comedy,Short",not_tagged_horror
1008246,The Freak Barber,1905,,,,tt1872065,The Freak Barber,1905,short,,"Comedy,Short",not_tagged_horror
20650,The Sealed Room,1909,,,,tt0001032,The Sealed Room,1909,short,11,"Drama,Short,Thriller",not_tagged_horror
297446,The Picture of Dorian Gray,1910,,,,tt0001185,Dorian Grays Portræt,1910,short,24,"Drama,Short",not_tagged_horror
716472,The Vampire,1910,,,,tt0001441,The Vampire,1910,short,,"Drama,Short",not_tagged_horror
361945,Sleepy Hollow,1911,,,,tt1107950,Sleepy Hollow,1911,short,,"Drama,Short",not_tagged_horror
363164,The Mummy,1911,,,,tt0409066,The Mummy,1911,short,,"Comedy,Fantasy,Romance",not_tagged_horror
1339547,Trilby and Svengali,1911,,,,tt0001940,Trilby and Svengali,1911,short,17,Short,not_tagged_horror
614166,The Skeleton,1912,,,,tt1311165,The Skeleton,1912,short,,"Comedy,Short",not_tagged_horror
338067,The Werewolf,1913,,,,tt0003526,The Werewolf,1913,short,18,"Adventure,Drama,Fantasy",not_tagged_horror
1301360,Dr. Jekyll and Mr. Hyde,1913,,,,tt2357384,Dr. Jekyll and Mr. Hyde,1913,short,,"Drama,Short",not_tagged_horror
