old_id,title,original_title,year,runtime,stored_path,status,new_kind,new_id,new_title,new_year,new_poster_path,new_url,candidates_n,in_corpus_already,note,gate,gate_note,live_new_title,live_new_poster,live_new_year
103970,Feeding Frenzy,Feeding Frenzy,2010,87,/1YgknPRTuTo5M7tEaIhRwQ75dmw.jpg,high,movie,1504830,Feeding Frenzy,2010,/mpdkmHIQM4IsrjcqLkZiKenTEnB.jpg,https://www.themoviedb.org/movie/1504830,1,0,year_exact,ACCEPT,"ok;genres=Comedy,Horror",Feeding Frenzy,/mpdkmHIQM4IsrjcqLkZiKenTEnB.jpg,2010
475305,Auditorium 6,Auditorium 6,2017,35,/tlsmwK8Jzdrp0UaBT9CCocchrVA.jpg,high,movie,1730871,Auditorium 6,2017,/hOXcl4dyV8gSzYoFN91HY4vj1ou.jpg,https://www.themoviedb.org/movie/1730871,1,0,year_exact,ACCEPT,ok;genres=,Auditorium 6,/hOXcl4dyV8gSzYoFN91HY4vj1ou.jpg,2017
481195,Dementia,Dementia,2014,5,/d2yMUGj8VhC1x5hIK621xNjX9T.jpg,high,movie,298389,Dementia,2014,/44cf37sdiLiJTvTjevtOhzazmD2.jpg,https://www.themoviedb.org/movie/298389,1,0,year_exact,ACCEPT,"ok;genres=Thriller,Horror",Dementia,/44cf37sdiLiJTvTjevtOhzazmD2.jpg,2014
499978,SNAP,SNAP,2015,5,/h9vvb2b1Glf6y9uSWkikRV2upDB.jpg,high,movie,368585,Snap,2015,/tiGf9urXHqJ7msPT12V6g4oeuOe.jpg,https://www.themoviedb.org/movie/368585,1,0,year_exact,ACCEPT,ok;genres=Drama,Snap,/tiGf9urXHqJ7msPT12V6g4oeuOe.jpg,2015
537560,The Last of Us - No Escape,The Last of Us - No Escape,2017,14,/7cfbTwXFriY8vjH6zQg0O8ZgkFR.jpg,high,movie,1686705,The Last of Us - No Escape,2017,/vZZchEVkyT5gNB7d5w3awQPKWQF.jpg,https://www.themoviedb.org/movie/1686705,1,0,year_exact,ACCEPT,ok;genres=Action,The Last of Us - No Escape,/vZZchEVkyT5gNB7d5w3awQPKWQF.jpg,2017
698643,Trees,Trees,2020,1,/muwovGUjfFeuwTWkwBSmQngTyi2.jpg,high,movie,768698,Trees,2020,/zwKZuNjDpvgOHgUReMlkcmhMRob.jpg,https://www.themoviedb.org/movie/768698,1,0,year_exact,ACCEPT,ok;genres=Documentary,Trees,/zwKZuNjDpvgOHgUReMlkcmhMRob.jpg,2020
714816,A Sky Machine,Mesin Langit,2019,6,/8c5gllXqO9WPwpfBmGPoAzlaWab.jpg,high,movie,714803,A Sky Machine,2019,/xBA4pUdvghM0Jm27OCzAUnXTFDI.jpg,https://www.themoviedb.org/movie/714803,1,0,year_exact,ACCEPT,ok;genres=,A Sky Machine,/xBA4pUdvghM0Jm27OCzAUnXTFDI.jpg,2019
753152,Trouble,Trouble,2020,6,/6xW23ypnyI1IaKVj1u6UyNFrCLk.jpg,high,movie,667949,Trouble,2020,/2WVgRJCNZU2n5KbVWsXgnEz5kto.jpg,https://www.themoviedb.org/movie/667949,1,0,year_exact,ACCEPT,ok;genres=Drama,Trouble,/2WVgRJCNZU2n5KbVWsXgnEz5kto.jpg,2020
774457,Heritage,Godzilla: Heritage,2020,25,/rcFzp0oAkMZjsimvg9UYCJVe7pV.jpg,high,movie,1480075,Heritage,2020,/wsqmHcaPh0I2XjB69PI1ZALm8cx.jpg,https://www.themoviedb.org/movie/1480075,1,0,year_exact,ACCEPT,ok;genres=Documentary,Heritage,/wsqmHcaPh0I2XjB69PI1ZALm8cx.jpg,2020
784506,Ghost,Ghost,2019,1,/AvipXEQj8irPU7pDY0eUqJMdu3I.jpg,high,movie,640402,Ghost,2019,/tPzw28qOSVU5kfyczbcOJkInqxF.jpg,https://www.themoviedb.org/movie/640402,1,0,year_exact,ACCEPT,"ok;genres=Horror,Thriller",Ghost,/tPzw28qOSVU5kfyczbcOJkInqxF.jpg,2019
799069,Craving,Craving,2021,12,/cmlvC9fNixstQgAWPSZWU7pYPrV.jpg,high,movie,963764,Craving,2021,/plLP3zHY9wiVTD82AzwLAeNvHoS.jpg,https://www.themoviedb.org/movie/963764,1,0,year_exact,ACCEPT,ok;genres=Drama,Craving,/plLP3zHY9wiVTD82AzwLAeNvHoS.jpg,2021
800627,The Doll,The Doll,2021,4,/uocaapAoE3VZVpHry2zpfHDxHWW.jpg,high,movie,826710,The Doll,2021,/tGA7ZTsKUEY9LAZraZs6H562Ls3.jpg,https://www.themoviedb.org/movie/826710,1,0,year_exact,ACCEPT,ok;genres=Documentary,The Doll,/tGA7ZTsKUEY9LAZraZs6H562Ls3.jpg,2021
827566,Full Disclosure Report,Full Disclosure Report,2005,14,/4pMJ2v7EH24RAIn3Pmo5jPj6zy9.jpg,high,movie,1161985,Full Disclosure Report,2005,/6A2dCtt4PgiCHx27eeuoZxQhlz9.jpg,https://www.themoviedb.org/movie/1161985,1,0,year_exact,ACCEPT,ok;genres=Crime,Full Disclosure Report,/6A2dCtt4PgiCHx27eeuoZxQhlz9.jpg,2005
829363,Repo! The Genetic Opera,Repo! The Genetic Opera,2006,10,/dz9uCAO2XdQorO5vzOSfopnNlGo.jpg,high,movie,1471922,Repo! The Genetic Opera,2006,/oi2VT15YwbTRfP31kgENV3WmFcO.jpg,https://www.themoviedb.org/movie/1471922,1,0,year_exact,ACCEPT,ok;genres=Music,Repo! The Genetic Opera,/oi2VT15YwbTRfP31kgENV3WmFcO.jpg,2006
843726,Metempsychosis,Metempsychosis,2021,8,/oT1EDoE9uLg0uBz6aQHADU2ePxX.jpg,high,movie,809789,Metempsychosis,2021,/mj40efJ4onJfAhlhY9Xunqu79WR.jpg,https://www.themoviedb.org/movie/809789,1,0,year_exact,ACCEPT,ok;genres=Documentary,Metempsychosis,/mj40efJ4onJfAhlhY9Xunqu79WR.jpg,2021
850243,Play Dead,Play Dead,2018,85,/2gVtwjyK0pxtVepwGMMkqepfOWs.jpg,high,movie,1668553,Play Dead,2018,/aaFjYU2UdD3ttZMTCDlzS1TnuMG.jpg,https://www.themoviedb.org/movie/1668553,1,0,year_exact,ACCEPT,ok;genres=,Play Dead,/aaFjYU2UdD3ttZMTCDlzS1TnuMG.jpg,2018
852731,The Stone,The Stone,2021,7,/8F0wBRiroStMIA3TpfCjPn9wasn.jpg,high,movie,868854,The Stone,2021,/bpMwu6ARSQv9WwXqz05u7Te6Oyf.jpg,https://www.themoviedb.org/movie/868854,1,0,year_exact,ACCEPT,ok;genres=Drama,The Stone,/bpMwu6ARSQv9WwXqz05u7Te6Oyf.jpg,2021
