id,title,year,decade,proxy,ocr_chars,n_lines,n_boxes,mean_conf,ocr_source,path
24116,The Skeptic,2009,2000,title_led,11,2,2,0.9689,easyocr,/x7K5DIDhCwqDD9VIMVCMdDld9pK.jpg
857334,Shadows in the Old House,1948,1940,text_heavy,70,15,15,0.1422,easyocr,/ArLTVrTZRD2BrOPkRa1y081VGNd.jpg
48675,Small Town Folk,2007,2000,text_heavy,44,6,6,0.5269,easyocr,/qkWuQnWlopK9FdEiVAK4vJBAuMJ.jpg
37409,Violated,1953,1950,image_led,5,1,1,0.0636,easyocr,/qu5fMEibbvcIatwjIbrIeVxIA6e.jpg
1261579,The Guyra Ghost Mystery,1921,1920,text_heavy,89,11,11,0.3224,easyocr,/p240iGTV59TXSftz5LliHcCr2q3.jpg
26946,Attack of the Crab Monsters,1957,1950,title_led,27,4,4,0.8933,easyocr,/pDaJt3Jv41mOvND7HaDnmiGsD5V.jpg
136611,Penda's Fen,1974,1970,title_led,10,1,1,0.9909,easyocr,/18qc9p5eI5awgSijEdJfIb7YLmH.jpg
320380,The Phantom Foe,1920,1920,text_heavy,61,6,6,0.8435,easyocr,/ubv0KajHG7lALEtMe3FzIujWDIg.jpg
521485,Madman 2,2008,2000,image_led,6,1,1,0.2935,easyocr,/9Zh5N9ahcPNH9Lyp3SjI1byh0Rt.jpg
3125,Dracula vs. Frankenstein,1971,1970,title_led,22,2,2,0.6405,easyocr,/okBup7vZhKPat0mO6SQ1HdLP0YZ.jpg
88361,Seeds,1968,1960,text_heavy,279,21,21,0.2908,easyocr,/kMpReOpaKuC0E2bqkRC3Wtr8sbN.jpg
338067,The Werewolf,1913,1910,title_led,14,1,1,0.4607,easyocr,/b5RlScbcCz6idCR2zTC0fINDt4Y.jpg
28910,Mark of the Vampire,1935,1930,title_led,19,3,3,0.4358,easyocr,/A6JN2kIEYwXEHHmqEa86aMKDJj8.jpg
1287381,Imperfect,1941,1940,image_led,0,0,0,0.0,easyocr,/y1M9Iskk5aZqW6bEaqWi2bNIjTI.jpg
700205,The Slip-Back: A Weird Story in Two Parts,1934,1930,title_led,67,5,5,0.5544,easyocr,/qLi1dW598vRxyzZn0IIEM3UaNgF.jpg
630560,The Hunchback and the Dancer,1920,1920,image_led,0,0,0,0.0,easyocr,/hWJvGG6QU2ouIfaWtAggC0tW832.jpg
132064,Vile,2011,2010,image_led,4,1,1,0.334,easyocr,/wHxVSKv4plCpllQpBt4tOftKJ12.jpg
75419,Fangs,2002,2000,text_heavy,65,8,8,0.8506,easyocr,/uXRWmexwO8PkSz9gZzpFRi4Llt6.jpg
695270,Obeah,1935,1930,text_heavy,130,11,11,0.3403,easyocr,/7JQlDY9IiFsSiGapbaYwZWAoGP7.jpg
1381446,Son of Pumpkinman,1993,1990,text_heavy,127,14,14,0.459,easyocr,/mFV4QzdoW8k7WAeleLVIlkQrVig.jpg
812307,Luna,9999,9990,image_led,3,1,0,0.0,textract,/m1Bdf5by8rWsaHWaRkRbn9RrPqS.jpg
862404,Thrill Kill Video Club,1991,1990,text_heavy,41,7,7,0.1536,easyocr,/iJYyEm4rTC8eX0bfnUtmOcN5Kg8.jpg
145850,Dance Or Die,1987,1980,image_led,6,1,1,0.0762,easyocr,/2nPPxIb8Rlbwvs4HsjOmZsa2QlE.jpg
2970,Alraune,1930,1930,image_led,6,1,1,0.0285,easyocr,/lHTglu6doHISI6aRAAy2pN8nlmo.jpg
482646,The Cavalier's Dream,1898,1890,title_led,40,5,5,0.9106,easyocr,/xxz57yyy2Q67OcPQcwBBc5kKqmz.jpg
27519,The Student of Prague,1926,1920,title_led,23,2,2,0.5523,easyocr,/6Xr9otsNTCsSpSDhZj0XAO29qUM.jpg
539,Psycho,1960,1960,image_led,6,1,1,0.1315,easyocr,/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg
1435836,Ripple,2017,2010,text_heavy,275,18,18,0.1111,easyocr,/mf7VxEnISeEr6MiHL4UJ5E0rj5O.jpg
18177,Automaton Transfusion,2006,2000,title_led,21,2,2,0.9998,easyocr,/neZNJiOF1BPGvsX2tBPpSkUg7Wi.jpg
148112,The Terror,1928,1920,title_led,24,4,4,0.4475,easyocr,/1gyM1L3XQf6PXXFIqvJYTawd694.jpg
225437,Hangman,1986,1980,image_led,7,1,1,0.0582,easyocr,/rIUSgM3p9DTTWEudzE8SwdY6WLe.jpg
458832,Long Night in a Dead City,2017,2010,title_led,24,5,5,0.9227,easyocr,/7vPdeyrKYFY9EoqfPi54iPUldXA.jpg
1267797,House of Mystery,1949,1940,text_heavy,68,8,8,0.3014,easyocr,/jWJIcPn7lRkUNVvVHxYMfyEdL2l.jpg
152031,How It Feels to Be Run Over,1900,1900,title_led,50,3,3,0.8721,easyocr,/4Tw5D7VqzbQmLH2M8ZX3FUMTRdF.jpg
1598241,PandaMonium: Incorporated,9999,9990,text_heavy,86,4,4,0.3758,easyocr,/DNQ7wTUGDhzD08UMBQhwbNj4HN.jpg
20650,The Sealed Room,1909,1900,title_led,15,2,2,0.8611,easyocr,/4WvFZAlo5otviosadC7v6YLyMQE.jpg
