id,label,score,year,title,is_animal,is_creature
861057,shark,0.96,2021,Swim,True,True
19286,uncertain,0.465,1995,Leprechaun 3,False,False
9902,uncertain,0.347,2003,Wrong Turn,False,False
605804,skeleton,0.608,2020,The Wretched,False,True
58431,uncertain,0.49,2016,Pride and Prejudice and Zombies,False,False
739990,uncertain,0.493,2021,Nightbooks,False,False
42941,demon,0.541,2010,30 Days of Night: Dark Days,False,True
732713,uncertain,0.324,2020,Evil Eye,False,False
320048,uncertain,0.34,2015,Ratter,False,False
28355,uncertain,0.253,2009,Case 39,False,False
47044,uncertain,0.371,1993,The Secret Life: Jeffrey Dahmer,False,False
1923,uncertain,0.299,1992,Twin Peaks: Fire Walk with Me,False,False
525460,uncertain,0.283,2018,Welcome Home,False,False
22970,skeleton,0.528,2012,The Cabin in the Woods,False,True
945657,uncertain,0.271,2022,Titanic 666,False,False
431259,uncertain,0.323,2017,Escape Room,False,False
807356,witch,0.832,2022,Watcher,False,True
793967,demon,0.507,2021,Phobias,False,True
10166,witch,0.985,1990,The Witches,False,True
10586,ghost,0.885,1996,The Ghost and the Darkness,False,True
2667,witch,0.895,1999,The Blair Witch Project,False,True
70112,uncertain,0.46,2010,Dahmer vs. Gacy,False,False
629015,uncertain,0.17,2022,Shut In,False,False
519337,skeleton,0.543,2018,Tempus Tormentum,False,True
94365,snake,0.688,2015,The Human Centipede 3 (Final Sequence),True,True
579,shark,0.851,1978,Jaws 2,True,True
1551,ghost,0.682,1990,Flatliners,False,True
787009,uncertain,0.269,2021,Stay Out of the Attic,False,False
896448,shark,0.88,2022,Beneath the Surface,True,True
623034,skeleton,0.604,2018,The Haunted,False,True
11449,uncertain,0.257,1979,The Amityville Horror,False,False
362826,uncertain,0.442,2018,Wildling,False,False
458305,uncertain,0.421,2019,Vivarium,False,False
25239,uncertain,0.299,1978,I Spit on Your Grave,False,False
816952,uncertain,0.382,2022,My Best Friend's Exorcism,False,False
25769,zombie,0.778,2009,Carriers,False,True
502416,uncertain,0.314,2019,Ma,False,False
526051,uncertain,0.489,2018,Look Away,False,False
288158,ghost,0.541,2014,The Woman in Black 2: Angel of Death,False,True
839436,giant_monster,0.75,2021,Dragon Fury,False,True
747,uncertain,0.241,2004,Shaun of the Dead,False,False
9678,uncertain,0.436,2000,Little Nicky,False,False
10242,doll,0.527,1962,What Ever Happened to Baby Jane?,False,True
801071,uncertain,0.411,2022,The Jack in the Box: Awakening,False,False
391262,uncertain,0.311,2016,Curve,False,False
41439,skeleton,0.862,2010,Saw 3D,False,True
48171,demon,0.767,2011,The Rite,False,True
157547,ghost,0.596,2013,Oculus,False,True
9426,ghost,0.711,1986,The Fly,False,True
839440,giant_monster,0.653,2021,Dinosaur Hotel,False,True
333674,uncertain,0.384,2016,Intruders,False,False
21407,masked_killer,0.895,2009,The Collector,False,True
11186,clown,0.603,1990,Child's Play 2,False,True
452507,uncertain,0.234,2017,1922,False,False
496704,shark,0.755,2018,Tremors: A Cold Day in Hell,True,True
353345,uncertain,0.285,2015,The Exorcism of Molly Hartley,False,False
44040,ghost,0.782,2010,Devil,False,True
292280,uncertain,0.312,2017,The Bye Bye Man,False,False
424121,uncertain,0.235,2018,Apostle,False,False
3021,uncertain,0.453,2007,1408,False,False
17692,shark,0.969,1983,Jaws 3-D,True,True
24150,masked_killer,0.74,2009,Halloween II,False,True
25983,uncertain,0.493,2009,The House of the Devil,False,False
1933,uncertain,0.261,2001,The Others,False,False
723072,uncertain,0.24,2020,Host,False,False
9406,werewolf,0.943,1997,An American Werewolf in Paris,False,True
524251,uncertain,0.271,2019,I See You,False,False
717728,uncertain,0.257,2022,Jeepers Creepers: Reborn,False,False
65055,shark,0.985,2011,Shark Night 3D,True,True
18392,uncertain,0.302,1995,Embrace of the Vampire,False,False
10906,uncertain,0.275,1992,Pet Sematary II,False,False
431075,uncertain,0.257,2019,Polaroid,False,False
63700,vampire,0.984,2010,My Babysitter's a Vampire,False,True
40012,uncertain,0.462,2006,Raising Jeffrey Dahmer,False,False
28739,uncertain,0.203,2009,Cabin Fever 2: Spring Fever,False,False
523931,shark,0.914,2018,Megalodon,True,True
542224,uncertain,0.401,2020,Gretel & Hansel,False,False
11249,uncertain,0.279,2004,Seed of Chucky,False,False
34004,zombie,0.975,2001,Children of the Living Dead,False,True
927341,uncertain,0.368,2022,Hunting Ava Bravo,False,False
95993,demon,0.962,2003,Demon Slayer,False,True
505058,uncertain,0.354,2018,Unfriended: Dark Web,False,False
259072,uncertain,0.201,2014,Wrong Turn 6: Last Resort,False,False
564082,uncertain,0.295,2018,30 Miles from Nowhere,False,False
298312,uncertain,0.492,2015,The Visit,False,False
19994,uncertain,0.159,2009,Jennifer's Body,False,False
485415,zombie,0.825,2017,Day of the Dead: Bloodline,False,True
343674,uncertain,0.222,2017,Gerald's Game,False,False
585216,uncertain,0.344,2021,Escape Room: Tournament of Champions,False,False
518158,uncertain,0.166,2018,Leprechaun Returns,False,False
18011,uncertain,0.202,2000,Leprechaun in the Hood,False,False
768447,uncertain,0.29,2022,Motherly,False,False
49730,vampire,0.539,2011,Red Riding Hood,False,True
777620,uncertain,0.381,2021,Caged,False,False
517764,uncertain,0.221,2019,The Farm,False,False
254474,zombie,0.724,2014,Zombeavers,False,True
300665,none,0.555,2017,Leatherface,False,False
738542,ghost,0.688,2020,The Haunting of Margam Castle,False,True
199534,werewolf,0.918,2013,Wolf Creek 2,False,True
762504,uncertain,0.304,2022,Nope,False,False
316154,uncertain,0.482,2017,The Bad Batch,False,False
11460,uncertain,0.235,2005,Red Eye,False,False
516632,uncertain,0.36,2020,The Empty Man,False,False
11815,insect,0.609,1958,The Fly,True,True
836225,uncertain,0.328,2022,The Exorcism of God,False,False
753453,uncertain,0.227,2021,V/H/S/94,False,False
760161,uncertain,0.426,2022,Orphan: First Kill,False,False
40466,uncertain,0.204,2000,Crocodile,False,False
25853,demon,0.817,2002,Dahmer,False,True
133805,uncertain,0.186,2013,Carrie,False,False
10131,uncertain,0.208,1988,A Nightmare on Elm Street 4: The Dream Master,False,False
19898,uncertain,0.216,2009,Pandorum,False,False
4234,uncertain,0.253,2000,Scream 3,False,False
