n_faces,face_area,max_conf,face_boxes,id,year
0,0.0,0.0,,861057,2021
0,0.0,0.0,,19286,1995
2,0.127,0.859,"0.2437,0.4055,0.3154,0.2102|0.0015,0.0593,0.2482,0.2444",9902,2003
0,0.0,0.0,,605804,2020
2,0.0036,0.847,"0.4191,0.2558,0.0496,0.0438|0.5432,0.2349,0.041,0.0345",58431,2016
3,0.062,0.936,"0.4269,0.159,0.1539,0.1509|0.418,0.5668,0.1573,0.1282|0.4298,0.3706,0.1456,0.1277",739990,2021
4,0.0764,0.89,"0.4,0.3391,0.2001,0.1747|0.2042,0.4041,0.1521,0.1385|0.6686,0.4316,0.1151,0.1172|0.4492,0.5386,0.085,0.0807",42941,2010
1,0.3783,0.918,"0.1721,0.12,0.6276,0.6028",732713,2020
1,0.0803,0.93,"0.5322,0.1589,0.2939,0.2731",320048,2015
1,0.1955,0.898,"-0.0041,0.0647,0.3462,0.5646",28355,2009
1,0.0297,0.876,"0.329,0.1234,0.1886,0.1573",47044,1993
1,0.0305,0.907,"0.2075,0.2847,0.1904,0.1604",1923,1992
3,0.1268,0.929,"0.148,0.1638,0.2381,0.223|0.4156,0.1738,0.2058,0.1998|0.6753,0.1957,0.1853,0.1761",525460,2018
0,0.0,0.0,,22970,2012
2,0.056,0.942,"0.2183,0.071,0.188,0.1738|0.6463,0.0889,0.1568,0.1487",945657,2022
1,0.0071,0.801,"0.6435,0.6066,0.0879,0.081",431259,2017
1,0.0715,0.747,"0.4354,0.191,0.2649,0.2699",807356,2022
1,0.4219,0.664,"0.3787,0.0863,0.6235,0.6767",793967,2021
1,0.0057,0.867,"0.294,0.1776,0.0825,0.0685",10166,1990
2,0.1059,0.817,"0.4281,0.2289,0.2598,0.2115|0.1556,0.175,0.2444,0.2087",10586,1996
1,0.2473,0.66,"0.1355,0.5962,0.5808,0.4258",2667,1999
0,0.0,0.0,,70112,2010
0,0.0,0.0,,629015,2022
2,0.094,0.856,"0.6569,0.1687,0.25,0.2069|0.3698,0.6012,0.2385,0.1772",519337,2018
0,0.0,0.0,,94365,2015
1,0.0021,0.824,"0.4549,0.5676,0.0504,0.0422",579,1978
5,0.0732,0.896,"0.4411,0.1764,0.1489,0.1296|0.1418,0.1948,0.1364,0.1215|0.7742,0.1662,0.1267,0.1143|0.6573,0.1032,0.1197,0.1019|0.2848,0.0765,0.1114,0.0958",1551,1990
0,0.0,0.0,,787009,2021
0,0.0,0.0,,896448,2022
1,0.3554,0.912,"0.2885,0.1699,0.5731,0.6202",623034,2018
0,0.0,0.0,,11449,1979
0,0.0,0.0,,362826,2018
5,0.1022,0.907,"0.0005,0.2975,0.187,0.2622|0.8457,0.3373,0.1614,0.2066|0.2595,0.3761,0.1004,0.0934|0.6651,0.3807,0.0841,0.08|0.6281,0.3946,0.0614,0.0606",458305,2019
0,0.0,0.0,,25239,1978
2,0.1906,0.924,"0.5686,0.2983,0.3409,0.289|0.1231,0.2851,0.3183,0.2894",816952,2022
3,0.0115,0.894,"0.3597,0.2692,0.079,0.068|0.1384,0.3073,0.0617,0.057|0.616,0.3228,0.0565,0.0466",25769,2009
1,0.5164,0.947,"0.0812,0.0496,0.7769,0.6647",502416,2019
1,0.5524,0.859,"0.0797,0.0559,0.781,0.7073",526051,2018
1,0.0063,0.89,"0.468,0.5764,0.0859,0.0733",288158,2014
0,0.0,0.0,,839436,2021
3,0.0154,0.927,"0.465,0.1861,0.0794,0.0694|0.2813,0.2141,0.0787,0.0652|0.6066,0.2258,0.0766,0.0621",747,2004
1,0.0068,0.904,"0.4287,0.2882,0.0839,0.0809",9678,2000
1,0.3849,0.884,"0.0089,0.4421,0.7445,0.517",10242,1962
0,0.0,0.0,,801071,2022
0,0.0,0.0,,391262,2016
0,0.0,0.0,,41439,2010
1,0.6037,0.912,"0.0327,0.0333,0.8736,0.6911",48171,2011
1,0.4061,0.883,"0.1593,0.2024,0.7196,0.5644",157547,2013
0,0.0,0.0,,9426,1986
0,0.0,0.0,,839440,2021
0,0.0,0.0,,333674,2016
0,0.0,0.0,,21407,2009
1,0.0337,0.897,"0.3719,0.4183,0.1977,0.1706",11186,1990
1,0.0179,0.911,"0.4699,0.1107,0.1394,0.1286",452507,2017
2,0.0028,0.882,"0.095,0.6178,0.0414,0.0364|0.2855,0.6387,0.0392,0.0337",496704,2018
0,0.0,0.0,,353345,2015
0,0.0,0.0,,44040,2010
0,0.0,0.0,,292280,2017
1,0.0242,0.757,"0.7023,0.1326,0.1672,0.1449",424121,2018
2,0.4182,0.889,"0.1021,0.1225,0.534,0.5064|0.4539,0.2265,0.3642,0.4058",3021,2007
0,0.0,0.0,,17692,1983
0,0.0,0.0,,24150,2009
0,0.0,0.0,,25983,2009
1,0.1646,0.926,"-0.0067,0.1267,0.3936,0.4183",1933,2001
2,0.4945,0.929,"0.1558,0.0606,0.7094,0.6403|0.415,0.8452,0.2376,0.1694",723072,2020
0,0.0,0.0,,9406,1997
0,0.0,0.0,,524251,2019
0,0.0,0.0,,717728,2022
0,0.0,0.0,,65055,2011
2,0.5818,0.926,"0.0138,0.0689,0.7853,0.7292|0.1408,0.5802,0.1037,0.0879",18392,1995
2,0.1328,0.888,"0.4707,0.5368,0.303,0.2658|0.2131,0.5952,0.219,0.2387",10906,1992
0,0.0,0.0,,431075,2019
1,0.0425,0.777,"0.4168,0.3063,0.2179,0.1948",63700,2010
1,0.0157,0.863,"0.4025,0.5813,0.1377,0.1138",40012,2006
0,0.0,0.0,,28739,2009
0,0.0,0.0,,523931,2018
0,0.0,0.0,,542224,2020
2,0.4043,0.86,"-0.0138,0.0459,0.4462,0.4543|0.404,0.0976,0.5643,0.3573",11249,2004
1,0.3686,0.878,"0.4184,0.1589,0.5815,0.6338",34004,2001
1,0.0205,0.89,"0.4056,0.1225,0.1516,0.1356",927341,2022
6,0.0557,0.927,"0.8327,0.2639,0.1511,0.1417|0.0002,0.2715,0.1021,0.111|0.6686,0.3241,0.1027,0.088|0.1856,0.3182,0.0921,0.0754|0.2797,0.3804,0.0793,0.0676|0.4679,0.314,0.0436,0.037",95993,2003
1,0.453,0.788,"0.1274,-0.0004,0.7509,0.6032",505058,2018
0,0.0,0.0,,259072,2014
0,0.0,0.0,,564082,2018
0,0.0,0.0,,298312,2015
1,0.0075,0.915,"0.3311,0.1719,0.0948,0.0788",19994,2009
0,0.0,0.0,,485415,2017
0,0.0,0.0,,343674,2017
2,0.0056,0.866,"0.7016,0.3603,0.0611,0.0514|0.4733,0.5909,0.0532,0.047",585216,2021
1,0.0265,0.869,"0.4166,0.2768,0.1825,0.1454",518158,2018
1,0.0045,0.638,"0.4184,0.0998,0.0717,0.0628",18011,2000
1,0.3139,0.931,"0.2058,0.1214,0.5734,0.5475",768447,2022
1,0.0046,0.901,"0.3929,0.1942,0.0718,0.0645",49730,2011
3,0.3231,0.915,"-0.0117,0.0719,0.5472,0.5534|0.2536,0.769,0.1188,0.1063|0.1275,0.711,0.0945,0.0809",777620,2021
4,0.0685,0.902,"0.4242,0.3933,0.1544,0.1302|0.807,0.4404,0.1508,0.1323|0.6357,0.3315,0.1523,0.1192|0.2145,0.461,0.1105,0.0933",517764,2019
