id,year,title
17,2005,The Dark
83,2004,Open Water
136,1932,Freaks
138,1931,Dracula
170,2002,28 Days Later
176,2004,Saw
214,2006,Saw III
215,2005,Saw II
229,1935,Bride of Frankenstein
234,1920,The Cabinet of Dr. Caligari
244,1933,King Kong
326,2006,Snakes on a Plane
348,1979,Alien
377,1984,A Nightmare on Elm Street
395,2004,AVP: Alien vs. Predator
440,2007,Aliens vs Predator: Requiem
467,2001,The Hole
523,2006,Requiem
539,1960,Psycho
561,2005,Constantine
565,2002,The Ring
571,1963,The Birds
572,2005,Next Door
573,1972,Frenzy
578,1975,Jaws
579,1978,Jaws 2
580,1987,Jaws: The Revenge
588,2006,Silent Hill
609,1982,Poltergeist
622,1999,The Ninth Gate
628,1994,Interview with the Vampire
635,1987,Angel Heart
653,1922,Nosferatu
663,2007,Saw IV
694,1980,The Shining
747,2004,Shaun of the Dead
755,1996,From Dusk Till Dawn
763,1992,Braindead
764,1981,The Evil Dead
765,1987,Evil Dead II
766,1992,Army of Darkness
768,2001,From Hell
779,1932,Vampyr
790,1980,The Fog
791,2005,The Fog
793,1986,Blue Velvet
794,1976,The Omen
805,1968,Rosemary's Baby
806,2006,The Omen
814,1981,An American Werewolf in London
827,1955,Diabolique
831,1955,This Island Earth
837,1983,Videodrome
919,2000,Blood: The Last Vampire
923,1978,Dawn of the Dead
924,2004,Dawn of the Dead
927,1984,Gremlins
928,1990,Gremlins 2: The New Batch
931,1973,Don't Look Now
948,1978,Halloween
964,1925,The Phantom of the Opera
985,1977,Eraserhead
1091,1982,The Thing
1248,2007,Hannibal Rising
1255,2006,The Host
1256,2006,Dead in 3 days
1272,2007,Sunshine
1423,2006,Flying Saucer Rock 'N' Roll
1433,2001,The Devil's Backbone
1448,1998,The Wisdom of Crocodiles
1450,2009,Blood: The Last Vampire
1483,1991,Begotten
1547,1987,The Lost Boys
1551,1990,Flatliners
1560,1990,Singapore Sling
1562,2007,28 Weeks Later
1569,1999,Pig
1576,2002,Resident Evil
1577,2004,Resident Evil: Apocalypse
1596,2006,Population 436
1644,1993,The Vanishing
1663,1963,The Squeaker
1678,1954,Godzilla
1679,1955,Godzilla Raids Again
1683,2007,The Reaping
1690,2005,Hostel
1691,2007,Hostel: Part II
1693,2003,Monster Man
1694,1985,Re-Animator
1696,2005,The Devil's Rejects
1698,2000,Anatomy
1699,2003,Anatomy 2
1702,1994,Death Machine
1730,2006,Inland Empire
1813,1997,The Devil's Advocate
1836,2002,In My Skin
1839,1999,Alias
1842,1972,The Legend of Boggy Creek
1872,2007,Rise: Blood Hunter
1876,2006,The Penalty King
1877,1992,Doctor Mordrid
1923,1992,Twin Peaks: Fire Walk with Me
1933,2001,The Others
1946,1999,eXistenZ
1961,2007,My Name Is Bruce
1970,2004,The Grudge
1975,2006,The Grudge 2
1977,2009,The Grudge 3
1992,2007,Planet Terror
1994,1932,The Most Dangerous Game
2046,2000,The Gift
2082,2007,Halloween
2093,1988,Amsterdamned
2097,1967,"Gappa, the Triphibian Monster"
2104,2001,Requiem
2138,1995,Berlin Snuff
2151,2005,Man with the Screaming Brain
2154,1990,The Dark Side of The Moon
2182,1978,Attack of the Killer Tomatoes!
2186,1978,Within the Woods
2199,1989,My Mom's a Werewolf
2212,1997,Nightwatch
2269,2006,Day Watch
2291,1990,Jacob's Ladder
2386,1981,The Collector of Brains
2637,2002,The Mothman Prophecies
2654,1995,In the Mouth of Madness
2655,2000,What Lies Beneath
2662,2003,House of 1000 Corpses
2667,1999,The Blair Witch Project
2668,1999,Sleepy Hollow
2671,1998,Ringu
2675,2002,Signs
2929,1910,Frankenstein
2956,1916,The Artificial Man
2957,1916,The Mysterious Book
2958,1916,The Love Tragedy of the Homunculus
2961,1917,The Destruction of Mankind
2962,1918,The End of the Homunculus
2967,1918,Alraune
2968,1918,Sacrifice
2969,1928,A Daughter Of Destiny
2970,1930,Alraune
2971,1952,Alraune
2972,1920,The Golem: How He Came into the World
2974,1924,The Hands of Orlac
2981,1925,The Lost World
2989,1981,Roar
2992,1998,Appetite
2993,1969,One on Top of the Other
3006,1908,Dr. Jekyll and Mr. Hyde
3015,1920,The Head of Janus
3016,1920,Dr. Jekyll and Mr. Hyde
3017,1920,Dr. Jekyll and Mr. Hyde
3019,1931,Dr. Jekyll and Mr. Hyde
3021,2007,1408
3022,1941,Dr. Jekyll and Mr. Hyde
3023,1953,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde
3024,1968,The Strange Case of Dr. Jekyll and Mr. Hyde
3025,1960,The Two Faces of Dr. Jekyll
3026,1959,The Doctor's Horrible Experiment
3027,1973,Dr. Jekyll and Mr. Hyde
3028,1982,Jekyll and Hyde... Together Again
3030,1977,End of the World
3031,1932,Island of Lost Souls
3035,1931,Frankenstein
3036,1994,Mary Shelley's Frankenstein
3037,2007,Yella
3042,1993,Frankenstein
3043,1973,Flesh for Frankenstein
3051,1966,Eye of the Devil
3053,1967,The Fearless Vampire Killers
3056,2004,Frankenstein
3066,1981,Monster of Frankenstein
3067,1984,Frankenstein
3068,1973,Frankenstein
3069,2005,Frankenstein Reborn
3070,1986,Frankenstein
3072,1990,Frankenstein Unbound
3073,1948,Bud Abbott and Lou Costello Meet Frankenstein
3074,1942,The Ghost of Frankenstein
3075,1969,Frankenstein Must Be Destroyed
3076,1943,Frankenstein Meets the Wolf Man
3077,1939,Son of Frankenstein
3079,1957,The Curse of Frankenstein
3103,1944,House of Frankenstein
3104,1967,Frankenstein Created Woman
3105,1974,Frankenstein: The True Story
3117,1974,Frankenstein and the Monster from Hell
3118,1984,Frankenstein 90
3119,1996,Frankenstein and Me
3122,1971,Lady Frankenstein
3124,1964,The Evil of Frankenstein
3125,1971,Dracula vs. Frankenstein
3127,1958,The Revenge of Frankenstein
3144,1999,Rock 'n' Roll Frankenstein
3145,1970,The Horror of Frankenstein
3146,1966,The War of the Gargantuas
3147,1999,The Frankenstein Files: How Hollywood Made a Monster
3149,1966,Jesse James Meets Frankenstein's Daughter
3151,1988,Frankenstein General Hospital
3152,2000,Big Monster on Campus
3159,1974,Frankenstein's Castle of Freaks
3160,1965,Frankenstein Conquers the World
3162,1973,Blackenstein
3163,1973,The Erotic Rites of Frankenstein
3164,1958,Frankenstein 1970
3165,1981,Frankenstein Island
3166,1965,Frankenstein Meets the Space Monster
3199,1972,"Dracula, Prisoner of Frankenstein"
3201,1986,The Vindicator
3202,1977,Terror of Frankenstein
3203,1958,Tales of Frankenstein
3204,1999,She's Alive! Creating the Bride of Frankenstein
3205,1972,Santo vs. Frankenstein's Daughter
3206,2005,Frankenstein vs. the Creature from Blood Cove
3208,1957,I Was a Teenage Frankenstein
3209,1991,No Telling
3210,1966,The Projected Man
3214,1974,Santo and Blue Demon vs. Dr. Frankenstein
3215,2002,La Sangre de Frankenstein
3216,1970,Assignment Terror
3217,1995,Monster Mash: The Movie
3218,2000,Mistress Frankenstein
3290,1998,Lust for Frankenstein
3305,1991,Frankenstein: A Cinematic Scrapbook
3306,1972,Frankenstein '80
3345,1970,Dr. Frankenstein on Campus
3346,1962,"Frankenstein, the Vampire and Company"
3347,1975,Frankenstein: Italian Style
3349,2000,Frankenstein & the Werewolf Reborn!
3350,1998,Frankenstein Reborn!
3402,1971,Marta
3409,1971,The Horrible Sexy Vampire
3410,1975,My Friend Frankenstein
3412,1991,Return from Death: Frankenstein 2000
3413,1960,"Orlak, the Hell of Frankenstein"
3416,1920,Il Mostro di Frankenstein
3417,1974,Frankenstein: A Love Story
3477,1974,The Infernal Trio
3481,1965,The Face of Fu Manchu
3483,1968,The Blood of Fu Manchu
3484,1932,The Mask of Fu Manchu
3485,1969,The Castle of Fu Manchu
3486,1980,The Fiendish Plot of Dr. Fu Manchu
3488,1943,Drums of Fu Manchu
3490,1940,Drums of Fu Manchu
3511,2008,The Broken
3560,1979,Ring of Darkness
3561,1978,Obscene Desire
3574,1932,Doctor X
3575,1939,The Return of Doctor X
3579,2002,Shadow Realm
3581,1972,Death Line
3593,1940,Dr. Cyclops
3597,1997,I Know What You Did Last Summer
3600,1998,I Still Know What You Did Last Summer
3602,2006,I'll Always Know What You Did Last Summer
3603,2007,Black Sheep
3699,1972,Seven Blood-Stained Orchids
3700,1973,Violent Blood Bath
3763,1964,Onibaba
3980,1986,Critters
4229,1993,The Scary Movie
4231,2001,The Erotic Ghost
4232,1996,Scream
4233,1997,Scream 2
4234,2000,Scream 3
4237,2004,Freak Out
4238,2002,The Erotic Mirror
4240,1999,Titanic 2000
4241,2001,Visitor Q
4242,1991,Scary Movie
4283,2007,Primeval
4284,2005,Sasquatch Hunters
4288,1983,The Final Terror
4289,2004,Dinocroc
4290,2007,Supergator
4325,1975,Parapsycho: Spectrum of Fear
4337,1994,The Birds II: Land's End
4365,1987,Munchies
4368,2003,Dark Wolf
4439,2007,Goy
4443,1974,Shadowman
4457,1988,Witchery
4488,1980,Friday the 13th
4494,1980,Rapture
4513,2007,30 Days of Night
4552,2003,A Tale of Two Sisters
4567,1970,The Females
4627,2008,Krabat
4722,1993,Body Snatchers
4858,2007,The Invasion
4879,1965,Ten Little Indians
4883,1974,And Then There Were None
4961,1997,Mimic
4970,2003,Gothika
5060,1966,Carry On Screaming
5067,1962,The Burning Court
5072,2006,Severance
5161,1987,Blood of the Undead: The Unwanted
5237,1992,Dust Devil
5247,2000,Mercy
5333,1989,Apartment Zero
5336,1976,"Salò, or the 120 Days of Sodom"
5421,1981,Monster Hunter
5424,1980,Anthropophagous
5425,1979,Beyond the Darkness
