id,imdb_id,title,runtime_before,runtime_after,titleType,status
136,tt0022913,Freaks,0.0,64,movie,ok
138,tt0021814,Dracula,0.0,74,movie,ok
229,tt0026138,Bride of Frankenstein,0.0,75,movie,ok
234,tt0010323,The Cabinet of Dr. Caligari,0.0,67,movie,ok
244,tt0024216,King Kong,0.0,100,movie,ok
653,tt0013442,Nosferatu,0.0,95,movie,ok
779,tt0023649,Vampyr,0.0,75,movie,ok
964,tt0016220,The Phantom of the Opera,0.0,93,movie,ok
1994,tt0023238,The Most Dangerous Game,0.0,63,movie,ok
2675,tt0286106,Signs,0.0,106,movie,ok
2929,tt0001223,Frankenstein,0.0,16,short,ok
2957,tt0130001,The Mysterious Book,0.0,75,movie,ok
2961,tt0130004,The Destruction of Mankind,0.0,52,movie,ok
2969,tt0017621,A Daughter Of Destiny,0.0,108,movie,ok
2970,tt0020635,Alraune,0.0,103,movie,ok
2972,tt0011237,The Golem: How He Came Into the World,0.0,91,movie,ok
2974,tt0015202,The Hands of Orlac,0.0,92,movie,ok
2981,tt0016039,The Lost World,0.0,110,movie,ok
2989,tt0083001,Roar,0.0,95,movie,ok
3006,tt0126875,Dr. Jekyll and Mr. Hyde,0.0,16,short,ok
3015,tt0011348,The Head of Janus,0.0,107,movie,ok
3016,tt0011130,Dr. Jekyll and Mr. Hyde,0.0,69,movie,ok
3017,tt0011131,Dr. Jekyll and Mr. Hyde,0.0,40,short,ok
3019,tt0022835,Dr. Jekyll and Mr. Hyde,0.0,98,movie,ok
3022,tt0033553,Dr. Jekyll and Mr. Hyde,0.0,113,movie,ok
3024,tt0062908,The Strange Case of Dr. Jekyll and Mr. Hyde,0.0,120,tvMovie,ok
3030,tt0075990,End of the World,0.0,86,movie,ok
3031,tt0024188,Island of Lost Souls,0.0,70,movie,ok
3035,tt0021884,Frankenstein,0.0,70,movie,ok
3073,tt0040068,Bud Abbott and Lou Costello Meet Frankenstein,0.0,83,movie,ok
3074,tt0034786,The Ghost of Frankenstein,0.0,67,movie,ok
3076,tt0035899,Frankenstein Meets the Wolf Man,0.0,74,movie,ok
3077,tt0031951,Son of Frankenstein,0.0,99,movie,ok
3103,tt0036931,House of Frankenstein,0.0,71,movie,ok
3119,tt0116356,Frankenstein and Me,0.0,91,movie,ok
3305,tt0150633,Frankenstein: A Cinematic Scrapbook,0.0,60,movie,ok
3416,tt0011481,Il Mostro di Frankenstein,0.0,39,short,ok
3484,tt0023194,The Mask of Fu Manchu,0.0,69,movie,ok
3488,tt0035828,Drums of Fu Manchu,0.0,69,movie,ok
3490,tt0032420,Drums of Fu Manchu,0.0,269,movie,ok
3574,tt0022827,Doctor X,0.0,76,movie,ok
3575,tt0031851,The Return of Doctor X,0.0,63,movie,ok
3593,tt0032412,Dr. Cyclops,0.0,77,movie,ok
4858,tt0427392,The Invasion,0.0,99,movie,ok
4879,tt0061075,Ten Little Indians,0.0,91,movie,ok
4883,tt0072263,And Then There Were None,0.0,98,movie,ok
5247,tt0188055,Mercy,0.0,117,movie,ok
5470,tt0120604,Beowulf,0.0,95,movie,ok
5719,tt0059477,Mudhoney!,0.0,92,movie,ok
6123,tt0011676,Desire,0.0,59,movie,ok
6793,tt0012651,The Haunted Castle,0.0,69,movie,ok
6974,tt0052564,The Angry Red Planet,0.0,83,movie,ok
7178,tt2616454,Deadly Obsession,0.0,90,movie,ok
7181,tt1094588,Dusk,0.0,99,movie,ok
7866,tt0493126,Evil,0.0,,short,basics_no_runtime
8090,tt0880578,Untraceable,0.0,101,movie,ok
8316,tt0496634,The Countess,0.0,98,movie,ok
10728,tt0016847,Faust,0.0,107,movie,ok
10730,tt0074751,King Kong,0.0,134,movie,ok
10787,tt0024184,The Invisible Man,0.0,71,movie,ok
11508,tt0146402,Addams Family Reunion,0.0,91,tvMovie,ok
13008,tt0802948,An American Crime,0.0,98,movie,ok
13465,tt0041094,The Adventures of Ichabod and Mr. Toad,0.0,68,movie,ok
13581,tt0037635,Dead of Night,0.0,95,movie,ok
13666,tt0034398,The Wolf Man,0.0,70,movie,ok
13784,tt0032258,Black Friday,0.0,70,movie,ok
13945,tt0084749,The Sword and the Sorcerer,0.0,99,movie,ok
14604,tt0033723,Hold That Ghost,0.0,86,movie,ok
14605,tt0032520,The Ghost Breakers,0.0,85,movie,ok
15182,tt0906326,Just Buried,0.0,94,movie,ok
15849,tt0023245,The Mummy,0.0,73,movie,ok
15855,tt0036261,Phantom of the Opera,0.0,92,movie,ok
16160,tt1224436,Alive or Dead,0.0,83,movie,ok
16207,tt0783501,Dark Honeymoon,0.0,89,video,ok
16373,tt0037415,The Uninvited,0.0,99,movie,ok
16431,tt0391044,Dark Heaven,0.0,87,movie,ok
16559,tt0037988,The Picture of Dorian Gray,0.0,110,movie,ok
16591,tt0019975,Hell's Bells,0.0,6,short,ok
16763,tt1140941,Joy Ride 2: Dead Ahead,0.0,91,video,ok
17088,tt0396483,Banned from Television,0.0,54,video,ok
17907,tt0026912,The Raven,0.0,61,movie,ok
18100,tt0034681,Dr. Renault's Secret,0.0,58,movie,ok
18467,tt0491162,Spiral,0.0,90,movie,ok
18851,tt0031143,The Cat and the Canary,0.0,72,movie,ok
18910,tt0081237,The Ninth Configuration,0.0,118,movie,ok
18987,tt0014142,The Hunchback of Notre Dame,0.0,133,movie,ok
19383,tt0063671,Targets,0.0,90,movie,ok
19544,tt0416267,Deadly Visions,0.0,90,tvMovie,ok
19854,tt0378804,State's Evidence,0.0,106,movie,ok
20608,tt0130184,Pervirella,0.0,92,movie,ok
20620,tt0060955,Seconds,0.0,106,movie,ok
20650,tt0001032,The Sealed Room,0.0,11,short,ok
20695,tt0390450,Blessed,0.0,98,movie,ok
20945,tt0036341,The Seventh Victim,0.0,71,movie,ok
22440,tt0027545,Dracula's Daughter,0.0,71,movie,ok
22543,tt0057997,Dead Ringer,0.0,116,movie,ok
22689,tt0024554,A Shriek in the Night,0.0,66,movie,ok
22741,tt0034521,Black Dragons,0.0,64,movie,ok
23014,tt0033760,Invisible Ghost,0.0,64,movie,ok
23104,tt0033787,King of the Zombies,0.0,67,movie,ok
23122,tt0025465,Maniac,0.0,51,movie,ok
23281,tt0037151,One Body Too Many,0.0,75,movie,ok
23389,tt0028174,Revolt of the Zombies,0.0,65,movie,ok
23622,tt0039800,Scared to Death,0.0,65,movie,ok
23985,tt0214605,Cremaster 2,0.0,79,movie,ok
24094,tt1084733,Necessary Evil,0.0,87,movie,ok
24106,tt0024894,The Black Cat,0.0,65,movie,ok
24132,tt1191114,The Gates of Hell,0.0,88,movie,ok
24212,tt0046907,Devil Girl from Mars,0.0,77,movie,ok
24246,tt1104834,Basement Jack,0.0,93,video,ok
24498,tt0075945,A Distant Thunder,0.0,76,movie,ok
24799,tt1266121,Wolvesbayne,0.0,92,tvMovie,ok
24862,tt0099313,Crash and Burn,0.0,85,video,ok
25508,tt0034587,Cat People,0.0,73,movie,ok
25625,tt0067454,Multiple Maniacs,0.0,96,movie,ok
25874,tt0064473,The Illustrated Man,0.0,103,movie,ok
26162,tt0020668,The Bat Whispers,0.0,84,movie,ok
26472,tt1063338,Poker Run,0.0,97,movie,ok
26860,tt0023694,White Zombie,0.0,69,movie,ok
26921,tt0026759,The Mystery of the Mary Celeste,0.0,62,movie,ok
26922,tt0034613,The Corpse Vanishes,0.0,64,movie,ok
26923,tt0032245,Before I Hang,0.0,62,movie,ok
26924,tt0032753,The Man with Nine Lives,0.0,74,movie,ok
26925,tt0031614,The Man They Could Not Hang,0.0,64,movie,ok
27003,tt0026123,The Black Room,0.0,68,movie,ok
27115,tt0028478,The Walking Dead,0.0,66,movie,ok
27118,tt0031448,The Hound of the Baskervilles,0.0,80,movie,ok
27130,tt0036027,I Walked with a Zombie,0.0,69,movie,ok
27144,tt0031208,The Human Monster,0.0,73,movie,ok
27226,tt0489019,Dead and Gone,0.0,85,movie,ok
27227,tt0441741,The Cabinet of Dr. Caligari,0.0,76,movie,ok
27452,tt0038975,The Spiral Staircase,0.0,83,movie,ok
27500,tt0020004,Seven Footprints to Satan,0.0,60,movie,ok
27501,tt0016629,The Bat,0.0,86,movie,ok
27502,tt0016123,The Monster,0.0,86,movie,ok
27503,tt0018528,The Unknown,0.0,68,movie,ok
27508,tt0012949,A Blind Bargain,0.0,57,movie,ok
27512,tt0014602,While Paris Sleeps,0.0,60,movie,ok
27513,tt0015504,The Wolf Man,0.0,60,movie,ok
27517,tt0019130,The Man Who Laughs,0.0,110,movie,ok
27519,tt0017438,The Student of Prague,0.0,110,movie,ok
27522,tt0014586,Waxworks,0.0,107,movie,ok
27529,tt0283302,Deadly Memories,0.0,106,movie,ok
27541,tt0472171,Red Lips: Eat the Living,0.0,,video,basics_no_runtime
27603,tt1028525,Bikini Bloodbath: Car Wash,0.0,71,video,ok
27617,tt1086382,Splatter Disco,0.0,87,video,ok
27649,tt0100503,Robot Ninja,0.0,82,movie,ok
27657,tt0322282,Final Examination,0.0,98,video,ok
27685,tt0267253,Time Enough: The Alien Conspiracy,0.0,96,video,ok
27687,tt0388091,GoreGoyles: First Cut,0.0,90,video,ok
27694,tt27048394,Female Mercenaries 2: The Mad Doctor of Zombie Island!,0.0,80,movie,ok
27717,tt0055294,The Phantom Planet,0.0,82,movie,ok
27731,tt0267288,B-Witched,0.0,,video,basics_no_runtime
27755,tt0336805,Maniacal,0.0,79,video,ok
27782,tt0345928,Silk Stocking Strangler,0.0,53,video,ok
27785,tt0441034,Sinful,0.0,73,video,ok
27789,tt1052047,Splatter Movie,0.0,89,video,ok
27796,tt0098399,Stripped to Kill 2: Live Girls,0.0,85,movie,ok
27809,tt0291560,Web of Darkness,0.0,85,video,ok
27836,tt0094070,Summer Camp Nightmare,0.0,89,movie,ok
27848,tt0439294,Shock-O-Rama,0.0,88,video,ok
27855,tt0356561,Duck! The Carbine High Massacre,0.0,101,video,ok
27856,tt1251728,Day of the Ax,0.0,75,video,ok
27918,tt0027800,The Invisible Ray,0.0,80,movie,ok
27941,tt1107397,Lockjaw: Rise of the Kulev Serpent,0.0,76,video,ok
