id,text_x,text_top,text_w,text_h,ocr,score
1091,0.0151,0.7287,0.9727,0.2423,THING,1.6041
9902,0.2344,0.025,0.7656,0.2852,VRONG TRN,0.5413
7340,0.2081,0.6586,0.6131,0.1644,CARRIE',1.0608
9552,0.097,0.756,0.8002,0.1215,THE EXORCIST,1.3233
10331,0.173,0.1245,0.7154,0.1566,NIGHI LIANG DEAD,0.4576
948,0.0005,0.0094,0.9995,0.1449,HALLOWEEN,1.8669
694,0.0878,0.4289,0.8331,0.2826,SHINING,0.6638
763,0.018,0.7034,0.9786,0.2657,BRANDEAD,3.1041
4232,0.097,0.8243,0.8032,0.141,SCREAM,1.1819
814,0.2022,0.6781,0.7593,0.1078,ANAMERICAN WEREWOLF IN LONDON,0.2961
539,0.0,0.1225,0.6779,0.2345,[detect] Psycho,2.6686
578,0.0823,0.0289,0.8499,0.2248,JAWS,1.8113
645900,0.132,0.8104,0.7505,0.1757,JXS JAWS,1.1899
10885,0.1145,0.8028,0.7564,0.1332,SHUTTER,1.1079
82990,0.0209,0.7053,0.964,0.0844,PARANORMAL AcTIVITY,0.4334
861057,0.0443,0.0,0.9557,0.2186,SWIM,2.1124
12700,0.0443,0.066,0.9172,0.1254,DONIoN,0.5258
29426,0.1818,0.0562,0.6365,0.2111,SURMVAL DEAD,0.7696
19286,0.0414,0.8067,0.9113,0.1933,Lepredhaun 3,1.4274
611651,0.0765,0.7073,0.9055,0.2638,[detect] Sator,4.1656
532638,0.2812,0.1225,0.4347,0.2794,OPEM OPEN 24 24 HOURSL,0.3052
605804,0.056,0.8243,0.9084,0.141,WRETCHED,1.4753
58431,0.1437,0.7404,0.7359,0.176,PRIDE+PREJUDICE ZQMBIES,0.6093
9725,0.2784,0.2267,0.4748,0.198,TRIDAY TRDAY,0.323
610253,0.0326,0.8613,0.9464,0.0864,HALLOWEEN KILLS,1.1653
532973,0.0268,0.8569,0.9464,0.0866,HELL HOUSE uc II,0.6184
532710,0.018,0.025,0.964,0.141,FIRESTARTER,1.2115
739990,0.1087,0.7131,0.8119,0.1215,NIGHTDOOKS,1.178
226948,0.0385,0.0777,0.9143,0.141,SCARECROW,1.6357
42941,0.0,0.0562,0.9995,0.1546,30 DAySoNJGHt; 30 bHySoF NJGH};,0.8507
71668,0.0092,0.5475,0.9903,0.1566,[detect] Piranha 3DD,4.5418
764,0.2081,0.0445,0.5897,0.3222,"""EVIL DEAD",0.5434
732713,0.1496,0.7326,0.6979,0.1527,EVILeEY],0.8194
320048,0.0385,0.027,0.9113,0.1332,R ATTE R,0.6537
730167,0.2198,0.2726,0.5605,0.0825,[detect] The Reef: Stalked,3.0881
28355,0.0,0.602,1.0,0.2033,CASE 39,1.1958
