id,text_x,text_top,text_w,text_h,ocr,score
1423,0.035,0.0,0.9239,0.2565,Flying Saucer Rock N Roll,1.4476
2675,0.1792,0.5056,0.6796,0.0904,i n S S,0.0662
2929,0.0718,0.695,0.8596,0.276,FRANKENSTEIN 1910 E E,1.3907
2957,0.1269,0.0461,0.7373,0.1522,HOMUNCULUS II.,0.251
2961,0.0503,0.7992,0.9088,0.195,HOMUNCULU$ II.TEIL DIE VERNICHTUNG DER MENSCHHEIT MIT OLAF FÖNSS DECLA REGIE: OT,0.3862
2989,0.0801,0.0,0.8592,0.2883,ROAR,1.5273
3006,-1.0,-1.0,-1.0,-1.0,,0.0
3024,-1.0,-1.0,-1.0,-1.0,,0.0
3030,0.0213,0.6847,0.9787,0.2778,END C WORLD,1.1562
3070,0.1914,0.7337,0.6023,0.2603,THE CBS FESTIVAL OF LIVELY ARTS FOR YOUNG PEOPLE 12:30PM FRANKENSTEIN,0.9338
3119,0.1172,0.6546,0.8828,0.2815,GRENKENSTEIN Only one person,0.9375
4229,0.0146,0.0669,0.9761,0.1056,THE SCARY MOVIE,0.5369
4858,0.1851,0.8532,0.6289,0.1034,THE INVASION,0.3289
4879,0.4448,0.0152,0.4135,0.2634,TEN LITTLE,0.5956
4883,0.225,0.0206,0.5392,0.1752,TEN LITTLE INDIANS®,0.4219
5161,-1.0,-1.0,-1.0,-1.0,,0.0
5247,0.0637,0.0305,0.8219,0.1683,MERCY,0.7822
5470,0.1109,0.8291,0.7851,0.0969,BEOWULF,0.3795
5719,0.0,0.0397,0.9514,0.2785,MUDHOMEN,0.6268
6974,0.0152,0.0512,0.9848,0.2594,THE ANGRY REDPIANET,1.2929
7181,0.0767,0.8456,0.8457,0.143,A FOGGY NOTIONS UNLIMITED PRODUCTION 'DUSK' LAURA BAILEY BRUCE DUBOSE WRITTEN BY,0.5861
7866,0.1177,0.2588,0.7675,0.108,Faustrecht,0.0635
8090,0.0405,0.8838,0.9171,0.0781,UNTRACEABLE,0.3274
8316,0.0513,0.6931,0.8916,0.1418,THE COUNTESS,0.7045
10730,0.0,0.8529,0.9296,0.1362,King Kong SU,0.4969
11508,0.0133,0.0,0.9705,0.2384,Addams FamilyRevisor,0.8136
13008,0.1108,0.6902,0.7795,0.2417,An American Crime,1.1258
13566,0.2288,0.4501,0.618,0.2811,MASSACRE,0.2945
13568,0.0,0.0244,1.0,0.1904,SLEEPOVER NIGHTMARE,1.1525
