id,title,year,error,text_x,text_top,text_w,text_h,ocr,score,match,full_ocr,n_tokens,hit
136,Freaks,1932,,-1.0,-1.0,-1.0,-1.0,FREAKS FREAKS,0.942,1.0,FREAKS,1,0
138,Dracula,1931,,0.0438,0.7457,0.9562,0.2543,DRACULA DRACULA,1.4578,1.0,DRACULA,1,1
170,28 Days Later,2002,,0.5494,0.7696,0.4506,0.2304,DAYS DAYS LATER LATER,0.5896,1.0,"28
DAYS
LATER",3,1
215,Saw II,2005,,0.2155,0.7749,0.7845,0.2251,SALII SALII,0.8676,0.8,SALII,1,1
229,Bride of Frankenstein,1935,,0.0,0.8047,1.0,0.1953,OF OF FRANKENSTEIN FRANKENSTEIN,1.1168,0.95,"The
BRIDE
OF
FRANKENSTEIN",4,1
234,The Cabinet of Dr. Caligari,1920,,-1.0,-1.0,-1.0,-1.0,CALIGAR CALIGAR of of DR . DR .,1.0434,0.9767,"The CABINET of DR.
CALIGAR",6,0
244,King Kong,1933,,0.4127,0.6918,0.5873,0.3082,KONG KONG,1.0333,0.95,"ING
KONG",2,1
348,Alien,1979,,0.0618,0.748,0.9382,0.2507,ALIEN ALIEN,1.3507,1.0,ALIEN,1,1
440,Aliens vs Predator: Requiem,2007,,0.2442,0.8403,0.7558,0.1597,AVP AVP ALIENS REQUIEM VS. PREDATOR ALIENS VS. PREDATOR REQUIEM,0.6645,0.95,"AVP
ALIENS VS. PREDATOR
REQUIEM",5,1
539,Psycho,1960,,-1.0,-1.0,-1.0,-1.0,OHJASO OHJASO,0.8158,0.1667,OHJASO,1,0
580,Jaws: The Revenge,1987,,-1.0,-1.0,-1.0,-1.0,JAWS JAWS,0.8898,1.0,"JAWS
THE REVENGE",3,0
609,Poltergeist,1982,,0.0848,0.6415,0.9152,0.3585,POLTERGEIST POLTERGEIST,1.9555,1.0,POLTERGEIST,1,1
653,Nosferatu,1922,,0.1083,0.853,0.8917,0.147,NOSFERATU NOSFERATU,0.7516,1.0,NOSFERATU,1,1
765,Evil Dead II,1987,,-1.0,-1.0,-1.0,-1.0,FIL FIL DEAD 2 2 DEAD,1.9439,0.95,"FIL
DEAD 2",3,0
766,Army of Darkness,1992,,0.0878,0.8755,0.9122,0.1245,ARMY DARKNESS ARMY DARKNESS,0.612,0.95,ARMY DARKNESS,2,1
