id,runtime
661289,169
800597,100
911926,87
1031141,60
805104,50
267574,144
845692,90
454289,73
1028005,110
466658,135
619290,105
446297,88
30456,83
297548,120
130972,67
638265,60
714358,90
833639,59
256795,100
413708,76
884093,73
459856,71
473544,90
976432,72
386037,90
984225,61
856547,240
918547,75
604487,81
982419,59
249602,93
292227,70
770165,98
680369,94
439943,124
524138,61
973911,75
864844,75
1005559,50
756820,66
923869,64
273422,72
892259,90
459614,93
298347,104
524577,90
571155,86
720667,52
139879,45
246023,80
268948,90
273425,78
276346,300
300591,85
320078,74
330747,87
361193,80
400404,85
418253,90
421112,64
432269,72
448645,81
455484,86
462877,86
469972,65
472896,47
478939,65
478929,70
478953,75
479342,75
479337,68
480002,46
483534,105
484457,119
488078,66
499399,90
505587,120
508234,57
517217,74
520082,83
521487,90
521490,90
530098,100
533000,80
540974,220
552032,83
564729,165
567245,50
567953,120
571116,95
571099,70
574493,90
578177,85
583532,81
583520,65
609245,71
611083,105
621222,95
635040,81
637040,96
640786,103
645828,91
652860,50
665921,70
674259,120
698074,84
707031,84
715486,75
715894,50
718617,89
720959,42
721940,42
729722,52
736189,91
745213,80
751801,65
758772,66
772318,94
774763,45
784147,77
800302,80
803182,148
804392,81
813263,70
813724,75
814686,85
814678,90
817869,107
818072,83
818664,84
819660,73
826135,118
831529,76
837286,91
839647,90
843039,145
845251,67
854114,73
855044,54
861418,60
862789,102
870542,48
876177,96
881219,60
881402,110
883275,120
884826,90
896268,65
897260,56
914572,63
916042,82
930765,80
930308,51
937693,70
963140,122
969005,50
971725,68
973936,60
979094,70
978071,60
981631,65
983825,51
984072,67
985276,63
987102,74
988498,85
999981,96
1009154,75
1016519,140
1022828,74
1025508,90
1032667,92
1031989,90
1173172,65
1026401,89
966661,93
1298828,77
1173194,80
1173196,74
957841,97
1045940,90
1046021,80
1064418,64
1074103,87
1083669,43
1086611,46
1093098,50
1101818,52
1103391,128
1117550,84
1124630,70
1139126,74
1145765,148
1161988,65
1163878,53
1166240,78
1173214,51
1183937,69
1185927,48
1185950,167
1185980,122
1185988,84
1189281,70
1193038,110
1194372,88
1194816,68
1200877,45
1208069,71
1214421,82
1226617,70
1227907,87
1228463,43
1230431,70
1234015,70
1239657,50
1244062,93
1245234,57
1255162,115
1256728,98
1263318,90
1274566,41
1277003,55
1278989,69
1283609,70
1284008,69
1290158,83
1293271,52
1294340,41
1298306,90
1300379,94
1301196,63
1302433,89
1305044,59
1310671,88
1311488,60
1312448,49
1321137,50
1321451,50
1322374,45
1323351,54
1326338,120
1328192,45
1330059,80
1341400,41
1351591,85
1355994,93
1362472,57
1362575,85
1365512,88
1376188,88
1377314,57
1377969,84
1381049,92
1385156,85
1386947,45
1388524,58
1389514,90
1394063,80
1394697,49
1397440,120
1400500,51
1403029,120
1412171,62
1416731,70
1417569,113
1431516,77
1436932,48
1441202,130
1441969,264
1442704,50
1442912,45
1445945,48
1450678,69
1451359,114
1451570,55
1452523,90
1453109,122
1457700,64
1459933,99
1460565,104
1462224,89
1463644,60
1466771,78
1468801,51
1473792,60
1478501,60
1478694,82
1481393,102
1486392,76
1498452,78
1498777,107
1499312,102
1499363,98
1499799,70
1502939,53
1505948,222
1506037,90
1511111,95
1514584,72
1519253,127
1525341,87
1525910,42
1526741,96
1530207,98
1534580,137
1536383,49
1538712,85
1541383,60
1542655,83
1549340,129
1555096,43
1555576,86
1558271,60
1558416,47
1562243,140
1562959,134
1565447,50
1565756,80
1566522,42
1569796,90
1571124,84
1571731,43
1571931,172
1575401,83
1575406,85
1575410,82
1583360,66
1591150,47
1591158,68
1593002,64
1604261,42
1606966,47
1646290,50
1658267,41
1664530,93
1677112,92
1680371,184
1707748,47
1715382,143
1725258,50
1727787,110
1730682,45
1734127,48
1250854,160
1282686,90
1445246,60
1465155,69
1471251,95
1530929,119
1532053,80
1545812,90
1573153,52
1606871,100
1606969,42
1607468,63
1615290,87
1622520,79
1625875,72
1627299,105
1630746,270
1637260,102
1637971,61
1638528,78
1640477,102
1643458,42
1646522,155
1646650,51
1649517,70
1654803,65
1659399,203
1660952,54
1661127,66
1664807,86
1677050,121
1679959,118
1683446,50
1688202,90
1688495,60
1691931,75
1696147,105
1697835,42
1704110,120
1706084,41
1711104,64
1714195,95
1723448,85
1728171,41
1728239,125
1728338,45
1728343,50
1729087,84
1299747,85
1490000,80
1505506,130
1525218,99
1573756,109
1597138,71
1636855,95
1659742,90
1680924,70
1711651,50
1729815,93
27772,86
44954,79
126512,148
136705,54
251721,74
272350,82
272810,48
273675,66
275804,44
279428,96
281114,86
302644,82
354325,59
365537,43
379565,116
418266,70
419279,87
429031,78
444913,80
444972,43
451331,57
452499,71
471177,58
478819,86
479331,80
496865,97
502940,74
531502,59
575514,76
579156,60
594030,77
594094,65
618418,42
643502,85
645510,69
659158,56
669974,44
674895,106
704262,44
708706,55
717859,102
721257,60
728690,52
732550,50
735423,188
742191,94
757360,84
759802,73
766069,46
771820,120
791335,110
802657,66
805748,90
812341,89
822075,69
828192,55
834192,81
842819,60
865008,62
881800,58
882157,73
896662,57
904669,45
934611,96
936852,44
958633,43
973970,50
975026,50
977639,43
982498,99
1006453,95
1012855,64
1017752,93
1027876,77
1029539,90
1034245,44
1035882,55
1037017,110
1037684,63
1038092,75
1038454,41
1040938,47
1042091,47
1042114,94
1042158,80
1042678,55
1047376,122
1050988,100
1052907,73
1054422,90
1055384,81
1061347,104
1069869,72
1071607,90
1078479,60
1078492,90
1089235,64
1098008,80
1100841,111
1100849,57
1106982,55
1109928,77
1113305,58
1113412,73
1115037,77
1117178,60
1125639,105
1138689,60
1144180,88
1144279,65
1150497,65
1151692,44
1151713,73
1152303,59
1152639,60
1158427,78
1164563,70
1166592,83
1167553,57
1167764,100
1169439,87
1170919,74
1172491,66
1172493,63
1173124,80
1173316,42
1183096,90
1186362,41
1187937,42
1188626,53
1189016,115
1195715,48
1205119,89
1206952,108
1213042,43
1214934,44
1215712,60
1220973,59
1223357,50
1223359,72
1226585,113
1228244,61
1236249,89
1239491,96
1239817,75
1247276,76
1253367,62
1256600,58
1258604,118
1259560,46
1259895,89
1262718,60
1265633,73
1272407,100
1277427,75
1278924,52
1281640,117
1287025,49
1293005,80
1300172,100
1309747,83
1315974,42
1316590,111
1317781,43
1320604,46
1327541,101
1328527,44
1339155,103
1339159,101
1354783,47
1365740,140
1369744,60
1373173,63
1374767,104
1384139,60
1384614,80
1390583,47
1392630,50
1398669,55
1398943,89
1399072,152
1402358,42
1417712,69
1428606,55
1429283,94
1429429,70
1431446,41
1435585,45
1435755,90
1436559,96
1437118,115
1439182,72
1439434,60
1439929,46
1440137,101
1446781,79
1447506,60
1455078,44
1455634,51
1461690,55
1463635,60
1465119,176
1467276,44
1472426,57
1480129,60
1480140,60
1509057,60
1510954,58
1517854,63
1518962,76
1537732,97
1540652,51
1545469,120
1548647,55
1549019,100
1549071,60
1551756,57
1554394,51
1554844,91
1560057,91
1562195,57
1575465,60
1578424,42
1592491,93
1608097,44
1613002,73
1613145,59
1616669,41
1620030,54
1632384,94
1639192,50
1645114,110
1646442,61
1649704,50
1649727,50
1650098,50
1650115,50
1650124,50
1655673,104
1655937,180
1657117,65
1659151,364
1661191,42
1662495,86
1663979,97
1669469,61
1669999,80
1676367,55
1680041,75
1680368,999
1681395,81
1687720,57
1688634,79
1693137,43
1701052,45
1703073,180
1706110,88
1707736,150
1711077,41
1716852,88
1722917,50
1735570,120
1199546,80
1255945,86
1520771,91
1544212,81
1650534,85
1680958,75
1696337,86
