id,title,runtime_before,runtime_after,status
27772,"Play Dead, Inc.",0.0,86.0,ok
30479,Always Midnight,0.0,0.0,still_zero
30512,Terror Talk,0.0,0.0,still_zero
70019,Experiments in Terror 2,0.0,0.0,still_zero
83035,Waldile - Der Schlimme Killerhund,0.0,0.0,still_zero
91405,Hantu Dalam Botol Kicap,0.0,75.0,ok
171285,The Toy Box,0.0,0.0,still_zero
190066,Frankenstein's Master,0.0,6.0,ok
198572,Hell Walks the Earth,0.0,86.0,ok
225867,Hold Me Now,0.0,5.0,ok
227739,Drako,0.0,75.0,ok
240665,Tiang Seri,0.0,0.0,still_zero
244158,The Oval Portrait,0.0,18.0,ok
257796,Metalosis Maligna,0.0,8.0,ok
272350,The Gothfather,0.0,82.0,ok
272810,The Pizza Man,0.0,48.0,ok
273422,It Exists,0.0,72.0,ok
273675,A Ripper in Canada: Paranormal Hauntings in the Great White North,0.0,66.0,ok
275804,Goosebumps: Scary House,0.0,44.0,ok
276036,Short Cut Road,0.0,0.0,still_zero
282534,Shock,0.0,0.0,still_zero
287528,The Vampyre Wars,0.0,0.0,still_zero
292227,Night Is the Time for Killing,0.0,70.0,ok
294566,Human Antfarm,0.0,0.0,still_zero
294776,Til Death,0.0,0.0,still_zero
295711,The Border,0.0,0.0,still_zero
301080,101st: A-Company,0.0,0.0,still_zero
301431,Vampire Sunrise,0.0,0.0,still_zero
302644,Blood Effects,0.0,82.0,ok
303204,The Businessman,0.0,65.0,ok
305159,City of Lust,0.0,,not_found
306655,The Resurrections of Clarence Neveldine,0.0,14.0,ok
308128,Grandparents from Outer Space,0.0,31.0,ok
317793,The Alien Conspiracy: Grey Skies,0.0,72.0,ok
320781,Bit Parts,0.0,0.0,still_zero
322170,Beneath a Dead Moon,0.0,0.0,still_zero
325617,Lisa Cook's Deadly Workout,0.0,60.0,ok
328525,Days of the Iguanas,0.0,0.0,still_zero
328526,Death By Tights,0.0,0.0,still_zero
329412,The House Behind the Wall,0.0,0.0,still_zero
330747,Eyewitness Murders: An Experiment in Reality Television,0.0,87.0,ok
332160,Big Bad Wolves,0.0,13.0,ok
334003,Blurred Lines,0.0,91.0,ok
344161,Frankenstein,0.0,30.0,ok
344519,The Adventures of the Spirit,0.0,18.0,ok
346560,Legend of Dark Rider,0.0,0.0,still_zero
349057,Blood Money,0.0,87.0,ok
354325,Govan Ghost Story,0.0,59.0,ok
361193,Death Reel,0.0,80.0,ok
362702,The Skulls of Terror Return,0.0,90.0,ok
374114,Ada Apa Dekat Bus Stop,0.0,0.0,still_zero
379565,Kids And The Occult,0.0,116.0,ok
383327,Chloroformed And Cloned Co-Ed,0.0,63.0,ok
