id,axis,title,year,register
861057,0.010509685,Swim,2021,decorative
19286,0.02294539,Leprechaun 3,1995,ornate
9902,-0.00023081899,Wrong Turn,2003,clean
605804,0.007798478,The Wretched,2020,standard
58431,0.0060677826,Pride and Prejudice and Zombies,2016,standard
739990,0.010076597,Nightbooks,2021,decorative
42941,0.0018248856,30 Days of Night: Dark Days,2010,standard
732713,-0.008197188,Evil Eye,2020,minimal
320048,-0.009771869,Ratter,2015,minimal
28355,0.00882332,Case 39,2009,decorative
47044,0.013055041,The Secret Life: Jeffrey Dahmer,1993,decorative
1923,0.009347528,Twin Peaks: Fire Walk with Me,1992,decorative
525460,-0.005221486,Welcome Home,2018,clean
22970,0.0037377924,The Cabin in the Woods,2012,standard
945657,0.010727972,Titanic 666,2022,decorative
431259,0.018827707,Escape Room,2017,ornate
807356,-0.012675777,Watcher,2022,minimal
793967,-0.013984501,Phobias,2021,minimal
10166,0.024970382,The Witches,1990,ornate
10586,0.00041407347,The Ghost and the Darkness,1996,clean
2667,-0.013517022,The Blair Witch Project,1999,minimal
70112,0.011448234,Dahmer vs. Gacy,2010,decorative
629015,0.017297462,Shut In,2022,ornate
519337,0.012203947,Tempus Tormentum,2018,decorative
94365,0.019518435,The Human Centipede 3 (Final Sequence),2015,ornate
579,0.01488471,Jaws 2,1978,decorative
1551,-0.0060860068,Flatliners,1990,clean
787009,0.016301185,Stay Out of the Attic,2021,decorative
896448,0.010848686,Beneath the Surface,2022,decorative
623034,0.01210919,The Haunted,2018,decorative
11449,0.013616517,The Amityville Horror,1979,decorative
362826,-0.0007246733,Wildling,2018,clean
458305,0.008528352,Vivarium,2019,decorative
25239,-0.012554243,I Spit on Your Grave,1978,minimal
816952,-0.001416266,My Best Friend's Exorcism,2022,clean
25769,-0.0007402599,Carriers,2009,clean
502416,0.0004234761,Ma,2019,clean
526051,-0.0066774935,Look Away,2018,minimal
288158,-0.007944554,The Woman in Black 2: Angel of Death,2014,minimal
839436,0.013368443,Dragon Fury,2021,decorative
747,0.009224027,Shaun of the Dead,2004,decorative
9678,-0.0057131797,Little Nicky,2000,clean
10242,-0.013553366,What Ever Happened to Baby Jane?,1962,minimal
801071,-0.0022339523,The Jack in the Box: Awakening,2022,clean
391262,-0.007818803,Curve,2016,minimal
41439,0.011541113,Saw 3D,2010,decorative
48171,-0.0063765943,The Rite,2011,clean
157547,-0.0036101341,Oculus,2013,clean
9426,0.00073835254,The Fly,1986,clean
839440,0.009767219,Dinosaur Hotel,2021,decorative
333674,0.005854696,Intruders,2016,standard
21407,0.0041162223,The Collector,2009,standard
11186,0.0016115904,Child's Play 2,1990,standard
452507,-0.0024174154,1922,2017,clean
496704,0.02289173,Tremors: A Cold Day in Hell,2018,ornate
353345,0.0013827384,The Exorcism of Molly Hartley,2015,clean
44040,-0.0008765459,Devil,2010,clean
292280,0.0051873773,The Bye Bye Man,2017,standard
424121,0.0056847483,Apostle,2018,standard
3021,0.01867941,1408,2007,ornate
17692,0.011074871,Jaws 3-D,1983,decorative
24150,-0.0023323745,Halloween II,2009,clean
25983,0.01305601,The House of the Devil,2009,decorative
1933,-0.006513819,The Others,2001,minimal
723072,-0.02289179,Host,2020,minimal
9406,0.011515871,An American Werewolf in Paris,1997,decorative
524251,-0.016748607,I See You,2019,minimal
717728,0.010843262,Jeepers Creepers: Reborn,2022,decorative
65055,0.0028874427,Shark Night 3D,2011,standard
18392,0.008089423,Embrace of the Vampire,1995,standard
10906,0.0011774749,Pet Sematary II,1992,clean
431075,-0.004713014,Polaroid,2019,clean
63700,-0.009908497,My Babysitter's a Vampire,2010,minimal
40012,0.0026710927,Raising Jeffrey Dahmer,2006,standard
28739,0.008853167,Cabin Fever 2: Spring Fever,2009,decorative
523931,0.008710027,Megalodon,2018,decorative
542224,0.0069408864,Gretel & Hansel,2020,standard
11249,0.022492275,Seed of Chucky,2004,ornate
34004,0.012311026,Children of the Living Dead,2001,decorative
927341,-0.0059002787,Hunting Ava Bravo,2022,clean
95993,0.017365754,Demon Slayer,2003,ornate
505058,-0.009991139,Unfriended: Dark Web,2018,minimal
259072,0.009350538,Wrong Turn 6: Last Resort,2014,decorative
564082,-0.009168878,30 Miles from Nowhere,2018,minimal
298312,0.0026282966,The Visit,2015,standard
19994,0.00624758,Jennifer's Body,2009,standard
485415,-0.0002991557,Day of the Dead: Bloodline,2017,clean
343674,0.009213999,Gerald's Game,2017,decorative
585216,0.011527404,Escape Room: Tournament of Champions,2021,decorative
518158,0.023882091,Leprechaun Returns,2018,ornate
18011,0.015525237,Leprechaun in the Hood,2000,decorative
768447,0.013468459,Motherly,2022,decorative
49730,0.004952848,Red Riding Hood,2011,standard
777620,0.00836876,Caged,2021,standard
517764,0.0118476,The Farm,2019,decorative
254474,0.0015069991,Zombeavers,2014,standard
300665,0.0043962,Leatherface,2017,standard
738542,0.01279445,The Haunting of Margam Castle,2020,decorative
199534,-0.0020710677,Wolf Creek 2,2013,clean
762504,0.00448969,Nope,2022,standard
316154,-0.014176965,The Bad Batch,2017,minimal
11460,0.014717251,Red Eye,2005,decorative
516632,-0.0084932,The Empty Man,2020,minimal
11815,0.0116261095,The Fly,1958,decorative
836225,0.00011575222,The Exorcism of God,2022,clean
753453,0.005832851,V/H/S/94,2021,standard
760161,-0.012441382,Orphan: First Kill,2022,minimal
40466,0.012407333,Crocodile,2000,decorative
25853,-0.00340046,Dahmer,2002,clean
133805,0.004356459,Carrie,2013,standard
10131,0.017206639,A Nightmare on Elm Street 4: The Dream Master,1988,ornate
19898,0.004761398,Pandorum,2009,standard
4234,-0.006276667,Scream 3,2000,clean
11531,0.016412199,Book of Shadows: Blair Witch 2,2000,decorative
1946,0.00865826,eXistenZ,1999,decorative
282035,0.0034914166,The Mummy,2017,standard
84348,0.008595973,V/H/S,2012,decorative
570670,-0.008821577,The Invisible Man,2020,minimal
412546,0.020364165,Antrum,2018,ornate
126172,0.016260907,Leprechaun: Origins,2014,decorative
34480,0.0019749105,The Descent: Part 2,2009,standard
161326,0.015857548,Dangerous Worry Dolls,2008,decorative
18405,0.0055585206,The Last House on the Left,2009,standard
34081,-0.01100339,Ted Bundy,2002,minimal
287424,-0.0025313199,Maggie,2015,clean
25748,0.0058853924,Children of the Corn II: The Final Sacrifice,1992,standard
10012,0.01026313,Cursed,2005,decorative
348,0.0046948195,Alien,1979,standard
591274,0.012803093,Fear Street: 1978,2021,decorative
420707,0.00963597,Cage Dive,2017,decorative
59115,0.00034998357,Quarantine 2: Terminal,2011,clean
763149,-0.0028581917,Aftermath,2021,clean
10552,0.0040736347,Cat's Eye,1985,standard
340601,-9.445846e-05,Delirium,2018,clean
291167,0.014011055,Crystal Skulls,2014,decorative
10127,0.022526264,Critters 2,1988,ornate
509635,-0.005789146,Alone,2020,clean
998340,-0.0054345876,Smile,2016,clean
528091,0.0111062825,The Furies,2019,decorative
346364,0.000840202,It,2017,clean
124470,0.0020685047,Exists,2014,standard
9042,0.015652105,The Cave,2005,decorative
528985,0.003990531,Assimilate,2019,standard
659986,-0.0064107478,The Owners,2020,clean
36685,0.018843755,The Rocky Horror Picture Show,1975,ornate
13207,-0.005141869,Friday the 13th,2009,clean
13515,0.004466623,Mirrors,2008,standard
442249,-0.009437114,The First Purge,2018,minimal
57876,-0.017440334,Area 51,2015,minimal
12142,-0.008933008,Alone in the Dark,2005,minimal
996727,-0.003965363,The Price We Pay,2022,clean
628,-0.0028817207,Interview with the Vampire,1994,clean
610394,0.0055929422,The Haunting of La Llorona,2019,standard
429417,0.0083709955,Ghost Stories,2018,standard
793002,0.005986631,Dreamcatcher,2021,standard
132137,-0.0048029274,Werewolf: The Beast Among Us,2012,clean
565028,-0.0069571137,Candyman,2021,minimal
49017,0.0047225654,Dracula Untold,2014,standard
9616,-0.009550869,The Order,2003,minimal
50719,0.002840519,"Silent Night, Deadly Night Part 2",1987,standard
787752,-0.00963375,Fresh,2022,minimal
295011,-0.0069302022,Patient Zero,2018,minimal
12590,-0.005895272,Below,2002,clean
244566,0.012161389,Life After Beth,2014,decorative
864873,0.008879721,Hypnotic,2021,decorative
22894,0.0015518367,Legion,2010,standard
10576,0.0013608336,Psycho II,1983,clean
397243,-0.013149336,The Autopsy of Jane Doe,2016,minimal
401561,0.0019028485,Mom and Dad,2018,standard
11377,-0.004520625,House on Haunted Hill,1999,clean
591273,-0.00069507957,Fear Street: 1994,2021,clean
44037,0.019972757,Lake Placid 3,2010,ornate
649524,-0.007384494,Behind the Trees,2019,minimal
411805,0.004016876,Walking Dead In The West,2016,standard
652004,0.008019388,The Wolf of Snow Hollow,2020,standard
480105,0.0050222576,47 Meters Down: Uncaged,2019,standard
37707,-0.008966386,Splice,2009,minimal
6933,-0.0013437122,One Missed Call,2008,clean
672582,-0.0009114146,The Deep House,2021,clean
312831,0.020372435,The Hallow,2015,ornate
6488,0.018996418,Arachnophobia,1990,ornate
447332,-0.002605006,A Quiet Place,2018,clean
611489,0.0052860677,Initiation,2020,standard
549294,0.011182159,Synchronic,2020,decorative
38358,-0.0063754767,The Last Exorcism,2010,clean
256274,-0.008427143,"As Above, So Below",2014,minimal
11547,0.0055675805,Cabin Fever,2003,standard
460019,-0.008694664,Truth or Dare,2018,minimal
13885,-0.002106592,Sweeney Todd: The Demon Barber of Fleet Street,2007,clean
393345,-0.0016117692,Cult of Chucky,2017,clean
28635,0.018840462,Wishmaster 3: Beyond the Gates of Hell,2001,ornate
10304,0.013389736,Starship Troopers 2: Hero of the Federation,2004,decorative
763,0.013695568,Braindead,1992,decorative
11428,0.010316268,Sleepwalkers,1992,decorative
647302,0.011857122,Benny Loves You,2019,decorative
768,-0.0032051802,From Hell,2001,clean
12110,0.015312716,Dracula: Dead and Loving It,1995,decorative
791,-0.0020346642,The Fog,2005,clean
614205,0.0028119981,Dark Light,2019,standard
9030,-0.021001935,The Eye,2008,minimal
49950,-0.010459438,The Roommate,2011,minimal
539537,0.009734601,Fantasy Island,2020,decorative
630586,0.0040749013,Wrong Turn,2021,standard
58151,-0.0058044493,Fright Night,2011,clean
516329,0.01135613,Antlers,2021,decorative
532814,-0.0068449676,The Bad Seed,2018,minimal
442062,0.017765477,Goosebumps 2: Haunted Halloween,2018,ornate
561,0.017647997,Constantine,2005,ornate
75735,0.0067225993,Zombie Apocalypse,2011,standard
871875,0.0062159,Escape the Undertaker,2021,standard
10344,-0.0011048317,The Fly II,1989,clean
19908,0.012568697,Zombieland,2009,decorative
755,0.0067534,From Dusk Till Dawn,1996,standard
504175,-0.0010545999,Chucky's Vacation Slides,2005,clean
632304,-0.008728147,The Beach House,2020,minimal
10072,0.024718732,A Nightmare on Elm Street 3: Dream Warriors,1987,ornate
242512,0.013846874,Ouija,2014,decorative
523139,0.0011944175,In the Tall Grass,2019,clean
82507,0.0038470924,Sinister,2012,standard
460885,0.015730664,Mandy,2018,decorative
356486,-0.0071452707,Lumberjack Man,2015,minimal
761563,0.019830063,Medusa: Queen of the Serpents,2021,ornate
