id,imdb_id,title,year
446897,tt5361044,Ends Meat,2018
566561,tt13648440,Prey,2026
700290,tt9856372,Masha's Mushrooms,2027
741533,tt11679676,Possess,2025
756293,tt13226468,The Knock,2023
780832,tt12162852,Hello...,2020
785763,tt11270738,The Repression,2020
823393,tt14486338,Veronika,2021
854902,tt15094942,Ho Kena,2020
858492,tt14625538,Remnants,2022
861942,tt15215044,Caller #4,2021
862758,tt13617920,Display,2021
875081,tt1706406,KIllerdate.com,2009
876600,tt14122818,Bad Dreams,2020
981680,tt3778280,William Wilson,2013
991041,tt1725183,Do Over,2010
991111,tt21104040,Breeders,2025
1004996,tt21375180,Stash,2017
1017180,tt21911884,Profaned,2022
1047235,tt4269346,Moose Jaws,2025
1140624,tt10844184,Detour 95,2025
1142388,tt12570042,Post Comedy,2022
1159500,tt22207052,Looking Back,2022
1188394,tt28481744,Dead Air,2024
1189684,tt27863626,Complicated,2022
1205132,tt27527373,Mantis,2022
1210376,tt13368834,Horse Town,2023
1231974,tt30889015,The Consumer,2024
1245540,tt14186222,Bruises,2021
1260700,tt31809887,Poohniverse: Monsters Assemble,2027
1265546,tt31829160,Raymond vs the Mormons,2024
1273114,tt7843766,Swing,2018
1276834,tt27426870,Apex,2023
1292705,tt16750460,Dry Spell,2022
1296192,tt29824863,Happy,2025
1300023,tt32508507,Kikimora,2024
1312915,tt32189733,Mothers Legacy,2026
1353377,tt9814562,The Mephistophiliac,2026
1364964,tt33697911,Dead Girl,2024
1367792,tt23744932,Jade,2024
1373915,tt33073611,Site Unseen,2026
1380899,tt34169288,Old Man,2025
1403571,tt34709444,Rough Cut,2025
1404133,tt33373007,UNBOXING,2025
1416979,tt33077502,Kilter,2025
1428068,tt33113354,Dumpy Spider,2025
1443362,tt35932136,Influencers,2025
1446731,tt31966068,Olga,2025
1456229,tt36316651,The Storyteller,2025
1457803,tt6214672,Disquietude,2021
1469177,tt33990533,FIEND,2025
1483207,tt32506917,County Fear,2025
1483267,tt36616351,Wide Asleep,2025
1496989,tt37121633,MARROW,2025
1502997,tt37137126,Wendehorn,2026
1508408,tt37528990,Dealer's Choice,2025
1514492,tt14490880,CRIMSON,2019
1528794,tt35890187,Pumpkin,2024
1529709,tt36825711,Cake,2025
1532427,tt12531272,Corgis 2,2020
1534061,tt38066158,The Young People,2026
1540936,tt38120758,Anything but Ghosts,2027
1542531,tt33063766,Dangerously Pointy,2024
1544418,tt34772724,Irish Son,2025
1558000,tt32546911,Man Baby,2025
1558839,tt34333434,Frogman Returns,2025
1559986,tt29745458,White Devils,2025
1561316,tt38652411,Hangman,2025
1563362,tt38687739,Basement Dweller,2025
1564921,tt30216807,Red Rain,2024
1568561,tt31956111,Immortal Reflections,2024
1578897,tt37969345,Unhinged,2025
1584032,tt38960630,Puppy,2026
1587090,tt39028321,Clever Pig,2025
1587630,tt38882388,Marge,2026
1595158,tt33494870,Goetic,2026
1601660,tt31194443,The Tide,2024
1603584,tt38356734,UN-DEAD,2025
1605094,tt38916280,Beliath,2026
1609858,tt29703781,Werewolf Hunt,2026
1614101,tt42189609,SECOND HAND,2026
1628654,tt37973467,7Hz,2025
1643792,tt39375562,Meet Bitsy,2026
1644213,tt41373292,Buried Secrets,2026
1647225,tt40566944,Nonexistent,2026
1654416,tt40841119,PREY,2026
1659300,tt27704078,Seven Minutes,2023
1663501,tt37681946,Silent Sonata,2025
1668362,tt33078804,Cult Classic,2024
1671305,tt19766724,Accursed,2026
1680857,tt42064518,Seus bebês,2026
1686344,tt33130809,Homebody,2026
1690174,tt42460861,The Ourobite,2026
1691846,tt36388052,Recorded,2025
1692968,tt31068177,Blurred,2026
1695883,tt37899396,The Sundering,2025
1701395,tt39161871,Drunken Woman,2026
1711808,tt37599451,Grin,2026
1720156,tt42456768,Ghost Country,2026
1724390,tt42577138,Madam,2026
1725746,tt37649541,Snapshot,2026
